t_us,pin,raw
1000000,15,3300
1001019,15,3298
1002012,15,3293
1003004,15,3285
1004029,15,3313
1005020,15,3308
1006011,15,3268
1007003,15,3307
1008027,15,3302
1009020,15,3306
1010012,15,3309
1011002,15,3308
1012029,15,3317
1013019,15,3296
1014009,15,3281
1015002,15,3309
1016022,15,3297
1017019,15,3281
1018009,15,3294
1019000,15,3296
1020022,15,3313
1021016,15,3298
1022009,15,3301
1022999,15,3319
1024023,15,3310
1025015,15,3295
1026008,15,3287
1027030,15,3290
1028023,15,3305
1029016,15,3305
1030007,15,3301
1031029,15,3302
1032019,15,3292
1033012,15,3304
1034005,15,3327
1035028,15,3303
1036021,15,3298
1037012,15,3300
1038006,15,3313
1039027,15,3306
1040020,15,3291
1041012,15,3302
1042003,15,3294
1043024,15,3318
1044019,15,3301
1045009,15,3293
1046000,15,3301
1047028,15,3297
1048018,15,3284
1049008,15,3308
1050001,15,3314
1051024,15,3306
1052015,15,3312
1053007,15,3296
1053997,15,3301
1055024,15,3296
1056015,15,3304
1057006,15,3304
1058031,15,3289
1059021,15,3307
1060015,15,3305
1061005,15,3301
1062028,15,3289
1063024,15,3308
1064014,15,3287
1065002,15,3302
1066025,15,3289
1067020,15,3305
1068012,15,3307
1069004,15,3307
1070027,15,3299
1071017,15,3307
1072010,15,3316
1073003,15,3290
1074026,15,3311
1075018,15,3293
1076012,15,3306
1077003,15,3305
1078022,15,3310
1079016,15,3298
1080013,15,3294
1081000,15,3298
1082024,15,3286
1083017,15,3294
1084009,15,3305
1085001,15,3305
1086023,15,3305
1087013,15,3297
1088009,15,3299
1089029,15,3294
1090020,15,3297
1091014,15,3293
1092006,15,3293
1093033,15,3324
1094023,15,3305
1095011,15,3320
1096005,15,3296
1097025,15,3311
1098021,15,3311
1099011,15,3296
1100005,15,3320
1101024,15,3292
1102019,15,3303
1103009,15,3296
1104004,15,3309
1105025,15,3300
1106017,15,3303
1107010,15,3306
1108000,15,3305
1109028,15,3323
1110016,15,3292
1111007,15,3286
1112001,15,3330
1113023,15,3297
1114018,15,3281
1115008,15,3291
1116001,15,3312
1117024,15,3299
1118014,15,3312
1119007,15,3299
1120029,15,3307
1121022,15,3321
1122017,15,3307
1123007,15,3304
1124030,15,3321
1125020,15,3298
1126013,15,3294
1127004,15,3308
1128027,15,3305
1129022,15,3295
1130012,15,3317
1131006,15,3304
1132028,15,3292
1133018,15,3304
1134011,15,3279
1135003,15,3281
1136028,15,3297
1137019,15,3304
1138013,15,3287
1139001,15,3314
1140025,15,3298
1141016,15,3301
1142009,15,3300
1143001,15,3305
1144021,15,3293
1145017,15,3294
1146009,15,3289
1146999,15,3285
1148021,15,3294
1149017,15,3301
1150006,15,3313
1151029,15,3297
1152022,15,3316
1153016,15,3304
1154008,15,3306
1155030,15,3264
1156021,15,3310
1157015,15,3307
1158003,15,3285
1159029,15,3301
1160018,15,3305
1161011,15,3297
1162005,15,3307
1163027,15,3301
1164021,15,3301
1165009,15,3305
1166004,15,3299
1167025,15,3320
1168020,15,3322
1169011,15,3294
1170003,15,3325
1171023,15,3288
1172017,15,3311
1173008,15,3317
1174003,15,3306
1175027,15,3298
1176012,15,3307
1177008,15,3312
1178002,15,3300
1179024,15,3282
1180012,15,3300
1181006,15,3311
1182029,15,3305
1183021,15,3307
1184014,15,3301
1185006,15,3304
1186031,15,3303
1187019,15,3284
1188014,15,3295
1189008,15,3299
1190028,15,3297
1191019,15,3289
1192013,15,3311
1193005,15,3322
1194024,15,3317
1195019,15,3306
1196012,15,3301
1197004,15,3296
1198026,15,3299
1199020,15,3301
