t_us,pin,raw
1000000,15,30961
1001019,15,30956
1002011,15,30972
1003006,15,30950
1004028,15,30969
1005019,15,30988
1006014,15,30991
1007001,15,30960
1008026,15,30981
1009021,15,30978
1010014,15,30969
1011000,15,30974
1012028,15,30978
1013015,15,30973
1014009,15,30977
1015002,15,30967
1016025,15,30954
1017016,15,30966
1018009,15,30960
1019001,15,30973
1020024,15,30968
1021015,15,30947
1022006,15,30970
1023002,15,30966
1024022,15,30959
1025016,15,30956
1026007,15,30964
1027029,15,30971
1028021,15,30965
1029013,15,30966
1030009,15,30955
1031028,15,30977
1032020,15,30967
1033014,15,30971
1034003,15,30970
1035028,15,30962
1036021,15,30966
1037013,15,30967
1038006,15,30980
1039026,15,30973
1040019,15,30958
1041012,15,30956
1042001,15,30949
1043028,15,30966
1044020,15,30987
1045010,15,30983
1046003,15,30979
1047024,15,30964
1048017,15,30965
1049007,15,30970
1050000,15,30972
1051027,15,30980
1052015,15,30964
1053009,15,30966
1054000,15,30968
1055025,15,30974
1056013,15,30975
1057006,15,30964
1058028,15,30987
1059020,15,30971
1060017,15,30952
1061007,15,30967
1062030,15,30984
1063022,15,30985
1064012,15,30964
1065007,15,30961
1066031,15,30972
1067021,15,30983
1068011,15,30973
1069005,15,30990
1070026,15,30977
1071018,15,30973
1072011,15,30955
1073004,15,30967
1074027,15,30971
1075019,15,30982
1076010,15,30958
1077003,15,30957
1078023,15,30969
1079015,15,30972
1080008,15,30968
1081002,15,30984
1082026,15,30973
1083017,15,30950
1084008,15,30958
1084999,15,30969
1086020,15,30956
1087014,15,30958
1088006,15,30970
1089029,15,30980
1090022,15,30974
1091015,15,30954
1092007,15,30976
1093029,15,30972
1094022,15,30976
1095013,15,30966
1096004,15,30970
1097025,15,30963
1098019,15,30967
1099011,15,30957
1100005,15,30955
1101026,15,30965
1102018,15,30988
1103009,15,30961
1104006,15,30959
1105025,15,30982
1106018,15,30983
1107011,15,30963
1108001,15,30959
1109025,15,30984
1110014,15,30953
1111009,15,30961
1112003,15,30961
1113024,15,30971
1114015,15,30972
1115007,15,30972
1116002,15,30962
1117024,15,30963
1118012,15,30957
1119008,15,30963
1120028,15,30973
1121023,15,30974
1122013,15,30973
1123004,15,30979
1124030,15,30972
1125021,15,30971
1126013,15,30964
1127005,15,30971
1128027,15,30977
1129020,15,30991
1130012,15,30954
1131006,15,30961
1132029,15,30977
1133016,15,30963
1134011,15,30967
1135004,15,30973
1136027,15,30968
1137016,15,30979
1138011,15,30963
1139003,15,30968
1140024,15,30961
1141014,15,30981
1142009,15,30970
1142999,15,30976
1144026,15,30974
1145018,15,30975
1146005,15,30966
1147003,15,30993
1148021,15,30956
1149016,15,30971
1150007,15,30983
1151033,15,30961
1152020,15,30989
1153017,15,30972
1154005,15,30976
1155026,15,30954
1156020,15,30961
1157013,15,30970
1158007,15,30959
1159026,15,30966
1160019,15,30963
1161013,15,30983
1162005,15,30962
1163024,15,30993
1164020,15,30985
1165010,15,30986
1166004,15,30977
1167029,15,30970
1168021,15,30953
1169009,15,30964
1170002,15,30982
1171026,15,30968
1172014,15,30959
1173009,15,30963
1174001,15,30986
1175024,15,30967
1176016,15,30960
1177008,15,30950
1177999,15,30972
1179022,15,30960
1180015,15,30972
1181010,15,30976
1182028,15,30967
1183021,15,30975
1184014,15,30975
1185006,15,30969
1186031,15,30981
1187023,15,30977
1188013,15,30989
1189005,15,30965
1190026,15,30976
1191018,15,30961
1192014,15,30980
1193004,15,30959
1194025,15,30960
1195018,15,30971
1196012,15,30944
1197000,15,30980
1198025,15,30960
1199019,15,30957
