t_us,pin,raw
1000000,15,3299
1001022,15,3306
1002012,15,3294
1003006,15,3296
1004028,15,3297
1005021,15,3291
1006015,15,3297
1007003,15,3305
1008027,15,3312
1009018,15,3311
1010012,15,3300
1011002,15,3301
1012026,15,3305
1013019,15,3306
1014010,15,3294
1015003,15,3290
1016028,15,3308
1017019,15,3319
1018007,15,3308
1019001,15,3304
1020022,15,3295
1021017,15,3301
1022007,15,3293
1023002,15,3284
1024025,15,3293
1025018,15,3293
1026007,15,3278
1027032,15,3281
1028020,15,3299
1029015,15,3293
1030005,15,3303
1031028,15,3318
1032020,15,3306
1033013,15,3303
1034007,15,3281
1035027,15,3305
1036018,15,3298
1037016,15,3304
1038005,15,3317
1039028,15,3317
1040018,15,3325
1041010,15,3309
1042003,15,3298
1043027,15,3313
1044016,15,3312
1045010,15,3297
1046002,15,3308
1047024,15,3302
1048015,15,3311
1049010,15,3305
1050000,15,3299
1051028,15,3314
1052016,15,3306
1053008,15,3306
1054001,15,3318
1055021,15,3307
1056016,15,3308
1057008,15,3314
1058031,15,3291
1059022,15,3327
1060011,15,3323
1061004,15,3309
1062030,15,3296
1063021,15,3310
1064010,15,3312
1065006,15,3315
1066027,15,3316
1067019,15,3296
1068014,15,3306
1069004,15,3296
1070028,15,3300
1071018,15,3302
1072008,15,3305
1073001,15,3293
1074026,15,3289
1075016,15,3311
1076010,15,3279
1077002,15,3301
1078023,15,3305
1079015,15,3293
1080009,15,3306
1081001,15,3318
1082024,15,3315
1083017,15,3297
1084009,15,3306
1084998,15,3299
1086023,15,3300
1087014,15,3310
1088004,15,3301
1089027,15,3317
1090020,15,3301
1091012,15,3305
1092005,15,3301
1093030,15,3319
1094022,15,3298
1095012,15,3297
1096006,15,3308
1097028,15,3294
1098021,15,3295
1099013,15,3285
1100004,15,3304
1101027,15,3282
1102017,15,3284
1103011,15,3301
1104003,15,3317
1105025,15,3301
1106017,15,3312
1107014,15,3295
1108002,15,3279
1109022,15,3284
1110018,15,3304
1111011,15,3310
1112001,15,3296
1113027,15,3294
1114015,15,3304
1115009,15,3295
1115996,15,3311
1117020,15,3286
1118015,15,3298
1119006,15,3302
1120029,15,3321
1121022,15,3304
1122013,15,3302
1123006,15,3289
1124030,15,3328
1125019,15,3306
1126016,15,3303
1127006,15,3291
1128028,15,3297
1129024,15,3307
1130010,15,3295
1131004,15,3313
1132028,15,3313
1133018,15,3305
1134010,15,3303
1135003,15,3328
1136026,15,3293
1137019,15,3293
1138010,15,3295
1139002,15,3307
1140025,15,3287
1141019,15,3330
1142010,15,3300
1143000,15,3297
1144024,15,3296
1145019,15,3305
1146006,15,3308
1147002,15,3297
1148024,15,3312
1149016,15,3292
1150008,15,3302
1151033,15,3296
1152022,15,3299
1153014,15,3292
1154005,15,3309
1155032,15,3301
1156021,15,3294
1157013,15,3307
1158005,15,3298
1159031,15,3301
1160020,15,3306
1161014,15,3311
1162008,15,3302
1163027,15,3300
1164017,15,3299
1165010,15,3312
1166004,15,3305
1167026,15,3308
1168018,15,3310
1169010,15,3301
1170003,15,3306
1171025,15,3291
1172018,15,3278
1173009,15,3319
1174000,15,3300
1175025,15,3297
1176018,15,3308
1177006,15,3298
1178001,15,3303
1179023,15,3302
1180015,15,3298
1181006,15,3309
1182031,15,3290
1183022,15,3307
1184015,15,3321
1185007,15,3301
1186030,15,3308
1187021,15,3314
1188011,15,3292
1189006,15,3286
1190030,15,3315
1191023,15,3296
1192011,15,3287
1193007,15,3293
1194029,15,3296
1195018,15,3316
1196009,15,3315
1197003,15,3316
1198028,15,3298
1199015,15,3296
