t_us,pin,raw
1000000,15,40704
1010010,15,40730
1020022,15,40735
1030004,15,40705
1040020,15,40719
1050000,15,40716
1060012,15,40739
1070027,15,40749
1080008,15,40728
1090022,15,40729
1100004,15,40736
1110018,15,40730
1120032,15,40745
1130015,15,40752
1140028,15,40733
1150008,15,40733
1160019,15,40739
1169999,15,40729
1180013,15,40737
1190029,15,40743
1200010,15,40745
1210024,15,40735
1220005,15,40746
1230018,15,40755
1240003,15,40747
1250016,15,40744
1260027,15,40738
1270006,15,40736
1280020,15,40740
1290003,15,40766
1300019,15,40756
1310031,15,40750
1320011,15,40748
1330025,15,40753
1340005,15,40776
1350018,15,40756
1360003,15,40749
1370015,15,40751
1380027,15,40779
1390005,15,40774
1400019,15,40737
1410004,15,40749
1420018,15,40760
1430030,15,40757
1440014,15,40788
1450027,15,40738
1460007,15,40762
1470020,15,40761
1480002,15,40773
1490016,15,40757
1500029,15,40749
1510010,15,40776
1520022,15,40769
1530004,15,40772
1540018,15,40793
1550002,15,40774
1560014,15,40784
1570026,15,40780
1580008,15,40795
1590020,15,40772
1600002,15,40789
1610015,15,40784
1620028,15,40763
1630014,15,40762
1640024,15,40769
1650004,15,40779
1660021,15,40778
1670004,15,40774
1680015,15,40764
1690025,15,40791
1700009,15,40768
1710022,15,40761
1720002,15,40775
1730016,15,40773
1740030,15,40798
1750013,15,40783
1760025,15,40784
1770006,15,40801
1780020,15,40782
1790001,15,40800
1800016,15,40780
1810029,15,40764
1820009,15,40792
1830025,15,40780
1840005,15,40786
1850020,15,40790
1859999,15,40793
1870015,15,40785
1880027,15,40786
1890010,15,40803
1900021,15,40797
1910004,15,40802
1920017,15,40792
1930028,15,40785
1940012,15,40803
1950022,15,40806
1960004,15,40788
1970019,15,40810
1980003,15,40800
1990013,15,40801
2000027,15,40803
2010009,15,40802
2020021,15,40807
2030005,15,40811
2040017,15,40790
2050030,15,40830
2060013,15,40808
2070024,15,40819
2080002,15,40814
2090021,15,40803
2100001,15,40819
2110013,15,40805
2120031,15,40817
2130011,15,40811
2140024,15,40812
2150007,15,40821
2160017,15,40818
2170000,15,40823
2180015,15,40816
2190026,15,40821
2200007,15,40821
2210020,15,40837
2220002,15,40796
2230018,15,40825
2240027,15,40827
2250011,15,40831
2260023,15,40828
2270005,15,40811
2280020,15,40795
2289999,15,40806
2300015,15,40811
2310028,15,40808
2320010,15,40826
2330023,15,40820
2340003,15,40819
2350014,15,40821
2360031,15,40820
2370010,15,40852
2380026,15,40832
2390005,15,40823
2400019,15,40820
2410000,15,40835
2420016,15,40835
2430030,15,40843
2440010,15,40832
2450023,15,40838
2460004,15,40823
2470020,15,40839
2480002,15,40854
2490013,15,40844
2500027,15,40818
2510008,15,40843
2520020,15,40830
2530002,15,40840
2540015,15,40835
2550029,15,40842
2560012,15,40848
2570022,15,40843
2580007,15,40832
2590022,15,40858
2600002,15,40862
2610016,15,40853
2620024,15,40850
2630009,15,40846
2640024,15,40820
2650004,15,40864
2660017,15,40862
2670027,15,40877
2680014,15,40865
2690025,15,40873
2700005,15,40845
2710020,15,40854
2720001,15,40842
2730017,15,40848
2740029,15,40856
2750011,15,40853
2760024,15,40876
2770006,15,40873
2780020,15,40840
2789998,15,40850
2800014,15,40855
2810026,15,40869
2820008,15,40849
2830023,15,40851
2840004,15,40862
2850019,15,40864
2860028,15,40865
2870013,15,40861
2880026,15,40869
2890006,15,40874
2900016,15,40858
2910000,15,40870
2920017,15,40847
2930025,15,40881
2940011,15,40864
2950022,15,40868
2960004,15,40861
2970018,15,40877
2980028,15,40880
2990010,15,40859
3000025,15,40886
3010004,15,40872
3020018,15,40876
3030002,15,40860
3040013,15,40866
3050028,15,40855
3060009,15,40859
3070023,15,40878
3080006,15,40872
3090019,15,40885
3100002,15,40886
3110011,15,40891
3120025,15,40879
3130007,15,40879
3140019,15,40872
3150002,15,40899
3160016,15,40886
3170029,15,40903
3180009,15,40890
3190025,15,40883
3200004,15,40886
3210019,15,40883
3220002,15,40893
3230013,15,40884
3240027,15,40899
3250010,15,40887
3260023,15,40915
3270003,15,40902
3280017,15,40870
3290030,15,40894
3300013,15,40870
3310025,15,40903
3320008,15,40905
3330021,15,40891
3339999,15,40904
3350016,15,40900
3360026,15,40892
3370011,15,40906
3380025,15,40905
3390006,15,40905
3400018,15,40882
3409998,15,40888
3420015,15,40914
3430029,15,40902
3440007,15,40913
3450020,15,40877
3460003,15,40920
3470016,15,40908
3480031,15,40893
3490013,15,40904
3500024,15,40896
3510007,15,40912
3520017,15,40907
3530003,15,40901
3540017,15,40917
3550028,15,40883
3560007,15,40899
3570023,15,40903
3580004,15,40911
3590019,15,40907
3600028,15,40908
3610013,15,40920
3620024,15,40916
3630007,15,40906
3640020,15,40924
3650002,15,40931
3660016,15,40920
3670028,15,40919
3680010,15,40918
3690022,15,40927
3700003,15,40923
3710019,15,40888
3720000,15,40934
3730013,15,40895
3740025,15,40910
3750008,15,40924
3760022,15,40914
3770004,15,40948
3780016,15,40930
3790028,15,40947
3800013,15,40929
3810024,15,40927
3820007,15,40930
3830018,15,40925
3840000,15,40935
3850012,15,40931
3860027,15,40933
3870008,15,40932
3880021,15,40930
3890004,15,40944
3900019,15,40918
3910030,15,40919
3920009,15,40931
3930023,15,40925
3940007,15,40930
3950020,15,40937
3960003,15,40933
3970015,15,40921
3980029,15,40926
3990011,15,40916
4000021,15,40952
4010005,15,40931
4020017,15,40935
4030000,15,40940
4040013,15,40961
4050026,15,40937
4060009,15,40942
4070022,15,40947
4080006,15,40946
4090017,15,40977
4100030,15,40935
4110010,15,40947
4120024,15,40924
4130008,15,40950
4140023,15,40944
4150000,15,40957
4160013,15,40947
4170027,15,40961
4180009,15,40939
4190022,15,40946
4200002,15,40950
4210018,15,40952
4220029,15,40965
4230010,15,40946
4240021,15,40953
4250006,15,40942
4260021,15,40955
4270003,15,40951
4280015,15,40979
4290027,15,40942
4300008,15,40975
4310022,15,40958
4320004,15,40942
4330015,15,40975
4340002,15,40955
4350015,15,40975
4360025,15,40965
4370011,15,40977
4380023,15,40955
4390005,15,40982
4400016,15,40942
4410030,15,40946
4420010,15,40967
4430024,15,40982
4440006,15,40974
4450018,15,40979
4460003,15,40969
4470013,15,40969
4480026,15,40978
4490010,15,40966
4500021,15,40966
4510004,15,40977
4520017,15,40961
4530027,15,40975
4540012,15,40973
4550025,15,40976
4560009,15,40969
4570022,15,40964
4580003,15,40984
4590013,15,40992
4600029,15,40970
4610008,15,40978
4620023,15,40983
4630006,15,40987
4640018,15,40961
4649999,15,40984
4660013,15,40992
4670025,15,41000
4680008,15,40973
4690024,15,40990
4700005,15,40996
4710015,15,40989
4720027,15,41005
4730012,15,40977
4740025,15,40988
4750006,15,40992
4760018,15,40979
4769998,15,40983
4780016,15,40993
4790028,15,40996
4800007,15,41010
4810022,15,41002
4820005,15,41003
4830018,15,40987
4840029,15,41005
4850011,15,41004
4860025,15,40986
4870008,15,41003
4880021,15,41016
4890003,15,40997
4900015,15,41007
4910026,15,40990
4920010,15,41020
4930022,15,41007
4940006,15,40994
4950015,15,41025
4960001,15,40984
4970013,15,40983
4980027,15,41005
4990008,15,40995
5000019,15,41017
5010004,15,41011
5020017,15,41009
5030029,15,41016
5040012,15,41015
5050023,15,40979
5060005,15,41007
5070018,15,41032
5080000,15,41010
5090016,15,41017
5100027,15,41014
5110010,15,41010
5120020,15,41019
5130003,15,41008
5140015,15,41003
5150031,15,41016
5160014,15,41013
5170024,15,41022
5180006,15,41020
5190021,15,41009
5200003,15,41033
5210012,15,41014
5220029,15,41037
5230012,15,41021
5240023,15,41032
5250009,15,41023
5260017,15,41002
5269999,15,40999
5280014,15,41025
5290027,15,41036
5300009,15,41002
5310021,15,41032
5320002,15,41025
5330016,15,41043
5340027,15,41045
5350014,15,41018
5360023,15,41002
5370004,15,41037
5380022,15,41033
5390001,15,41037
5400012,15,41032
5410026,15,41036
5420007,15,41018
5430022,15,41030
5440003,15,41029
5450018,15,41011
5460030,15,41032
5470011,15,41026
5480026,15,41036
5490006,15,41046
5500021,15,41030
5510001,15,41027
5520017,15,41009
5530026,15,41039
5540012,15,41041
5550023,15,41058
5560006,15,41029
5570019,15,41041
5579999,15,41040
5590011,15,41040
5600028,15,41035
5610009,15,41056
5620020,15,41028
5630003,15,41069
5640017,15,41044
5650029,15,41049
5660011,15,41045
5670021,15,41053
5680005,15,41029
5690019,15,41041
5700002,15,41043
5710014,15,41052
5720028,15,41049
5730007,15,41044
5740025,15,41047
5750005,15,41033
5760016,15,41066
5770028,15,41060
5780012,15,41032
5790022,15,41049
5800008,15,41041
5810020,15,41055
5820002,15,41069
5830014,15,41070
5840025,15,41047
5850011,15,41046
5860024,15,41046
5870003,15,41061
5880018,15,41072
5889999,15,41046
5900012,15,41056
5910026,15,41062
5920008,15,41055
5930023,15,41062
5940004,15,41062
5950016,15,41061
5960029,15,41041
5970011,15,41067
5980028,15,41072
5990008,15,41073
6000019,15,41056
6010000,15,41075
6020016,15,41064
6030026,15,41077
6040007,15,41091
6050024,15,41093
6060003,15,41047
6070016,15,41070
6080030,15,41080
6090013,15,41091
6100028,15,41066
6110006,15,41085
6120018,15,41080
6130002,15,41067
6140014,15,41070
6150027,15,41070
6160013,15,41079
6170023,15,41073
6180002,15,41083
6190017,15,41072
6200001,15,41080
6210012,15,41082
6220025,15,41082
6230011,15,41072
6240021,15,41080
6250004,15,41083
6260014,15,41065
6270027,15,41087
6280010,15,41102
6290024,15,41091
6300004,15,41086
6310021,15,41084
6320000,15,41083
6330014,15,41074
6340026,15,41090
6350010,15,41069
6360021,15,41080
6370006,15,41079
6380016,15,41085
6390029,15,41094
6400011,15,41087
6410025,15,41085
6420009,15,41090
6430019,15,41084
6440005,15,41099
6450013,15,41078
6460029,15,41110
6470010,15,41108
6480023,15,41119
6490002,15,41109
6500017,15,41105
6510003,15,41097
6520014,15,41107
6530025,15,41096
6540006,15,41092
6550022,15,41121
6560002,15,41102
6570014,15,41091
6580027,15,41089
6590010,15,41113
6600025,15,41108
6610005,15,41093
6620017,15,41090
6630000,15,41095
6640014,15,41087
6650027,15,41108
6660008,15,41105
6670023,15,41109
6680006,15,41133
6690016,15,41117
6700031,15,41099
6710011,15,41107
6720026,15,41109
6730008,15,41103
6740022,15,41112
6750002,15,41102
6760015,15,41109
6770027,15,41121
6780011,15,41112
6790024,15,41097
6800006,15,41119
6810019,15,41113
6820002,15,41118
6830015,15,41109
6840023,15,41103
6850007,15,41101
6860022,15,41118
6870003,15,41113
6880016,15,41117
6890030,15,41124
6900011,15,41114
6910025,15,41117
6920008,15,41126
6930018,15,41123
6939999,15,41104
6950015,15,41116
6960029,15,41113
6970010,15,41135
6980022,15,41138
6990003,15,41125
7000017,15,41128
7010031,15,41138
7020013,15,41134
7030023,15,41113
7040007,15,41139
7050021,15,41135
7059997,15,41122
7070016,15,41142
7080026,15,41122
7090009,15,41134
7100023,15,41142
7110003,15,41142
7120017,15,41140
7130001,15,41131
7140011,15,41129
7150026,15,41151
7160007,15,41129
7170021,15,41144
7180004,15,41126
7190016,15,41123
7200028,15,41154
7210010,15,41151
7220022,15,41134
7230007,15,41148
7240018,15,41143
7250004,15,41161
7260016,15,41130
7270030,15,41162
7280009,15,41144
7290021,15,41148
7300001,15,41141
7310018,15,41156
7320031,15,41123
7330013,15,41158
7340024,15,41156
7350006,15,41170
7360021,15,41149
7370000,15,41142
7380014,15,41147
7390029,15,41139
7400012,15,41160
7410021,15,41144
7420006,15,41152
7430017,15,41153
7439997,15,41173
7450012,15,41131
7460027,15,41166
7470007,15,41169
7480022,15,41135
7490004,15,41174
7500017,15,41179
7510029,15,41148
7520010,15,41155
7530023,15,41169
7540005,15,41168
7550021,15,41163
7560001,15,41170
7570012,15,41162
7580029,15,41157
7590009,15,41157
7600024,15,41162
7610003,15,41155
7620017,15,41161
7630028,15,41165
7640015,15,41162
7650025,15,41176
7660008,15,41181
7670018,15,41189
7680002,15,41152
7690013,15,41163
7700027,15,41180
7710009,15,41147
7720022,15,41177
7730004,15,41160
7740017,15,41165
7750002,15,41156
7760012,15,41165
7770025,15,41160
7780009,15,41142
7790021,15,41160
7799999,15,41178
7810016,15,41185
7820029,15,41184
7830010,15,41183
7840025,15,41181
7850007,15,41180
7860019,15,41174
7870002,15,41171
7880017,15,41164
7890026,15,41170
7900012,15,41186
7910022,15,41185
7920002,15,41170
7930013,15,41202
7940030,15,41178
7950012,15,41164
7960024,15,41198
7970007,15,41206
7980020,15,41187
7990000,15,41176
8000017,15,41183
8010029,15,41182
8020010,15,41193
8030022,15,41196
8040006,15,41187
8050018,15,41176
8059999,15,41181
8070012,15,41194
8080025,15,41202
8090008,15,41200
8100021,15,41207
8110002,15,41196
8120018,15,41189
8130029,15,41183
8140012,15,41184
8150022,15,41184
8160008,15,41212
8170021,15,41189
8180002,15,41203
8190015,15,41207
8200029,15,41184
8210008,15,41197
8220024,15,41210
8230004,15,41211
8240015,15,41207
8250028,15,41202
8260011,15,41208
8270024,15,41198
8280008,15,41202
8290017,15,41204
8300002,15,41195
8310012,15,41200
8320030,15,41202
8330010,15,41210
8340022,15,41198
8350005,15,41181
8360018,15,41217
8370002,15,41213
8380015,15,41226
8390028,15,41194
8400006,15,41230
8410020,15,41223
8420002,15,41195
8430016,15,41217
8440030,15,41204
8450013,15,41227
8460024,15,41221
8470006,15,41198
8480019,15,41221
8490002,15,41205
8500014,15,41245
8510027,15,41230
8520008,15,41214
8530022,15,41206
8540004,15,41222
8550018,15,41211
8560029,15,41216
8570011,15,41213
8580027,15,41222
8590008,15,41216
8600019,15,41221
8610000,15,41205
8620017,15,41227
8630028,15,41229
8640008,15,41209
8650024,15,41214
8660008,15,41204
8670017,15,41208
8680004,15,41237
8690011,15,41215
8700026,15,41230
8710007,15,41227
8720022,15,41243
8730003,15,41241
8740018,15,41221
8750029,15,41251
8760012,15,41228
8770023,15,41237
8780006,15,41204
8790017,15,41213
8800002,15,41238
8810015,15,41235
8820026,15,41244
8830009,15,41231
8840021,15,41218
8850004,15,41220
8860017,15,41234
8870028,15,41220
8880012,15,41242
8890024,15,41237
8900007,15,41237
8910022,15,41229
8920003,15,41230
8930014,15,41250
8940026,15,41229
8950010,15,41231
8960023,15,41259
8970006,15,41240
8980018,15,41246
8989999,15,41237
9000013,15,41246
9010027,15,41244
9020007,15,41243
9030020,15,41246
9040003,15,41229
9050017,15,41238
9060031,15,41221
9070009,15,41267
9080024,15,41235
9090004,15,41258
9100020,15,41242
9110001,15,41240
9120010,15,41243
9130027,15,41259
9140008,15,41264
9150022,15,41227
9160003,15,41273
9170016,15,41271
9180029,15,41252
9190012,15,41265
9200025,15,41266
9210005,15,41265
9220021,15,41251
9230003,15,41268
9240016,15,41248
9250029,15,41247
9260010,15,41257
9270022,15,41262
9280004,15,41271
9290016,15,41266
9300002,15,41236
9310014,15,41266
9320026,15,41253
9330008,15,41262
9340021,15,41247
9350001,15,41246
9360016,15,41268
9370027,15,41266
9380010,15,41253
9390024,15,41260
9400006,15,41259
9410017,15,41256
9420002,15,41275
9430014,15,41268
9440028,15,41260
9450010,15,41257
9460023,15,41249
9470004,15,41248
9480016,15,41268
9490028,15,41243
9500013,15,41248
9510027,15,41260
9520008,15,41263
9530020,15,41276
9540002,15,41274
9550014,15,41259
9560026,15,41254
9570008,15,41255
9580025,15,41288
9590008,15,41279
9600017,15,41291
9609998,15,41272
9620013,15,41270
9630027,15,41278
9640007,15,41272
9650022,15,41267
9660003,15,41269
9670015,15,41272
9680029,15,41270
9690009,15,41272
9700022,15,41283
9710006,15,41278
9720019,15,41280
9730001,15,41280
9740012,15,41290
9750027,15,41274
9760008,15,41276
9770019,15,41295
9780003,15,41272
9790016,15,41296
9800029,15,41283
9810009,15,41284
9820025,15,41281
9830007,15,41294
9840022,15,41309
9850002,15,41312
9860016,15,41289
9870025,15,41287
9880010,15,41258
9890023,15,41277
9900005,15,41276
9910018,15,41257
9920002,15,41290
9930013,15,41306
9940023,15,41299
9950006,15,41282
9960022,15,41295
9970004,15,41286
9980017,15,41312
9990029,15,41281
10000010,15,41283
10010022,15,41296
10020007,15,41297
10030019,15,41293
10040001,15,41291
10050014,15,41286
10060026,15,41297
10070011,15,41271
10080021,15,41290
10090003,15,41291
10100017,15,41310
10110029,15,41329
10120012,15,41303
10130027,15,41295
10140004,15,41300
10150021,15,41295
10160001,15,41290
10170013,15,41303
10180028,15,41301
10190010,15,41319
10200020,15,41306
10210006,15,41307
10220016,15,41286
10229998,15,41314
10240013,15,41310
10250026,15,41313
10260006,15,41302
10270022,15,41320
10280005,15,41301
10290015,15,41307
10300029,15,41290
10310011,15,41305
10320025,15,41328
10330010,15,41313
10340020,15,41321
10350002,15,41304
10360012,15,41306
10370028,15,41320
10380008,15,41331
10390023,15,41301
10400004,15,41323
10410013,15,41327
10420028,15,41325
10430011,15,41303
10440026,15,41323
10450006,15,41326
10460024,15,41316
10470002,15,41319
10480015,15,41317
10490029,15,41331
10500008,15,41347
10510021,15,41313
10520004,15,41322
10530020,15,41337
10540001,15,41314
10550016,15,41330
10560028,15,41324
10570010,15,41328
10580017,15,41325
10590004,15,41328
10600015,15,41324
10610031,15,41326
10620014,15,41332
10630024,15,41309
10640006,15,41315
10650017,15,41323
10660003,15,41325
10670014,15,41341
10680031,15,41339
10690008,15,41335
10700021,15,41329
10710003,15,41328
10720018,15,41324
10730031,15,41313
10740012,15,41338
10750025,15,41330
10760008,15,41347
10770021,15,41304
10780002,15,41333
10790015,15,41343
10800028,15,41338
10810008,15,41331
10820021,15,41324
10830005,15,41330
10840018,15,41349
10850001,15,41351
10860013,15,41327
10870027,15,41348
10880006,15,41328
10890022,15,41323
10900002,15,41337
10910017,15,41326
10920028,15,41345
10930010,15,41332
10940021,15,41345
10950009,15,41340
10960020,15,41333
10970000,15,41367
10980014,15,41334
10990028,15,41335
11000009,15,41336
11010021,15,41351
11020003,15,41359
11030019,15,41354
11040031,15,41354
11050009,15,41356
11060023,15,41343
11070005,15,41348
11080021,15,41376
11089999,15,41340
11100014,15,41342
11110027,15,41354
11120011,15,41344
11130022,15,41345
11140005,15,41347
11150018,15,41339
11160000,15,41376
11170013,15,41348
11180027,15,41354
11190005,15,41344
11200022,15,41366
11210003,15,41358
11220015,15,41364
11230030,15,41347
11240011,15,41376
11250025,15,41353
11260005,15,41348
11270017,15,41372
11280000,15,41368
11290016,15,41361
11300027,15,41360
11310009,15,41357
11320023,15,41360
11330005,15,41381
11340017,15,41354
11350028,15,41375
11360012,15,41350
11370024,15,41375
11380008,15,41362
11390021,15,41367
11400003,15,41340
11410016,15,41369
11420027,15,41338
11430012,15,41373
11440023,15,41380
11450004,15,41361
11460022,15,41356
11470000,15,41383
11480012,15,41366
11490027,15,41357
11500006,15,41373
11510022,15,41372
11520003,15,41357
11530017,15,41367
11540030,15,41362
11550011,15,41371
11560024,15,41366
11570004,15,41369
11580019,15,41364
11590002,15,41369
11600013,15,41372
11610028,15,41355
11620009,15,41392
11630022,15,41362
11640005,15,41383
11650018,15,41380
11660029,15,41384
11670013,15,41385
11680023,15,41391
11690008,15,41366
11700021,15,41376
11710002,15,41394
11720016,15,41395
11730028,15,41353
11740007,15,41375
11750021,15,41385
11760006,15,41375
11770018,15,41362
11779999,15,41357
11790013,15,41397
11800026,15,41391
11810008,15,41391
11820021,15,41381
11830001,15,41377
11840016,15,41386
11850029,15,41361
11860011,15,41382
11870027,15,41390
11880007,15,41406
11890019,15,41392
11900002,15,41413
11910013,15,41390
11920029,15,41376
11930010,15,41395
11940023,15,41397
11950003,15,41399
11960019,15,41367
11970030,15,41373
11980012,15,41381
11990024,15,41405
12000008,15,41390
12010020,15,41384
12020002,15,41402
12030016,15,41404
12040027,15,41394
12050008,15,41397
12060021,15,41415
12070005,15,41406
12080021,15,41414
12090000,15,41414
12100015,15,41383
12110025,15,41405
12120008,15,41383
12130021,15,41406
12140002,15,41376
12150015,15,41411
12160029,15,41410
12170009,15,41378
12180024,15,41378
12190007,15,41395
12200022,15,41423
12210000,15,41403
12220014,15,41412
12230027,15,41412
12240011,15,41402
12250022,15,41394
12260004,15,41408
12270017,15,41384
12280031,15,41415
12290012,15,41386
12300023,15,41392
12310007,15,41387
12320018,15,41415
12330003,15,41417
12340017,15,41405
12350026,15,41416
12360011,15,41410
12370023,15,41392
12380005,15,41418
12390018,15,41407
12400001,15,41418
12410013,15,41414
12420026,15,41415
12430007,15,41394
12440021,15,41428
12450005,15,41402
12460013,15,41421
12470030,15,41424
12480012,15,41399
12490023,15,41430
12500005,15,41413
12510018,15,41428
12519999,15,41420
12530013,15,41425
12540026,15,41424
12550007,15,41409
12560023,15,41441
12570007,15,41416
12580017,15,41429
12590030,15,41396
12600012,15,41428
12610027,15,41449
12620008,15,41409
12630019,15,41427
12640003,15,41415
12650015,15,41427
12660028,15,41432
12670007,15,41421
12680024,15,41407
12690007,15,41426
12700020,15,41419
12710000,15,41413
12720013,15,41432
12730027,15,41426
12740007,15,41431
12750023,15,41430
12760005,15,41421
12770017,15,41441
12780030,15,41411
12790013,15,41426
12800026,15,41425
12810005,15,41436
12820019,15,41442
12830005,15,41407
12840015,15,41442
12850027,15,41431
12860007,15,41415
12870022,15,41447
12880003,15,41420
12890016,15,41429
12900031,15,41409
12910014,15,41426
12920024,15,41426
12930007,15,41448
12940019,15,41443
12950002,15,41417
12960016,15,41452
12970029,15,41441
12980011,15,41444
12990024,15,41435
13000006,15,41450
13010016,15,41431
13020003,15,41439
13030013,15,41457
13040027,15,41448
13050007,15,41410
13060018,15,41443
13070005,15,41433
13080016,15,41443
13090027,15,41451
13100013,15,41436
13110026,15,41422
13120006,15,41454
13130020,15,41445
13139998,15,41430
13150013,15,41454
13160028,15,41448
13170008,15,41459
13180024,15,41473
13190005,15,41458
13200017,15,41432
13210031,15,41434
13220011,15,41442
13230024,15,41449
13240003,15,41439
13250022,15,41454
13260003,15,41451
13270015,15,41460
13280029,15,41448
13290008,15,41454
13300023,15,41436
13310005,15,41451
13320021,15,41459
13330002,15,41448
13340011,15,41452
13350026,15,41470
13360007,15,41455
13370021,15,41484
13380004,15,41449
13390016,15,41458
13400030,15,41453
13410011,15,41448
13420025,15,41443
13430007,15,41465
13440020,15,41439
13450001,15,41461
13460013,15,41478
13470028,15,41462
13480010,15,41451
13490023,15,41451
13500006,15,41468
13510015,15,41470
13520026,15,41454
13530011,15,41445
13540022,15,41471
13550005,15,41464
13560020,15,41472
13570002,15,41465
13580014,15,41442
13590029,15,41472
13600011,15,41472
13610021,15,41464
13620005,15,41491
13630021,15,41490
13640003,15,41464
13650013,15,41456
13660028,15,41465
13670007,15,41460
13680022,15,41486
13690005,15,41467
13700017,15,41473
13710028,15,41468
13720009,15,41467
13730022,15,41470
13740008,15,41482
13750021,15,41484
13760003,15,41478
13770011,15,41469
13780023,15,41466
13790009,15,41515
13800021,15,41466
13810003,15,41500
13820017,15,41482
13830029,15,41472
13840012,15,41482
13850021,15,41475
13860007,15,41490
13870018,15,41484
13880003,15,41474
13890015,15,41497
13900028,15,41490
13910009,15,41497
13920024,15,41492
13930003,15,41470
13940022,15,41494
13950002,15,41459
13960013,15,41491
13970028,15,41481
13980007,15,41475
13990020,15,41486
14000005,15,41486
14010017,15,41467
14020029,15,41482
