t_us,pin,raw
1000000,15,37173
1001021,15,37157
1002013,15,37174
1003004,15,37168
1004028,15,37158
1005022,15,37178
1006014,15,37164
1007004,15,37187
1008028,15,37181
1009018,15,37184
1010011,15,37185
1011003,15,37184
1012026,15,37147
1013019,15,37162
1014007,15,37157
1015002,15,37179
1016028,15,37169
1017018,15,37161
1018010,15,37186
1019004,15,37172
1020024,15,37173
1021016,15,37177
1022005,15,37168
1023000,15,37162
1024023,15,37186
1025014,15,37175
1026009,15,37173
1027031,15,37174
1028024,15,37173
1029014,15,37180
1030007,15,37200
1031030,15,37171
1032022,15,37149
1033012,15,37180
1034003,15,37194
1035030,15,37174
1036022,15,37182
1037010,15,37171
1038004,15,37157
1039027,15,37187
1040016,15,37163
1041009,15,37184
1042006,15,37167
1043024,15,37167
1044017,15,37151
1045011,15,37171
1046003,15,37198
1047027,15,37176
1048019,15,37178
1049009,15,37184
1050002,15,37178
1051022,15,37191
1052018,15,37177
1053008,15,37173
1053999,15,37172
1055025,15,37169
1056015,15,37173
1057007,15,37173
1058029,15,37173
1059026,15,37175
1060012,15,37185
1061004,15,37171
1062028,15,37173
1063018,15,37165
1064013,15,37177
1065005,15,37161
1066026,15,37176
1067020,15,37195
1068013,15,37202
1068999,15,37174
1070024,15,37179
1071018,15,37181
1072012,15,37166
1073004,15,37173
1074025,15,37153
1075018,15,37181
1076007,15,37167
1077001,15,37191
1078025,15,37157
1079016,15,37156
1080009,15,37188
1080999,15,37166
1082024,15,37175
1083018,15,37179
1084006,15,37166
1085001,15,37182
1086023,15,37176
1087016,15,37186
1088007,15,37190
1089032,15,37146
1090024,15,37173
1091014,15,37176
1092007,15,37173
1093026,15,37179
1094023,15,37174
1095014,15,37176
1096006,15,37194
1097027,15,37159
1098022,15,37164
1099011,15,37165
1100002,15,37167
1101027,15,37169
1102019,15,37166
1103011,15,37187
1104003,15,37166
1105028,15,37192
1106016,15,37162
1107010,15,37158
1108001,15,37162
1109027,15,37184
1110019,15,37175
1111008,15,37193
1112000,15,37185
1113025,15,37187
1114013,15,37167
1115008,15,37163
1116001,15,37165
1117021,15,37187
1118014,15,37175
1119007,15,37169
1120031,15,37172
1121023,15,37161
1122015,15,37193
1123006,15,37169
1124027,15,37176
1125022,15,37141
1126013,15,37159
1127004,15,37170
1128026,15,37187
1129021,15,37163
1130013,15,37165
1131004,15,37164
1132028,15,37174
1133020,15,37173
1134009,15,37178
1135003,15,37182
1136028,15,37175
1137017,15,37173
1138009,15,37176
1139003,15,37183
1140025,15,37177
1141018,15,37181
1142010,15,37160
1143002,15,37179
1144023,15,37158
1145018,15,37171
1146006,15,37177
1147000,15,37175
1148022,15,37169
1149013,15,37176
1150009,15,37174
1151033,15,37149
1152021,15,37180
1153015,15,37173
1154006,15,37172
1155030,15,37172
1156020,15,37173
1157012,15,37169
1158003,15,37186
1159025,15,37184
1160022,15,37192
1161013,15,37205
1162007,15,37184
1163027,15,37178
1164021,15,37195
1165012,15,37182
1166004,15,37182
1167026,15,37175
1168016,15,37172
1169011,15,37166
1170003,15,37176
1171024,15,37157
1172019,15,37171
1173009,15,37195
1173999,15,37174
1175024,15,37189
1176016,15,37172
1177010,15,37171
1177999,15,37185
1179024,15,37177
1180016,15,37184
1181006,15,37176
1182030,15,37168
1183020,15,37181
1184015,15,37159
1185007,15,37182
1186032,15,37174
1187020,15,37186
1188010,15,37173
1189005,15,37155
1190028,15,37189
1191021,15,37190
1192012,15,37188
1193002,15,37168
1194027,15,37177
1195020,15,37172
1196010,15,37179
1197003,15,37149
1198024,15,37163
1199016,15,37173
