t_us,pin,raw
1000000,15,3370
1001023,15,3348
1002013,15,3377
1003002,15,3387
1004029,15,3374
1005021,15,3385
1006013,15,3366
1007005,15,3371
1008028,15,3379
1009017,15,3399
1010012,15,3381
1011003,15,3379
1012026,15,3371
1013017,15,3359
1014010,15,3377
1015002,15,3366
1016027,15,3382
1017018,15,3378
1018009,15,3352
1019002,15,3370
1020022,15,3389
1021015,15,3371
1022005,15,3378
1023000,15,3370
1024024,15,3378
1025015,15,3384
1026007,15,3390
1027031,15,3362
1028020,15,3371
1029015,15,3373
1030004,15,3367
1031029,15,3369
1032021,15,3378
1033012,15,3374
1034006,15,3372
1035026,15,3366
1036022,15,3368
1037010,15,3367
1038004,15,3378
1039028,15,3379
1040019,15,3384
1041011,15,3387
1042003,15,3366
1043025,15,3375
1044016,15,3389
1045012,15,3360
1046001,15,3359
1047025,15,3370
1048017,15,3357
1049009,15,3382
1050002,15,3373
1051023,15,3364
1052016,15,3386
1053012,15,3378
1053998,15,3367
1055019,15,3376
1056015,15,3360
1057008,15,3392
1058027,15,3342
1059021,15,3374
1060014,15,3374
1061005,15,3382
1062029,15,3367
1063021,15,3375
1064011,15,3371
1065004,15,3375
1066029,15,3381
1067018,15,3393
1068013,15,3380
1069002,15,3379
1070028,15,3360
1071021,15,3394
1072009,15,3363
1073004,15,3382
1074025,15,3375
1075017,15,3357
1076012,15,3372
1077003,15,3368
1078025,15,3373
1079018,15,3381
1080009,15,3376
1081004,15,3367
1082025,15,3380
1083016,15,3370
1084007,15,3379
1085000,15,3380
1086022,15,3348
1087015,15,3374
1088007,15,3372
1089030,15,3380
1090023,15,3383
1091010,15,3372
1092004,15,3390
1093027,15,3363
1094022,15,3373
1095011,15,3357
1096007,15,3377
1097028,15,3377
1098020,15,3363
1099012,15,3380
1100005,15,3369
1101025,15,3378
1102019,15,3396
1103011,15,3376
1104005,15,3343
1105025,15,3376
1106016,15,3365
1107013,15,3368
1108001,15,3380
1109025,15,3381
1110018,15,3380
1111010,15,3372
1112000,15,3379
1113022,15,3354
1114013,15,3374
1115006,15,3379
1116000,15,3373
1117025,15,3403
1118016,15,3380
1119005,15,3374
1120028,15,3381
1121021,15,3348
1122013,15,3378
1123007,15,3379
1124030,15,3378
1125021,15,3384
1126014,15,3365
1127006,15,3390
1128027,15,3376
1129019,15,3385
1130012,15,3370
1131005,15,3378
1132026,15,3371
1133018,15,3374
1134008,15,3353
1135003,15,3348
1136027,15,3373
1137019,15,3358
1138010,15,3383
1139003,15,3383
1140024,15,3382
1141016,15,3377
1142009,15,3374
1143005,15,3353
1144022,15,3388
1145018,15,3355
1146006,15,3367
1146998,15,3371
1148023,15,3370
1149012,15,3371
1150007,15,3371
1151027,15,3367
1152022,15,3386
1153015,15,3382
1154003,15,3384
1155028,15,3365
1156020,15,3358
1157013,15,3379
1158005,15,3363
1159028,15,3386
1160019,15,3364
1161013,15,3377
1162003,15,3397
1163027,15,3367
1164019,15,3356
1165012,15,3360
1166004,15,3367
1167028,15,3373
1168018,15,3373
1169008,15,3385
1170002,15,3366
1171026,15,3385
1172015,15,3366
1173008,15,3355
1174002,15,3393
1175027,15,3374
1176015,15,3385
1177009,15,3392
1178000,15,3391
1179023,15,3383
1180013,15,3363
1181009,15,3381
1182030,15,3388
1183020,15,3373
1184015,15,3380
1185005,15,3361
1186029,15,3367
1187021,15,3387
1188013,15,3358
1189006,15,3381
1190027,15,3367
1191019,15,3371
1192013,15,3385
1193003,15,3389
1194026,15,3363
1195016,15,3369
1196013,15,3352
1197002,15,3366
1198025,15,3359
1199020,15,3373
