t_us,pin,raw
1000000,15,3390
1001021,15,3391
1002012,15,3392
1003006,15,3372
1004028,15,3402
1005019,15,3380
1006012,15,3401
1007005,15,3383
1008025,15,3371
1009018,15,3394
1010011,15,3409
1011003,15,3394
1012025,15,3380
1013018,15,3391
1014010,15,3384
1015005,15,3392
1016028,15,3390
1017019,15,3373
1018008,15,3386
1019000,15,3391
1020021,15,3391
1021018,15,3395
1022008,15,3386
1022999,15,3397
1024021,15,3384
1025018,15,3401
1026005,15,3388
1027030,15,3370
1028022,15,3385
1029014,15,3373
1030008,15,3397
1031028,15,3394
1032023,15,3382
1033014,15,3391
1034006,15,3394
1035028,15,3401
1036022,15,3388
1037010,15,3394
1038004,15,3390
1039025,15,3402
1040021,15,3407
1041012,15,3380
1042006,15,3398
1043027,15,3395
1044019,15,3376
1045010,15,3389
1046001,15,3392
1047026,15,3387
1048017,15,3393
1049009,15,3414
1050002,15,3409
1051024,15,3385
1052016,15,3385
1053008,15,3384
1053999,15,3374
1055022,15,3395
1056014,15,3392
1057008,15,3388
1058033,15,3393
1059023,15,3384
1060013,15,3382
1061007,15,3388
1062031,15,3394
1063022,15,3385
1064012,15,3388
1065004,15,3386
1066030,15,3414
1067018,15,3401
1068011,15,3385
1069003,15,3387
1070028,15,3389
1071017,15,3365
1072010,15,3381
1073000,15,3407
1074024,15,3405
1075018,15,3404
1076010,15,3401
1077001,15,3385
1078026,15,3397
1079019,15,3378
1080011,15,3395
1081002,15,3400
1082026,15,3398
1083019,15,3381
1084006,15,3401
1084998,15,3390
1086022,15,3400
1087016,15,3365
1088008,15,3395
1089030,15,3384
1090022,15,3386
1091013,15,3408
1092006,15,3392
1093033,15,3400
1094022,15,3376
1095012,15,3395
1096004,15,3408
1097028,15,3386
1098019,15,3383
1099012,15,3383
1100005,15,3389
1101025,15,3380
1102019,15,3378
1103011,15,3392
1104002,15,3404
1105024,15,3402
1106018,15,3387
1107012,15,3386
1108002,15,3407
1109022,15,3376
1110016,15,3393
1111010,15,3385
1112001,15,3399
1113021,15,3400
1114020,15,3408
1115009,15,3391
1115999,15,3395
1117023,15,3391
1118014,15,3399
1119008,15,3397
1120034,15,3380
1121022,15,3385
1122015,15,3405
1123006,15,3386
1124028,15,3389
1125020,15,3399
1126012,15,3397
1127005,15,3394
1128029,15,3402
1129019,15,3389
1130016,15,3380
1131004,15,3400
1132027,15,3375
1133021,15,3374
1134012,15,3383
1135000,15,3397
1136028,15,3387
1137016,15,3377
1138009,15,3396
1139002,15,3378
1140028,15,3386
1141017,15,3383
1142010,15,3366
1143000,15,3393
1144022,15,3390
1145016,15,3420
1146008,15,3378
1147000,15,3407
1148024,15,3388
1149016,15,3388
1150008,15,3404
1151029,15,3373
1152023,15,3397
1153016,15,3387
1154007,15,3402
1155029,15,3388
1156023,15,3395
1157010,15,3398
1158006,15,3400
1159025,15,3411
1160021,15,3408
1161013,15,3392
1162002,15,3381
1163027,15,3383
1164021,15,3391
1165009,15,3400
1166002,15,3382
1167024,15,3379
1168018,15,3400
1169008,15,3387
1170001,15,3396
1171027,15,3384
1172019,15,3381
1173009,15,3387
1174002,15,3384
1175024,15,3370
1176018,15,3387
1177009,15,3401
1177999,15,3387
1179019,15,3397
1180018,15,3382
1181008,15,3375
1182029,15,3379
1183022,15,3402
1184016,15,3398
1185006,15,3394
1186030,15,3378
1187020,15,3381
1188013,15,3391
1189004,15,3387
1190028,15,3402
1191020,15,3390
1192012,15,3386
1193001,15,3401
1194027,15,3386
1195021,15,3395
1196010,15,3387
1197003,15,3377
1198024,15,3382
1199020,15,3381
