t_us,pin,raw
1000000,15,3305
1001022,15,3316
1002014,15,3277
1003005,15,3292
1004027,15,3300
1005019,15,3311
1006012,15,3320
1007005,15,3299
1008028,15,3273
1009017,15,3294
1010009,15,3316
1011001,15,3303
1012025,15,3324
1013018,15,3304
1014009,15,3317
1015006,15,3302
1016023,15,3308
1017014,15,3313
1018009,15,3289
1019001,15,3305
1020020,15,3302
1021014,15,3308
1022008,15,3312
1023000,15,3283
1024022,15,3310
1025015,15,3308
1026008,15,3298
1027029,15,3305
1028020,15,3299
1029015,15,3288
1030004,15,3301
1031028,15,3314
1032022,15,3306
1033010,15,3313
1034005,15,3307
1035026,15,3292
1036022,15,3315
1037011,15,3289
1038005,15,3270
1039027,15,3332
1040018,15,3307
1041011,15,3308
1042002,15,3298
1043026,15,3285
1044019,15,3294
1045008,15,3279
1046002,15,3298
1047026,15,3303
1048016,15,3319
1049009,15,3302
1050000,15,3300
1051025,15,3314
1052018,15,3310
1053008,15,3300
1054000,15,3302
1055024,15,3295
1056017,15,3309
1057006,15,3297
1058031,15,3305
1059024,15,3307
1060017,15,3294
1061008,15,3311
1062027,15,3301
1063020,15,3291
1064013,15,3316
1065004,15,3297
1066028,15,3320
1067021,15,3299
1068014,15,3326
1069004,15,3304
1070027,15,3327
1071019,15,3314
1072011,15,3302
1073005,15,3293
1074026,15,3312
1075017,15,3287
1076013,15,3316
1077003,15,3314
1078023,15,3320
1079018,15,3307
1080012,15,3306
1081000,15,3304
1082023,15,3312
1083018,15,3303
1084008,15,3296
1084997,15,3301
1086023,15,3297
1087012,15,3291
1088006,15,3321
1089031,15,3297
1090026,15,3300
1091014,15,3311
1092006,15,3313
1093029,15,3301
1094022,15,3313
1095014,15,3293
1096005,15,3306
1097027,15,3299
1098022,15,3304
1099010,15,3294
1100004,15,3309
1101026,15,3292
1102018,15,3306
1103009,15,3305
1104005,15,3294
1105025,15,3286
1106018,15,3309
1107013,15,3307
1108002,15,3302
1109025,15,3307
1110016,15,3290
1111007,15,3299
1112001,15,3309
1113022,15,3321
1114014,15,3294
1115009,15,3309
1116002,15,3290
1117026,15,3310
1118017,15,3307
1119008,15,3305
1120029,15,3315
1121021,15,3315
1122014,15,3305
1123007,15,3312
1124029,15,3303
1125021,15,3305
1126013,15,3316
1127006,15,3295
1128028,15,3297
1129023,15,3304
1130011,15,3301
1131004,15,3304
1132026,15,3280
1133018,15,3297
1134010,15,3304
1135004,15,3311
1136028,15,3315
1137020,15,3287
1138009,15,3318
1139000,15,3297
1140024,15,3291
1141018,15,3322
1142009,15,3297
1143002,15,3306
1144024,15,3301
1145016,15,3301
1146008,15,3302
1147000,15,3303
1148024,15,3298
1149014,15,3308
1150007,15,3312
1151033,15,3313
1152023,15,3307
1153014,15,3287
1154008,15,3305
1155030,15,3293
1156021,15,3310
1157014,15,3301
1158006,15,3309
1159028,15,3295
1160020,15,3288
1161011,15,3295
1162003,15,3305
1163026,15,3289
1164017,15,3309
1165007,15,3322
1166002,15,3302
1167025,15,3313
1168016,15,3310
1169010,15,3306
1170004,15,3292
1171023,15,3303
1172018,15,3308
1173009,15,3292
1173999,15,3314
1175023,15,3317
1176016,15,3304
1177010,15,3321
1177999,15,3312
1179023,15,3323
1180015,15,3301
1181007,15,3311
1182031,15,3297
1183020,15,3289
1184012,15,3306
1185010,15,3289
1186032,15,3305
1187023,15,3310
1188011,15,3292
1189005,15,3296
1190028,15,3311
1191024,15,3299
1192012,15,3297
1193005,15,3301
1194025,15,3302
1195019,15,3299
1196009,15,3291
1197002,15,3275
1198026,15,3304
1199017,15,3301
