t_us,pin,raw
1000000,15,5058
1001023,15,5067
1002013,15,5077
1003007,15,5074
1004027,15,5051
1005023,15,5055
1006013,15,5056
1007005,15,5055
1008025,15,5068
1009021,15,5086
1010011,15,5043
1011004,15,5080
1012027,15,5068
1013018,15,5068
1014011,15,5056
1015001,15,5071
1016025,15,5071
1017017,15,5066
1018009,15,5058
1019002,15,5042
1020025,15,5066
1021015,15,5061
1022006,15,5102
1023000,15,5060
1024024,15,5082
1025017,15,5075
1026006,15,5047
1027032,15,5073
1028024,15,5070
1029014,15,5068
1030008,15,5094
1031032,15,5076
1032021,15,5055
1033012,15,5070
1034008,15,5051
1035030,15,5060
1036020,15,5062
1037010,15,5078
1038005,15,5078
1039029,15,5078
1040020,15,5053
1041012,15,5080
1042003,15,5079
1043023,15,5077
1044018,15,5088
1045009,15,5092
1046002,15,5045
1047025,15,5081
1048018,15,5067
1049011,15,5067
1050002,15,5076
1051025,15,5070
1052014,15,5051
1053008,15,5073
1054002,15,5053
1055022,15,5075
1056015,15,5058
1057009,15,5073
1058030,15,5047
1059022,15,5056
1060015,15,5052
1061005,15,5077
1062028,15,5058
1063026,15,5070
1064012,15,5055
1065008,15,5063
1066026,15,5056
1067021,15,5061
1068012,15,5065
1069006,15,5054
1070028,15,5056
1071020,15,5071
1072013,15,5066
1073003,15,5088
1074028,15,5060
1075020,15,5061
1076009,15,5090
1077002,15,5074
1078026,15,5066
1079017,15,5052
1080007,15,5057
1081001,15,5081
1082025,15,5032
1083017,15,5059
1084009,15,5060
1085003,15,5044
1086023,15,5067
1087014,15,5076
1088007,15,5086
1089032,15,5061
1090025,15,5061
1091014,15,5045
1092009,15,5051
1093030,15,5086
1094020,15,5067
1095013,15,5061
1096007,15,5052
1097030,15,5076
1098022,15,5079
1099013,15,5094
1100004,15,5069
1101025,15,5071
1102017,15,5066
1103012,15,5080
1104003,15,5067
1105026,15,5055
1106020,15,5088
1107007,15,5052
1108001,15,5065
1109025,15,5062
1110015,15,5073
1111009,15,5058
1112004,15,5051
1113024,15,5074
1114019,15,5070
1115007,15,5072
1116004,15,5077
1117025,15,5055
1118019,15,5065
1119008,15,5055
1120031,15,5066
1121021,15,5068
1122015,15,5069
1123003,15,5083
1124031,15,5077
1125019,15,5074
1126014,15,5049
1127004,15,5058
1128028,15,5053
1129022,15,5075
1130013,15,5052
1131007,15,5062
1132028,15,5080
1133021,15,5054
1134014,15,5071
1135004,15,5052
1136024,15,5078
1137018,15,5065
1138011,15,5070
1139001,15,5055
1140026,15,5055
1141020,15,5076
1142011,15,5071
1143000,15,5079
1144023,15,5087
1145018,15,5065
1146010,15,5059
1147000,15,5078
1148025,15,5073
1149015,15,5058
1150006,15,5069
1151030,15,5061
1152022,15,5060
1153014,15,5076
1154005,15,5050
1155028,15,5079
1156019,15,5070
1157011,15,5082
1158004,15,5072
1159030,15,5061
1160018,15,5065
1161009,15,5055
1162003,15,5062
1163026,15,5058
1164018,15,5050
1165010,15,5069
1166004,15,5073
1167026,15,5090
1168016,15,5056
1169008,15,5056
1170002,15,5083
1171025,15,5054
1172015,15,5081
1173010,15,5089
1173999,15,5049
1175023,15,5064
1176014,15,5093
1177009,15,5061
1178000,15,5061
1179024,15,5054
1180017,15,5054
1181005,15,5064
1182032,15,5059
1183023,15,5085
1184011,15,5061
1185008,15,5061
1186029,15,5081
1187021,15,5073
1188015,15,5067
1189004,15,5048
1190029,15,5058
1191020,15,5055
1192012,15,5067
1193002,15,5064
1194027,15,5068
1195019,15,5068
1196010,15,5077
1197005,15,5071
1198024,15,5049
1199021,15,5083
