t_us,pin,raw
1000000,15,3296
1001021,15,3299
1002013,15,3297
1003003,15,3303
1004028,15,3306
1005020,15,3307
1006012,15,3296
1007003,15,3311
1008025,15,3293
1009019,15,3304
1010009,15,3310
1011004,15,3299
1012027,15,3312
1013021,15,3291
1014009,15,3306
1015001,15,3282
1016028,15,3301
1017018,15,3293
1018012,15,3319
1019002,15,3293
1020023,15,3298
1021016,15,3315
1022007,15,3308
1023000,15,3303
1024023,15,3300
1025016,15,3296
1026004,15,3298
1027031,15,3305
1028019,15,3296
1029015,15,3301
1030006,15,3302
1031028,15,3295
1032021,15,3281
1033015,15,3313
1034004,15,3300
1035027,15,3314
1036019,15,3301
1037008,15,3308
1038004,15,3294
1039025,15,3281
1040018,15,3298
1041010,15,3288
1042002,15,3302
1043025,15,3316
1044017,15,3281
1045013,15,3289
1046004,15,3295
1047023,15,3283
1048018,15,3299
1049011,15,3316
1049998,15,3297
1051023,15,3303
1052015,15,3304
1053006,15,3316
1054001,15,3290
1055021,15,3298
1056017,15,3313
1057011,15,3313
1058031,15,3305
1059020,15,3292
1060013,15,3296
1061007,15,3297
1062026,15,3302
1063021,15,3306
1064015,15,3304
1065004,15,3307
1066029,15,3317
1067021,15,3301
1068011,15,3323
1069006,15,3295
1070023,15,3294
1071019,15,3299
1072011,15,3279
1073003,15,3282
1074025,15,3310
1075018,15,3304
1076011,15,3309
1077003,15,3300
1078025,15,3297
1079014,15,3305
1080010,15,3302
1081002,15,3300
1082022,15,3305
1083017,15,3308
1084006,15,3290
1085000,15,3291
1086022,15,3309
1087016,15,3295
1088006,15,3297
1089031,15,3309
1090024,15,3309
1091014,15,3294
1092006,15,3304
1093030,15,3289
1094023,15,3307
1095014,15,3306
1096004,15,3295
1097027,15,3301
1098021,15,3300
1099014,15,3304
1100004,15,3303
1101029,15,3306
1102021,15,3297
1103007,15,3316
1104003,15,3301
1105027,15,3312
1106017,15,3304
1107013,15,3293
1108000,15,3315
1109026,15,3290
1110018,15,3306
1111012,15,3306
1112000,15,3286
1113024,15,3298
1114015,15,3286
1115008,15,3315
1115998,15,3293
1117023,15,3321
1118016,15,3304
1119006,15,3289
1120029,15,3282
1121023,15,3302
1122017,15,3310
1123007,15,3304
1124028,15,3308
1125020,15,3308
1126013,15,3316
1127006,15,3296
1128031,15,3312
1129019,15,3306
1130013,15,3302
1131005,15,3315
1132026,15,3295
1133020,15,3296
1134010,15,3300
1135001,15,3305
1136028,15,3312
1137018,15,3278
1138011,15,3297
1139003,15,3300
1140026,15,3308
1141018,15,3301
1142010,15,3301
1143002,15,3313
1144027,15,3289
1145018,15,3312
1146007,15,3308
1146998,15,3309
1148023,15,3309
1149015,15,3299
1150008,15,3293
1151030,15,3303
1152023,15,3301
1153013,15,3286
1154006,15,3293
1155028,15,3286
1156020,15,3290
1157015,15,3306
1158008,15,3304
1159029,15,3308
1160022,15,3324
1161014,15,3301
1162002,15,3292
1163028,15,3319
1164019,15,3311
1165013,15,3313
1166002,15,3311
1167029,15,3306
1168017,15,3288
1169011,15,3292
1170003,15,3285
1171025,15,3290
1172014,15,3294
1173010,15,3286
1174003,15,3286
1175024,15,3309
1176015,15,3295
1177007,15,3286
1177998,15,3307
1179023,15,3307
1180014,15,3306
1181007,15,3297
1182030,15,3300
1183022,15,3308
1184015,15,3301
1185006,15,3300
1186029,15,3303
1187020,15,3287
1188015,15,3301
1189007,15,3314
1190029,15,3307
1191020,15,3318
1192009,15,3275
1193002,15,3301
1194029,15,3288
1195018,15,3312
1196012,15,3297
1197003,15,3302
1198027,15,3327
1199020,15,3311
