t_us,pin,raw
1000000,15,20937
1001021,15,20944
1002012,15,20938
1003004,15,20928
1004029,15,20955
1005021,15,20929
1006012,15,20955
1007004,15,20954
1008026,15,20940
1009019,15,20939
1010009,15,20938
1011003,15,20942
1012027,15,20960
1013021,15,20926
1014011,15,20943
1015000,15,20957
1016026,15,20944
1017018,15,20934
1018012,15,20940
1018999,15,20936
1020021,15,20962
1021014,15,20916
1022010,15,20956
1022998,15,20920
1024024,15,20944
1025016,15,20941
1026010,15,20931
1027029,15,20932
1028023,15,20932
1029015,15,20931
1030004,15,20951
1031028,15,20914
1032020,15,20937
1033014,15,20934
1034006,15,20941
1035030,15,20937
1036023,15,20938
1037013,15,20928
1038005,15,20927
1039026,15,20918
1040020,15,20923
1041011,15,20940
1042003,15,20929
1043026,15,20951
1044017,15,20931
1045008,15,20919
1046003,15,20942
1047025,15,20938
1048017,15,20949
1049009,15,20951
1050001,15,20924
1051579,15,20920
1052602,15,20950
1053599,15,20931
1054589,15,20952
1055583,15,20943
1056606,15,20935
1057598,15,20957
1058587,15,20938
1059579,15,20963
1060602,15,20947
1061595,15,20945
1062585,15,20931
1063578,15,20939
1064602,15,20947
1065593,15,20950
1066584,15,20948
1067610,15,20948
1068600,15,20944
1069593,15,20947
1070585,15,20913
1071607,15,20934
1072598,15,20934
1073593,15,20939
1074585,15,20946
1075606,15,20942
1076598,15,20945
1077591,15,20935
1078581,15,20941
1079605,15,20936
1080597,15,20956
1081591,15,20919
1082580,15,20942
1083606,15,20944
1084599,15,20946
1085591,15,20937
1086579,15,20934
1087604,15,20932
1088594,15,20932
1089584,15,20935
1090580,15,20925
1091603,15,20929
1092597,15,20939
1093588,15,20932
1094579,15,20933
1095602,15,20948
1096594,15,20939
1097586,15,20911
1098608,15,20945
1099600,15,20934
1100592,15,20963
1101588,15,20931
1102608,15,20932
1103598,15,20952
1104593,15,20936
1105585,15,20930
1106609,15,20926
1107600,15,20935
1108591,15,20929
1109583,15,20940
1110607,15,20945
1111598,15,20944
1112589,15,20919
1113583,15,20936
1114607,15,20920
1115596,15,20949
1116590,15,20933
1117579,15,20953
1118604,15,20919
1119595,15,20934
1120590,15,20942
1121580,15,20930
1122604,15,20945
1123594,15,20927
1124587,15,20938
1125578,15,20927
1126601,15,20933
1127596,15,20931
1128584,15,20940
1129611,15,20934
1130599,15,20942
1131594,15,20934
1132584,15,20945
1133607,15,20962
1134600,15,20924
1135593,15,20942
1136583,15,20950
1137611,15,20924
1138599,15,20933
1139591,15,20945
1140581,15,20923
1141605,15,20920
1142597,15,20944
1143587,15,20934
1144582,15,20923
1145605,15,20936
1146595,15,20936
1147588,15,20934
1148580,15,20943
1149605,15,20948
1150598,15,20968
1151584,15,20942
1152581,15,20942
1153604,15,20931
1154596,15,20929
1155589,15,20947
1156579,15,20936
1157603,15,20929
1158594,15,20941
1159585,15,20932
1160609,15,20953
1161600,15,20922
1162593,15,20956
1163583,15,20929
1164611,15,20927
1165599,15,20952
1166593,15,20926
1167583,15,20923
1168606,15,20948
1169599,15,20924
1170591,15,20921
1171586,15,20942
1172608,15,20941
1173598,15,20950
1174591,15,20940
1175577,15,20948
1176606,15,20950
1177593,15,20931
1178592,15,20936
1179581,15,20930
1180605,15,20918
1181597,15,20944
1182587,15,20945
1183576,15,20951
1184599,15,20953
1185593,15,20930
1186588,15,20916
1187580,15,20928
1188601,15,20931
1189594,15,20940
1190585,15,20932
1191609,15,20942
1192603,15,20934
1193596,15,20925
1194581,15,20950
1195607,15,20949
1196600,15,20961
1197593,15,20973
1198584,15,20932
1199606,15,20934
