t_us,pin,raw
1000000,15,39046
1000000,16,62101
1001002,15,39038
1001002,16,62085
1002025,15,39010
1002025,16,62079
1002999,15,39026
1002999,16,62090
1004019,15,39037
1004019,16,62065
1005038,15,39058
1005038,16,62077
1006017,15,39039
1006017,16,62062
1007038,15,39049
1007038,16,62064
1008016,15,39036
1008016,16,62064
1009034,15,39027
1009034,16,62068
1010014,15,39019
1010014,16,62079
1011030,15,39014
1011030,16,62068
1012010,15,39039
1012010,16,62080
1013029,15,39044
1013029,16,62084
1014010,15,39042
1014010,16,62070
1015027,15,39046
1015027,16,62088
1016007,15,39036
1016007,16,62066
1017027,15,39040
1017027,16,62071
1018007,15,39043
1018007,16,62080
1019021,15,39036
1019021,16,62090
1020003,15,39029
1020003,16,62065
1021021,15,39047
1021021,16,62077
1022039,15,39020
1022039,16,62079
1023017,15,39026
1023017,16,62090
1024036,15,39042
1024036,16,62079
1025015,15,39029
1025015,16,62059
1026034,15,39016
1026034,16,62071
1027010,15,39022
1027010,16,62081
1028033,15,39046
1028033,16,62086
1029011,15,39022
1029011,16,62080
1030031,15,39045
1030031,16,62075
1031007,15,39032
1031007,16,62097
1032028,15,39024
1032028,16,62063
1033004,15,39019
1033004,16,62069
1034025,15,39046
1034025,16,62090
1035005,15,39030
1035005,16,62085
1036024,15,39016
1036024,16,62074
1037001,15,39038
1037001,16,62071
1038020,15,39020
1038020,16,62078
1039040,15,39038
1039040,16,62072
1040017,15,39025
1040017,16,62058
1041038,15,39027
1041038,16,62062
1042014,15,39043
1042014,16,62060
1043036,15,39031
1043036,16,62080
1044013,15,39034
1044013,16,62077
1045031,15,39044
1045031,16,62066
1046009,15,39033
1046009,16,62077
1047027,15,39030
1047027,16,62074
1048005,15,39013
1048005,16,62063
1049030,15,39027
1049030,16,62060
1050005,15,39029
1050005,16,62058
1051024,15,39049
1051024,16,62068
1052002,15,39020
1052002,16,62058
1053025,15,39042
1053025,16,62077
1054001,15,39038
1054001,16,62078
1055020,15,39021
1055020,16,62087
1056036,15,39024
1056036,16,62073
1057017,15,39039
1057017,16,62066
1058039,15,39043
1058039,16,62059
1059016,15,39029
1059016,16,62080
1060035,15,39045
1060035,16,62083
1061010,15,39039
1061010,16,62088
1062032,15,39022
1062032,16,62073
1063012,15,39037
1063012,16,62073
1064030,15,39051
1064030,16,62074
1065006,15,39036
1065006,16,62076
1066027,15,39035
1066027,16,62066
1067006,15,39035
1067006,16,62077
1068025,15,39031
1068025,16,62058
1069000,15,39051
1069000,16,62065
1070021,15,39043
1070021,16,62085
1071001,15,39040
1071001,16,62074
1072020,15,39038
1072020,16,62078
1073042,15,39023
1073042,16,62077
1074020,15,39032
1074020,16,62070
1075036,15,39035
1075036,16,62068
1076016,15,39034
1076016,16,62063
1077033,15,39028
1077033,16,62075
1078012,15,39015
1078012,16,62061
1079034,15,39040
1079034,16,62101
1080012,15,39048
1080012,16,62084
1081031,15,39005
1081031,16,62088
1082008,15,39027
1082008,16,62061
1083027,15,39045
1083027,16,62085
1084005,15,39021
1084005,16,62097
1085026,15,39035
1085026,16,62079
1086002,15,39030
1086002,16,62072
1087022,15,39011
1087022,16,62058
1088000,15,39036
1088000,16,62057
1089024,15,39019
1089024,16,62051
1090043,15,39034
1090043,16,62075
1091014,15,39027
1091014,16,62069
1092038,15,39031
1092038,16,62090
1093015,15,39013
1093015,16,62042
1094035,15,39042
1094035,16,62066
1095012,15,39021
1095012,16,62078
1096032,15,39024
1096032,16,62082
1097009,15,39042
1097009,16,62071
1098030,15,39037
1098030,16,62086
1099007,15,39023
1099007,16,62041
1100027,15,39030
1100027,16,62077
1101002,15,39026
1101002,16,62081
1102025,15,39042
1102025,16,62073
1103002,15,39025
1103002,16,62071
1104025,15,39012
1104025,16,62055
1104999,15,39047
1104999,16,62072
1106019,15,39015
1106019,16,62066
1107040,15,38997
1107040,16,62071
1108018,15,39035
1108018,16,62084
1109038,15,39029
1109038,16,62081
1110018,15,39035
1110018,16,62076
1111033,15,39033
1111033,16,62080
1112011,15,39041
1112011,16,62068
1113033,15,39039
1113033,16,62077
1114009,15,39021
1114009,16,62064
1115031,15,39019
1115031,16,62051
1116011,15,39036
1116011,16,62089
1117030,15,39038
1117030,16,62058
1118005,15,39039
1118005,16,62068
1119027,15,39049
1119027,16,62075
1120002,15,39022
1120002,16,62069
1121022,15,39029
1121022,16,62085
1122000,15,39026
1122000,16,62085
1123020,15,39024
1123020,16,62082
1124039,15,39034
1124039,16,62090
1125018,15,39009
1125018,16,62080
1126041,15,39046
1126041,16,62072
1127015,15,39042
1127015,16,62105
1128035,15,39040
1128035,16,62060
1129013,15,39054
1129013,16,62101
1130033,15,39021
1130033,16,62060
1131010,15,39041
1131010,16,62068
1132030,15,39050
1132030,16,62065
1133005,15,39037
1133005,16,62059
1134026,15,39023
1134026,16,62078
1135008,15,39033
1135008,16,62074
1136024,15,39051
1136024,16,62082
1137002,15,39034
1137002,16,62076
1138023,15,39030
1138023,16,62077
1139000,15,39035
1139000,16,62075
1140019,15,39023
1140019,16,62068
1141041,15,39032
1141041,16,62098
1142018,15,39021
1142018,16,62060
1143038,15,39025
1143038,16,62061
1144015,15,39014
1144015,16,62069
1145036,15,39042
1145036,16,62074
1146012,15,39016
1146012,16,62065
1147032,15,39048
1147032,16,62076
1148009,15,39044
1148009,16,62082
1149031,15,39032
1149031,16,62062
1150008,15,39023
1150008,16,62079
1151028,15,39029
1151028,16,62084
1152004,15,39025
1152004,16,62079
1153026,15,39034
1153026,16,62067
1154000,15,39011
1154000,16,62076
1155022,15,39044
1155022,16,62080
1155997,15,39041
1155997,16,62048
1157020,15,39033
1157020,16,62060
1158039,15,39038
1158039,16,62067
1159018,15,39021
1159018,16,62047
1160036,15,39034
1160036,16,62070
1161015,15,39040
1161015,16,62082
1162031,15,39037
1162031,16,62066
1163014,15,39045
1163014,16,62086
1164028,15,39042
1164028,16,62072
1165011,15,39043
1165011,16,62069
1166029,15,39029
1166029,16,62080
1167010,15,39022
1167010,16,62084
1168025,15,39035
1168025,16,62079
1169005,15,39034
1169005,16,62066
1170025,15,39045
1170025,16,62078
1171003,15,39053
1171003,16,62067
1172023,15,39039
1172023,16,62084
1172998,15,39023
1172998,16,62088
1174020,15,39035
1174020,16,62082
1175041,15,39016
1175041,16,62084
1176017,15,39055
1176017,16,62061
