t_us,pin,raw
1000000,15,35121
1000000,16,62066
1001006,15,35082
1001006,16,62087
1002021,15,35092
1002021,16,62067
1002999,15,35082
1002999,16,62064
1004017,15,35097
1004017,16,62064
1005040,15,35113
1005040,16,62066
1006017,15,35093
1006017,16,62075
1007038,15,35079
1007038,16,62094
1008014,15,35085
1008014,16,62082
1009036,15,35090
1009036,16,62087
1010013,15,35085
1010013,16,62088
1011034,15,35095
1011034,16,62079
1012010,15,35097
1012010,16,62080
1013027,15,35088
1013027,16,62081
1014006,15,35102
1014006,16,62072
1015028,15,35102
1015028,16,62071
1016005,15,35090
1016005,16,62087
1017029,15,35091
1017029,16,62094
1018004,15,35083
1018004,16,62048
1019022,15,35092
1019022,16,62079
1019998,15,35085
1019998,16,62089
1021019,15,35113
1021019,16,62087
1022040,15,35104
1022040,16,62084
1023016,15,35080
1023016,16,62063
1024037,15,35096
1024037,16,62083
1025015,15,35073
1025015,16,62060
1026034,15,35080
1026034,16,62071
1027012,15,35089
1027012,16,62070
1028033,15,35104
1028033,16,62050
1029010,15,35089
1029010,16,62091
1030030,15,35088
1030030,16,62075
1031008,15,35093
1031008,16,62084
1032027,15,35095
1032027,16,62070
1033003,15,35093
1033003,16,62064
1034024,15,35111
1034024,16,62070
1035003,15,35077
1035003,16,62052
1036022,15,35070
1036022,16,62067
1037000,15,35091
1037000,16,62081
1038019,15,35086
1038019,16,62076
1039041,15,35102
1039041,16,62058
1040016,15,35080
1040016,16,62080
1041036,15,35096
1041036,16,62076
1042016,15,35109
1042016,16,62067
1043036,15,35096
1043036,16,62081
1044014,15,35086
1044014,16,62071
1045036,15,35100
1045036,16,62075
1046011,15,35104
1046011,16,62084
1047031,15,35077
1047031,16,62081
1048005,15,35093
1048005,16,62066
1049025,15,35082
1049025,16,62065
1050002,15,35120
1050002,16,62066
1051026,15,35079
1051026,16,62072
1052001,15,35102
1052001,16,62064
1053021,15,35092
1053021,16,62080
1054001,15,35090
1054001,16,62092
1055021,15,35089
1055021,16,62082
1056041,15,35121
1056041,16,62083
1057017,15,35106
1057017,16,62086
1058038,15,35068
1058038,16,62074
1059013,15,35083
1059013,16,62073
1060036,15,35094
1060036,16,62058
1061015,15,35093
1061015,16,62078
1062034,15,35100
1062034,16,62068
1063008,15,35104
1063008,16,62078
1064033,15,35085
1064033,16,62064
1065007,15,35110
1065007,16,62073
1066029,15,35057
1066029,16,62082
1067006,15,35087
1067006,16,62072
1068026,15,35109
1068026,16,62074
1069005,15,35092
1069005,16,62066
1070020,15,35082
1070020,16,62097
1071000,15,35068
1071000,16,62088
1072019,15,35086
1072019,16,62080
1073040,15,35085
1073040,16,62088
1074018,15,35077
1074018,16,62064
1075038,15,35098
1075038,16,62062
1076015,15,35083
1076015,16,62089
1077038,15,35083
1077038,16,62083
1078011,15,35100
1078011,16,62080
1079032,15,35081
1079032,16,62077
1080012,15,35090
1080012,16,62084
1081031,15,35080
1081031,16,62081
1082009,15,35081
1082009,16,62074
1083025,15,35123
1083025,16,62076
1084006,15,35082
1084006,16,62087
1085026,15,35077
1085026,16,62061
1086000,15,35093
1086000,16,62074
1087024,15,35072
1087024,16,62069
1088001,15,35105
1088001,16,62071
1089021,15,35087
1089021,16,62064
1090040,15,35097
1090040,16,62070
1091020,15,35073
1091020,16,62081
1092039,15,35094
1092039,16,62096
1093016,15,35095
1093016,16,62081
1094035,15,35082
1094035,16,62063
1095012,15,35089
1095012,16,62089
1096032,15,35100
1096032,16,62085
1097010,15,35085
1097010,16,62071
1098033,15,35091
1098033,16,62067
1099006,15,35072
1099006,16,62085
1100028,15,35077
1100028,16,62067
1101004,15,35066
1101004,16,62079
1102027,15,35093
1102027,16,62087
1103004,15,35092
1103004,16,62066
1104023,15,35070
1104023,16,62061
1104999,15,35098
1104999,16,62078
1106022,15,35079
1106022,16,62090
1107041,15,35105
1107041,16,62094
1108016,15,35094
1108016,16,62079
1109038,15,35074
1109038,16,62077
1110015,15,35111
1110015,16,62089
1111036,15,35085
1111036,16,62060
1112011,15,35087
1112011,16,62069
1113032,15,35108
1113032,16,62074
1114008,15,35072
1114008,16,62088
1115029,15,35090
1115029,16,62073
1116008,15,35092
1116008,16,62068
1117027,15,35085
1117027,16,62061
1118004,15,35085
1118004,16,62080
1119023,15,35103
1119023,16,62073
1120001,15,35104
1120001,16,62064
1121021,15,35097
1121021,16,62057
1121998,15,35102
1121998,16,62079
1123020,15,35082
1123020,16,62085
1124041,15,35080
1124041,16,62052
1125017,15,35091
1125017,16,62088
1126038,15,35102
1126038,16,62065
1127017,15,35090
1127017,16,62075
1128034,15,35085
1128034,16,62059
1129012,15,35099
1129012,16,62071
1130031,15,35075
1130031,16,62087
1131010,15,35080
1131010,16,62094
1132030,15,35091
1132030,16,62068
1133006,15,35080
1133006,16,62088
1134027,15,35094
1134027,16,62079
1135006,15,35084
1135006,16,62085
1136023,15,35080
1136023,16,62076
1137003,15,35077
1137003,16,62091
1138024,15,35098
1138024,16,62074
1139001,15,35105
1139001,16,62061
1140022,15,35074
1140022,16,62087
1141039,15,35092
1141039,16,62065
1142018,15,35099
1142018,16,62085
1143036,15,35084
1143036,16,62080
1144015,15,35089
1144015,16,62065
1145037,15,35095
1145037,16,62083
1146012,15,35087
1146012,16,62077
1147034,15,35097
1147034,16,62064
1148010,15,35108
1148010,16,62079
1149028,15,35096
1149028,16,62088
1150004,15,35067
1150004,16,62090
1151027,15,35083
1151027,16,62070
1152004,15,35092
1152004,16,62087
1153026,15,35093
1153026,16,62102
1154001,15,35097
1154001,16,62062
1155023,15,35085
1155023,16,62055
1155998,15,35104
1155998,16,62054
1157021,15,35094
1157021,16,62082
1158041,15,35079
1158041,16,62065
1159016,15,35070
1159016,16,62075
1160036,15,35093
1160036,16,62061
1161016,15,35090
1161016,16,62055
1162035,15,35100
1162035,16,62073
1163012,15,35101
1163012,16,62091
1164033,15,35073
1164033,16,62084
1165008,15,35085
1165008,16,62077
1166029,15,35084
1166029,16,62086
1167008,15,35074
1167008,16,62083
1168028,15,35091
1168028,16,62092
1169007,15,35063
1169007,16,62059
1170024,15,35067
1170024,16,62047
1171000,15,35083
1171000,16,62058
1172019,15,35099
1172019,16,62077
1172997,15,35087
1172997,16,62086
1174022,15,35093
1174022,16,62073
1175038,15,35068
1175038,16,62073
1176019,15,35090
1176019,16,62073
1177039,15,35104
1177039,16,62082
1178014,15,35086
1178014,16,62082
1179036,15,35093
1179036,16,62076
1180014,15,35073
1180014,16,62059
1181032,15,35100
1181032,16,62050
1182011,15,35077
1182011,16,62068
1183030,15,35094
1183030,16,62068
1184006,15,35106
1184006,16,62072
1185030,15,35088
1185030,16,62080
1186006,15,35090
1186006,16,62064
1187024,15,35084
1187024,16,62063
1188002,15,35076
1188002,16,62073
1189023,15,35106
1189023,16,62075
1190001,15,35091
1190001,16,62081
1191019,15,35090
1191019,16,62078
1192038,15,35070
1192038,16,62084
1193021,15,35087
1193021,16,62074
1194040,15,35088
1194040,16,62058
1195018,15,35092
1195018,16,62078
1196035,15,35099
1196035,16,62077
1197013,15,35080
1197013,16,62070
1198031,15,35103
1198031,16,62067
1199008,15,35085
1199008,16,62070
