t_us,pin,raw
1000000,15,34982
1000000,16,62083
1002021,15,34987
1002021,16,62081
1004018,15,34988
1004018,16,62071
1006016,15,35007
1006016,16,62069
1008016,15,35014
1008016,16,62080
1010012,15,34996
1010012,16,62070
1012008,15,34999
1012008,16,62068
1014008,15,34978
1014008,16,62072
1016004,15,34970
1016004,16,62086
1018003,15,34988
1018003,16,62085
1020000,15,35005
1020000,16,62042
1022041,15,34988
1022041,16,62091
1024039,15,35025
1024039,16,62082
1026038,15,34999
1026038,16,62088
1028036,15,35016
1028036,16,62059
1030031,15,34993
1030031,16,62086
1032026,15,34983
1032026,16,62073
1034022,15,35000
1034022,16,62050
1036021,15,34986
1036021,16,62077
1038021,15,34972
1038021,16,62080
1040018,15,34997
1040018,16,62066
1042016,15,35004
1042016,16,62046
1044012,15,34981
1044012,16,62080
1046010,15,35004
1046010,16,62065
1048011,15,35011
1048011,16,62064
1050008,15,34991
1050008,16,62068
1052004,15,34999
1052004,16,62078
1053998,15,34995
1053998,16,62086
1056039,15,34983
1056039,16,62079
1058037,15,35004
1058037,16,62078
1060038,15,34995
1060038,16,62073
1062034,15,34992
1062034,16,62062
1064030,15,34992
1064030,16,62084
1066028,15,34995
1066028,16,62064
1068024,15,34997
1068024,16,62084
1070022,15,35002
1070022,16,62070
1072022,15,35008
1072022,16,62084
1074019,15,34987
1074019,16,62064
1076015,15,35029
1076015,16,62081
1078009,15,35006
1078009,16,62072
1080007,15,35015
1080007,16,62078
1082007,15,35000
1082007,16,62064
1084006,15,35004
1084006,16,62059
1086002,15,35005
1086002,16,62062
1088002,15,34992
1088002,16,62068
1090042,15,35001
1090042,16,62078
1092038,15,35009
1092038,16,62055
1094035,15,35012
1094035,16,62077
1096032,15,34986
1096032,16,62069
1098031,15,34994
1098031,16,62072
1100028,15,35001
1100028,16,62078
1102025,15,35001
1102025,16,62061
1104021,15,34999
1104021,16,62080
1106019,15,34998
1106019,16,62062
1108018,15,35006
1108018,16,62059
1110017,15,35021
1110017,16,62069
1112014,15,35006
1112014,16,62048
1114010,15,34991
1114010,16,62064
1116008,15,34997
1116008,16,62068
1118004,15,35010
1118004,16,62069
1120001,15,35000
1120001,16,62064
1121999,15,34983
1121999,16,62077
1124039,15,34995
1124039,16,62060
1126040,15,34981
1126040,16,62060
1128035,15,35006
1128035,16,62073
1130031,15,35011
1130031,16,62059
1132032,15,34989
1132032,16,62052
1134031,15,34996
1134031,16,62073
1136026,15,35003
1136026,16,62061
1138020,15,35019
1138020,16,62059
1140020,15,35007
1140020,16,62063
1142018,15,34986
1142018,16,62062
1144013,15,34985
1144013,16,62058
1146011,15,35007
1146011,16,62074
1148010,15,34993
1148010,16,62077
1150008,15,34996
1150008,16,62067
1152005,15,35018
1152005,16,62079
1154002,15,35003
1154002,16,62053
1156000,15,34982
1156000,16,62055
1158039,15,34987
1158039,16,62055
1160038,15,34985
1160038,16,62059
1162036,15,34977
1162036,16,62043
1164031,15,34989
1164031,16,62062
1166032,15,34998
1166032,16,62060
1168027,15,35001
1168027,16,62089
1170027,15,34994
1170027,16,62069
1172022,15,35008
1172022,16,62066
1174022,15,34983
1174022,16,62064
1176018,15,34993
1176018,16,62066
1178017,15,35002
1178017,16,62063
1180013,15,34981
1180013,16,62067
1182011,15,34992
1182011,16,62086
1184008,15,35009
1184008,16,62068
1186004,15,35010
1186004,16,62066
1188004,15,35027
1188004,16,62058
1189998,15,34987
1189998,16,62075
1192038,15,34995
1192038,16,62055
1194038,15,35000
1194038,16,62061
1196037,15,34977
1196037,16,62076
1198032,15,34976
1198032,16,62085
1200030,15,34995
1200030,16,62089
1202028,15,34992
1202028,16,62045
1204024,15,34983
1204024,16,62079
1206024,15,35009
1206024,16,62056
1208020,15,35007
1208020,16,62056
1210018,15,34992
1210018,16,62071
1212016,15,35008
1212016,16,62058
1214012,15,34985
1214012,16,62076
1216005,15,34997
1216005,16,62072
1218008,15,35010
1218008,16,62067
1220004,15,34995
1220004,16,62095
1222000,15,34994
1222000,16,62066
1224003,15,34993
1224003,16,62055
1226041,15,35007
1226041,16,62040
1228038,15,35003
1228038,16,62054
1230037,15,34994
1230037,16,62066
1232032,15,34979
1232032,16,62044
1234030,15,34983
1234030,16,62056
1236029,15,34985
1236029,16,62068
1238025,15,34989
1238025,16,62063
1240021,15,34981
1240021,16,62054
1242019,15,34997
1242019,16,62054
1244017,15,34997
1244017,16,62043
1246017,15,34980
1246017,16,62051
1248010,15,34977
1248010,16,62052
1250010,15,34977
1250010,16,62057
1252007,15,35000
1252007,16,62061
1254004,15,34981
1254004,16,62054
1256004,15,34993
1256004,16,62083
1257998,15,34979
1257998,16,62070
1260041,15,34989
1260041,16,62076
1262038,15,34985
1262038,16,62075
1264036,15,34995
1264036,16,62048
1266034,15,35012
1266034,16,62069
1268029,15,35001
1268029,16,62060
1270025,15,34995
1270025,16,62055
1272026,15,34992
1272026,16,62059
1274021,15,35005
1274021,16,62070
1276021,15,34980
1276021,16,62079
1278015,15,34980
1278015,16,62038
1280014,15,35009
1280014,16,62045
1282011,15,34996
1282011,16,62046
1284011,15,34969
1284011,16,62064
1286009,15,34995
1286009,16,62040
1288005,15,35000
1288005,16,62070
1290003,15,35015
1290003,16,62059
1291999,15,34994
1291999,16,62053
1294042,15,34991
1294042,16,62075
1296040,15,34999
1296040,16,62056
1298035,15,34978
1298035,16,62082
1300033,15,34995
1300033,16,62069
1302030,15,34984
1302030,16,62062
1304027,15,34980
1304027,16,62050
1306024,15,34994
1306024,16,62084
1308021,15,34974
1308021,16,62042
1310020,15,35018
1310020,16,62051
1312018,15,34985
1312018,16,62053
1314013,15,34998
1314013,16,62083
1316013,15,34993
1316013,16,62047
1318013,15,34986
1318013,16,62034
1320008,15,34983
1320008,16,62061
1322007,15,35006
1322007,16,62052
1324000,15,34985
1324000,16,62062
1326000,15,35013
1326000,16,62061
1328042,15,35013
1328042,16,62062
1330038,15,34988
1330038,16,62058
1332035,15,34987
1332035,16,62057
1334030,15,34984
1334030,16,62060
1336032,15,35006
1336032,16,62045
1338027,15,35016
1338027,16,62049
1340023,15,34994
1340023,16,62055
1342022,15,34984
1342022,16,62031
1344019,15,35002
1344019,16,62051
1346020,15,34993
1346020,16,62068
1348016,15,34980
1348016,16,62056
1350013,15,34977
1350013,16,62054
1352011,15,35001
1352011,16,62025
1354008,15,35004
1354008,16,62075
1356007,15,34995
1356007,16,62043
1358000,15,34990
1358000,16,62059
1360001,15,34980
1360001,16,62046
1362040,15,34981
1362040,16,62048
1364037,15,34985
1364037,16,62047
1366037,15,34969
1366037,16,62035
1368034,15,34991
1368034,16,62059
1370033,15,34983
1370033,16,62043
1372026,15,34985
1372026,16,62046
1374027,15,34978
1374027,16,62059
1376024,15,35002
1376024,16,62048
1378020,15,34983
1378020,16,62056
1380015,15,34996
1380015,16,62065
1382014,15,34990
1382014,16,62044
1384015,15,34981
1384015,16,62064
1386008,15,34987
1386008,16,62056
1388009,15,34977
1388009,16,62046
1390005,15,34985
1390005,16,62045
1392002,15,34976
1392002,16,62069
1394001,15,34988
1394001,16,62058
1396038,15,34989
1396038,16,62059
1398036,15,34997
1398036,16,62051
1400035,15,34990
1400035,16,62050
1402029,15,34993
1402029,16,62050
1404028,15,35002
1404028,16,62057
1406028,15,35003
1406028,16,62060
1408023,15,34966
1408023,16,62045
1410022,15,35005
1410022,16,62052
1412019,15,34981
1412019,16,62029
1414018,15,34976
1414018,16,62039
1416016,15,34980
1416016,16,62067
1418014,15,34994
1418014,16,62052
1420012,15,34994
1420012,16,62047
1422006,15,35008
1422006,16,62048
1424004,15,34984
1424004,16,62046
1426001,15,34981
1426001,16,62068
1427998,15,34999
1427998,16,62056
1430039,15,34985
1430039,16,62055
1432038,15,34975
1432038,16,62051
1434035,15,34998
1434035,16,62051
1436030,15,34993
1436030,16,62047
1438031,15,34988
1438031,16,62047
1440025,15,34980
1440025,16,62045
1442025,15,34978
1442025,16,62075
1444023,15,34985
1444023,16,62045
1446019,15,34992
1446019,16,62031
1448017,15,34990
1448017,16,62059
1450016,15,34998
1450016,16,62071
1452014,15,34984
1452014,16,62056
1454009,15,34996
1454009,16,62048
1456008,15,34980
1456008,16,62049
1458005,15,34986
1458005,16,62039
1460003,15,34994
1460003,16,62058
1462000,15,34986
1462000,16,62054
1464041,15,34989
1464041,16,62056
1466038,15,34997
1466038,16,62043
1468032,15,34988
1468032,16,62041
1470034,15,34995
1470034,16,62062
1472028,15,34990
1472028,16,62032
1474029,15,34989
1474029,16,62051
1476027,15,34984
1476027,16,62042
1478024,15,34986
1478024,16,62041
1480020,15,34982
1480020,16,62052
1482015,15,34975
1482015,16,62039
1484017,15,34995
1484017,16,62055
1486015,15,34982
1486015,16,62049
1488009,15,34987
1488009,16,62035
1490007,15,34994
1490007,16,62039
1492005,15,34997
1492005,16,62047
1494002,15,34997
1494002,16,62055
1496002,15,34977
1496002,16,62065
1498042,15,34980
1498042,16,62041
1500037,15,34988
1500037,16,62062
1502036,15,34970
1502036,16,62033
1504031,15,34978
1504031,16,62049
1506032,15,34976
1506032,16,62040
1508030,15,34982
1508030,16,62040
1510026,15,34966
1510026,16,62030
1512020,15,34995
1512020,16,62056
1514021,15,35009
1514021,16,62024
1516018,15,34991
1516018,16,62043
1518017,15,35000
1518017,16,62025
1520010,15,34965
1520010,16,62033
1522011,15,34977
1522011,16,62032
1524007,15,35002
1524007,16,62032
1526005,15,34967
1526005,16,62030
1528003,15,34967
1528003,16,62040
1530000,15,34978
1530000,16,62043
1532041,15,34986
1532041,16,62050
1534038,15,34987
1534038,16,62048
1536035,15,34994
1536035,16,62028
1538032,15,34970
1538032,16,62044
1540028,15,34980
1540028,16,62035
1542028,15,34976
1542028,16,62046
1544025,15,34994
1544025,16,62057
1546022,15,34983
1546022,16,62032
1548019,15,34992
1548019,16,62048
1550017,15,34966
1550017,16,62034
1552016,15,34982
1552016,16,62049
1554013,15,34972
1554013,16,62033
1556010,15,34981
1556010,16,62031
1558007,15,35005
1558007,16,62036
1560007,15,34997
1560007,16,62047
1562002,15,34970
1562002,16,62044
1564001,15,34981
1564001,16,62050
1566039,15,34962
1566039,16,62043
1568036,15,35002
1568036,16,62028
1570033,15,34976
1570033,16,62025
1572032,15,35004
1572032,16,62057
1574029,15,34993
1574029,16,62042
1576026,15,34977
1576026,16,62055
1578025,15,34998
1578025,16,62054
1580024,15,34972
1580024,16,62028
1582020,15,34997
1582020,16,62053
1584014,15,34979
1584014,16,62044
1586013,15,34994
1586013,16,62039
1588013,15,34967
1588013,16,62028
1590010,15,34992
1590010,16,62021
1592009,15,34991
1592009,16,62017
1594005,15,34981
1594005,16,62017
1596004,15,34984
1596004,16,62051
1598001,15,34991
1598001,16,62058
1600038,15,34971
1600038,16,62050
1602038,15,34969
1602038,16,62034
1604034,15,34983
1604034,16,62041
1606032,15,34991
1606032,16,62038
1608030,15,34983
1608030,16,62046
1610028,15,34991
1610028,16,62019
1612026,15,34986
1612026,16,62022
1614023,15,35003
1614023,16,62023
1616023,15,34979
1616023,16,62043
1618019,15,34990
1618019,16,62034
1620016,15,34993
1620016,16,62031
1622012,15,34988
1622012,16,62035
1624010,15,34982
1624010,16,62034
1626009,15,34980
1626009,16,62037
1628009,15,34999
1628009,16,62018
1630002,15,34999
1630002,16,62049
1631999,15,34990
1631999,16,62036
1634040,15,34969
1634040,16,62044
1636037,15,34996
1636037,16,62030
1638035,15,34980
1638035,16,62028
1640031,15,34980
1640031,16,62049
1642031,15,34974
1642031,16,62033
1644026,15,35000
1644026,16,62048
1646023,15,34973
1646023,16,62037
1648018,15,34973
1648018,16,62023
1650019,15,35005
1650019,16,62035
1652018,15,34972
1652018,16,62058
1654016,15,34963
1654016,16,62044
1656012,15,34982
1656012,16,62049
1658009,15,34989
1658009,16,62039
1660006,15,34989
1660006,16,62047
1662004,15,34967
1662004,16,62023
1664002,15,35004
1664002,16,62046
1665997,15,34986
1665997,16,62029
1668042,15,34984
1668042,16,62055
1670040,15,34966
1670040,16,62030
1672034,15,34976
1672034,16,62011
1674036,15,34968
1674036,16,62055
1676032,15,34984
1676032,16,62040
1678029,15,34986
1678029,16,62035
1680025,15,34952
1680025,16,62037
1682024,15,34988
1682024,16,62041
1684019,15,34976
1684019,16,62050
1686017,15,34993
1686017,16,62016
1688015,15,34983
1688015,16,62019
1690012,15,34988
1690012,16,62034
1692012,15,34971
1692012,16,62060
1694006,15,34981
1694006,16,62025
1696004,15,34966
1696004,16,62032
1698003,15,34972
1698003,16,62045
1699999,15,34986
1699999,16,62039
1702040,15,34972
1702040,16,62034
1704037,15,34975
1704037,16,62044
1706032,15,34993
1706032,16,62023
1708032,15,34973
1708032,16,62016
1710030,15,34969
1710030,16,62009
1712029,15,34983
1712029,16,62042
1714027,15,34992
1714027,16,62034
1716023,15,34977
1716023,16,62019
1718018,15,34973
1718018,16,62040
1720019,15,34988
1720019,16,62059
1722013,15,34968
1722013,16,62039
1724012,15,34977
1724012,16,62047
1726011,15,34958
1726011,16,62036
1728007,15,35003
1728007,16,62024
1730004,15,34972
1730004,16,62032
1732002,15,34975
1732002,16,62017
1733999,15,34977
1733999,16,62029
1736040,15,34980
1736040,16,62063
1738040,15,34975
1738040,16,62052
1740037,15,34990
1740037,16,62031
1742031,15,34982
1742031,16,62034
1744028,15,34973
1744028,16,62013
1746028,15,34991
1746028,16,62017
1748026,15,34975
1748026,16,62031
1750022,15,34980
1750022,16,62022
1752019,15,34976
1752019,16,62044
1754015,15,34978
1754015,16,62022
1756017,15,34961
1756017,16,62032
1758014,15,34967
1758014,16,62041
1760008,15,34951
1760008,16,62047
1762007,15,34960
1762007,16,62044
