t_us,pin,raw
1000000,15,32687
1000000,16,32717
1000280,15,32695
1000280,16,32698
1000536,15,32684
1000536,16,32673
1000791,15,32721
1000791,16,32647
1001000,15,32691
1001000,16,32634
1001258,15,32688
1001258,16,32616
1001513,15,32706
1001513,16,32643
1001767,15,32704
1001767,16,32597
1002024,15,32724
1002024,16,32605
1002276,15,32725
1002276,16,32594
1002534,15,32707
1002534,16,32602
1002789,15,32712
1002789,16,32599
1003001,15,32711
1003001,16,32592
1003253,15,32705
1003253,16,32603
1003511,15,32707
1003511,16,32585
1003765,15,32733
1003765,16,32631
1004020,15,32735
1004020,16,32605
1004275,15,32737
1004275,16,32619
1004531,15,32739
1004531,16,32589
1004784,15,32742
1004784,16,32584
1005040,15,32723
1005040,16,32577
1005250,15,32714
1005250,16,32584
1005506,15,32733
1005506,16,32594
1005761,15,32725
1005761,16,32563
1006017,15,32706
1006017,16,32576
1006273,15,32719
1006273,16,32567
1006526,15,32725
1006526,16,32581
1006783,15,32725
1006783,16,32604
1007035,15,32722
1007035,16,32601
1007249,15,32716
1007249,16,32615
1007508,15,32743
1007508,16,32599
1007758,15,32713
1007758,16,32607
1008015,15,32726
1008015,16,32609
1008269,15,32724
1008269,16,32622
1008523,15,32734
1008523,16,32609
1008779,15,32714
1008779,16,32633
1009037,15,32707
1009037,16,32612
1009291,15,32708
1009291,16,32597
1009503,15,32700
1009503,16,32629
1009757,15,32708
1009757,16,32609
1010011,15,32688
1010011,16,32631
1010266,15,32681
1010266,16,32640
1010522,15,32690
1010522,16,32673
1010781,15,32672
1010781,16,32668
1011030,15,32697
1011030,16,32694
1011289,15,32707
1011289,16,32712
1011499,15,32705
1011499,16,32711
1011754,15,32694
1011754,16,32716
1012011,15,32679
1012011,16,32718
1012264,15,32689
1012264,16,32730
1012521,15,32666
1012521,16,32727
1012775,15,32674
1012775,16,32734
1013031,15,32680
1013031,16,32717
1013286,15,32681
1013286,16,32716
1013540,15,32664
1013540,16,32721
1013754,15,32676
1013754,16,32747
1014007,15,32646
1014007,16,32730
1014262,15,32664
1014262,16,32755
1014517,15,32657
1014517,16,32762
1014774,15,32669
1014774,16,32765
1015025,15,32645
1015025,16,32781
1015284,15,32660
1015284,16,32797
1015537,15,32670
1015537,16,32792
1015754,15,32672
1015754,16,32809
1016004,15,32668
1016004,16,32797
1016263,15,32652
1016263,16,32779
1016514,15,32656
1016514,16,32783
1016770,15,32658
1016770,16,32771
1017025,15,32647
1017025,16,32777
1017283,15,32645
1017283,16,32769
1017534,15,32644
1017534,16,32778
1017791,15,32655
1017791,16,32768
1018000,15,32651
1018000,16,32774
1018258,15,32649
1018258,16,32799
1018512,15,32651
1018512,16,32798
1018768,15,32637
1018768,16,32791
1019022,15,32665
1019022,16,32802
1019279,15,32664
1019279,16,32796
1019530,15,32648
1019530,16,32796
1019788,15,32648
1019788,16,32782
1020002,15,32639
1020002,16,32779
1020254,15,32666
1020254,16,32766
1020511,15,32669
1020511,16,32768
1020766,15,32659
1020766,16,32734
1021018,15,32652
1021018,16,32729
1021277,15,32676
1021277,16,32734
1021532,15,32669
1021532,16,32725
1021786,15,32662
1021786,16,32755
1022039,15,32670
1022039,16,32730
1022252,15,32693
1022252,16,32750
1022510,15,32670
1022510,16,32740
1022762,15,32697
1022762,16,32734
1023018,15,32707
1023018,16,32737
1023271,15,32682
1023271,16,32719
1023528,15,32667
1023528,16,32741
1023785,15,32698
1023785,16,32694
1024039,15,32696
1024039,16,32682
1024250,15,32691
1024250,16,32670
1024506,15,32704
1024506,16,32673
1024762,15,32688
1024762,16,32651
1025013,15,32703
1025013,16,32638
1025269,15,32690
1025269,16,32641
1025523,15,32694
1025523,16,32654
1025780,15,32724
1025780,16,32653
1026037,15,32695
1026037,16,32659
1026290,15,32708
1026290,16,32628
1026502,15,32705
1026502,16,32631
1026758,15,32723
1026758,16,32642
1027013,15,32709
1027013,16,32623
