t_us,pin,raw
1000000,15,32691
1000275,15,32684
1000523,15,32720
1000774,15,32689
1001021,15,32677
1001268,15,32713
1001519,15,32727
1001762,15,32697
1002012,15,32702
1002263,15,32712
1002512,15,32708
1002754,15,32714
1003007,15,32701
1003250,15,32729
1003500,15,32716
1003780,15,32717
1004028,15,32720
1004275,15,32713
1004524,15,32723
1004772,15,32732
1005020,15,32716
1005267,15,32716
1005514,15,32748
1005766,15,32717
1006011,15,32744
1006261,15,32717
1006508,15,32738
1006755,15,32728
1007003,15,32733
1007251,15,32723
1007503,15,32736
1007778,15,32721
1008026,15,32728
1008276,15,32719
1008521,15,32712
1008771,15,32729
1009020,15,32709
1009268,15,32694
1009517,15,32703
1009762,15,32730
1010011,15,32709
1010260,15,32705
1010505,15,32696
1010757,15,32682
1011005,15,32704
1011251,15,32699
1011531,15,32713
1011777,15,32693
1012026,15,32696
1012272,15,32678
1012521,15,32682
1012773,15,32675
1013017,15,32691
1013267,15,32652
1013514,15,32668
1013764,15,32673
1014008,15,32681
1014257,15,32659
1014504,15,32664
1014752,15,32648
1015005,15,32674
1015251,15,32673
1015530,15,32647
1015778,15,32661
1016024,15,32666
1016275,15,32653
1016524,15,32668
1016770,15,32662
1017016,15,32672
1017266,15,32658
1017512,15,32661
1017760,15,32651
1018009,15,32638
1018258,15,32644
1018506,15,32648
1018754,15,32664
1019001,15,32661
1019281,15,32661
1019526,15,32654
1019774,15,32662
1020023,15,32662
1020273,15,32660
1020522,15,32662
1020769,15,32655
1021016,15,32655
1021263,15,32681
1021509,15,32669
1021759,15,32660
1022007,15,32682
1022255,15,32674
1022504,15,32670
1022753,15,32667
1023001,15,32697
1023279,15,32683
1023528,15,32673
1023775,15,32705
1024022,15,32691
1024268,15,32682
1024518,15,32688
1024766,15,32714
1025016,15,32689
1025262,15,32695
1025510,15,32713
1025757,15,32708
1026010,15,32705
1026254,15,32724
1026503,15,32711
1026752,15,32693
1027029,15,32732
1027278,15,32715
1027523,15,32718
1027774,15,32723
1028024,15,32721
1028270,15,32729
1028517,15,32727
1028765,15,32720
1029016,15,32729
1029263,15,32706
1029507,15,32729
1029759,15,32728
1030004,15,32734
1030255,15,32740
1030501,15,32720
1030748,15,32724
1031030,15,32721
1031277,15,32708
1031525,15,32734
1031773,15,32707
1032020,15,32715
1032269,15,32717
1032517,15,32717
1032767,15,32705
1033015,15,32712
1033258,15,32714
1033509,15,32713
1033758,15,32682
1034006,15,32723
1034251,15,32707
1034502,15,32688
1034781,15,32705
1035027,15,32685
1035273,15,32691
1035524,15,32695
1035770,15,32678
1036022,15,32682
1036270,15,32690
1036513,15,32676
1036767,15,32666
1037010,15,32668
1037261,15,32683
1037508,15,32678
1037759,15,32650
1038002,15,32659
1038255,15,32660
1038499,15,32665
1038776,15,32665
1039026,15,32672
1039275,15,32671
1039525,15,32636
1039769,15,32666
1040018,15,32638
1040268,15,32639
1040516,15,32643
1040760,15,32668
1041012,15,32658
1041258,15,32648
1041508,15,32659
1041758,15,32651
1042006,15,32653
1042250,15,32651
1042530,15,32636
1042779,15,32651
1043023,15,32650
1043274,15,32680
1043522,15,32653
1043770,15,32663
1044018,15,32664
1044266,15,32661
1044513,15,32658
1044761,15,32664
1045010,15,32664
1045261,15,32678
1045504,15,32658
1045753,15,32659
1046002,15,32685
1046250,15,32672
1046531,15,32707
1046779,15,32665
1047025,15,32682
1047273,15,32706
1047519,15,32700
1047767,15,32707
1048019,15,32686
1048265,15,32692
1048511,15,32691
1048760,15,32700
1049010,15,32693
1049254,15,32692
1049504,15,32701
1049754,15,32714
1049999,15,32707
1050277,15,32723
1050531,15,32709
1050775,15,32726
1051025,15,32701
1051273,15,32716
1051521,15,32726
1051768,15,32705
1052016,15,32713
1052265,15,32736
1052509,15,32705
1052760,15,32716
1053006,15,32731
1053256,15,32727
1053504,15,32726
1053753,15,32710
1054001,15,32717
1054279,15,32713
1054527,15,32708
1054777,15,32734
1055022,15,32728
1055268,15,32714
1055522,15,32716
1055768,15,32721
1056015,15,32710
1056263,15,32706
1056510,15,32738
1056759,15,32725
1057008,15,32698
1057258,15,32700
1057501,15,32700
1057753,15,32709
1058029,15,32701
1058278,15,32697
1058527,15,32690
1058775,15,32690
1059020,15,32683
1059270,15,32679
1059517,15,32684
1059766,15,32687
1060014,15,32692
1060263,15,32684
1060509,15,32674
1060756,15,32679
1061006,15,32672
1061255,15,32672
1061503,15,32673
1061751,15,32665
1062029,15,32672
1062277,15,32698
1062523,15,32664
1062776,15,32668
1063020,15,32667
1063271,15,32670
1063516,15,32663
1063763,15,32663
1064012,15,32644
1064262,15,32658
1064508,15,32660
1064755,15,32661
1065006,15,32638
1065254,15,32661
1065501,15,32640
1065779,15,32661
1066029,15,32655
1066274,15,32644
1066525,15,32668
1066772,15,32667
1067020,15,32655
1067267,15,32670
1067515,15,32669
1067764,15,32673
1068013,15,32661
1068260,15,32676
1068506,15,32682
1068758,15,32693
1069007,15,32671
1069253,15,32674
1069499,15,32670
1069778,15,32661
1070026,15,32672
1070274,15,32672
1070525,15,32692
1070772,15,32680
1071017,15,32695
1071269,15,32698
1071514,15,32684
1071765,15,32697
1072010,15,32708
1072260,15,32686
1072507,15,32703
1072758,15,32706
1073003,15,32703
1073252,15,32717
1073532,15,32716
1073781,15,32707
1074027,15,32709
1074276,15,32721
1074521,15,32696
1074767,15,32726
1075017,15,32698
1075265,15,32727
1075515,15,32704
1075761,15,32728
1076010,15,32711
1076257,15,32727
1076505,15,32709
1076753,15,32743
1077001,15,32695
1077250,15,32717
1077533,15,32731
1077776,15,32718
1078025,15,32730
1078273,15,32710
1078520,15,32716
1078771,15,32717
1079017,15,32709
1079266,15,32721
1079512,15,32725
1079762,15,32720
1080009,15,32694
1080258,15,32722
1080501,15,32707
1080753,15,32714
1081002,15,32713
1081280,15,32703
1081528,15,32700
1081774,15,32680
1082025,15,32685
1082271,15,32691
1082522,15,32688
1082768,15,32688
1083016,15,32690
1083265,15,32702
1083513,15,32660
1083761,15,32703
1084007,15,32692
1084256,15,32669
1084503,15,32668
1084753,15,32677
1084997,15,32691
1085280,15,32690
1085530,15,32668
1085774,15,32676
1086023,15,32669
1086269,15,32670
1086519,15,32652
1086765,15,32669
1087016,15,32655
1087262,15,32658
1087509,15,32671
1087759,15,32653
1088009,15,32650
1088255,15,32663
1088503,15,32664
1088749,15,32664
1089031,15,32656
1089277,15,32659
1089526,15,32651
1089776,15,32657
1090022,15,32634
1090273,15,32651
1090519,15,32663
1090767,15,32660
1091011,15,32661
1091264,15,32679
1091507,15,32681
1091758,15,32659
1092006,15,32666
1092257,15,32670
1092501,15,32676
1092748,15,32673
1093027,15,32671
1093276,15,32691
1093526,15,32676
1093773,15,32689
1094021,15,32684
1094269,15,32686
1094518,15,32683
1094763,15,32689
1095014,15,32686
1095263,15,32696
1095509,15,32678
1095757,15,32693
1096005,15,32687
1096253,15,32710
1096501,15,32696
1096781,15,32698
1097024,15,32700
1097274,15,32699
1097523,15,32683
1097773,15,32715
1098021,15,32724
1098267,15,32718
1098518,15,32700
1098763,15,32718
1099011,15,32718
1099262,15,32708
1099507,15,32729
1099755,15,32735
1100003,15,32724
1100253,15,32728
1100499,15,32710
1100777,15,32727
1101028,15,32729
1101276,15,32703
1101523,15,32720
1101770,15,32728
1102018,15,32714
1102267,15,32712
1102515,15,32718
1102764,15,32713
1103011,15,32732
1103262,15,32708
1103507,15,32704
1103758,15,32709
1104003,15,32708
1104252,15,32713
1104530,15,32707
1104779,15,32700
1105027,15,32700
1105278,15,32707
1105523,15,32715
1105769,15,32701
1106019,15,32698
1106266,15,32708
1106514,15,32693
1106761,15,32689
1107013,15,32707
1107256,15,32680
1107508,15,32673
1107755,15,32688
1108002,15,32684
1108251,15,32671
1108529,15,32677
1108777,15,32673
1109026,15,32663
1109272,15,32665
1109522,15,32672
1109771,15,32673
1110018,15,32656
1110264,15,32661
1110514,15,32680
1110760,15,32666
1111010,15,32654
1111256,15,32657
1111506,15,32659
1111754,15,32687
1111999,15,32653
1112281,15,32658
1112527,15,32661
1112772,15,32670
1113025,15,32671
1113273,15,32658
1113519,15,32644
1113765,15,32647
1114013,15,32677
1114263,15,32638
1114511,15,32664
1114761,15,32668
1115007,15,32666
1115256,15,32660
1115506,15,32672
1115752,15,32668
1115998,15,32678
1116279,15,32684
1116526,15,32671
1116775,15,32677
1117019,15,32682
1117269,15,32683
1117516,15,32698
1117769,15,32673
1118015,15,32685
1118265,15,32695
1118509,15,32680
1118760,15,32683
1119009,15,32693
1119255,15,32668
1119501,15,32707
1119753,15,32695
1120029,15,32701
1120276,15,32720
1120527,15,32688
1120773,15,32697
1121023,15,32704
1121267,15,32712
1121519,15,32724
1121764,15,32727
1122014,15,32715
1122261,15,32703
1122510,15,32707
1122757,15,32719
1123006,15,32712
1123255,15,32710
1123502,15,32705
1123751,15,32713
1124031,15,32716
1124278,15,32713
1124526,15,32726
1124775,15,32712
1125021,15,32721
1125269,15,32710
1125518,15,32702
1125766,15,32703
1126014,15,32718
1126262,15,32698
1126509,15,32722
1126757,15,32728
1127005,15,32697
1127258,15,32698
1127499,15,32703
1127777,15,32713
1128028,15,32718
1128276,15,32722
1128524,15,32732
1128774,15,32676
1129021,15,32704
1129267,15,32719
1129514,15,32712
1129764,15,32684
1130011,15,32685
1130258,15,32696
1130507,15,32687
1130755,15,32689
1131004,15,32688
1131252,15,32701
1131500,15,32654
1131779,15,32683
1132026,15,32664
1132278,15,32681
1132522,15,32692
1132771,15,32674
1133019,15,32681
1133267,15,32670
1133517,15,32680
1133763,15,32686
1134011,15,32662
1134261,15,32684
1134507,15,32659
1134755,15,32671
1135003,15,32658
1135250,15,32692
1135529,15,32655
1135776,15,32667
1136025,15,32674
1136274,15,32669
1136522,15,32675
1136770,15,32669
1137017,15,32670
1137266,15,32648
1137515,15,32658
1137761,15,32649
1138010,15,32656
1138257,15,32640
1138507,15,32662
1138753,15,32678
1139001,15,32655
1139250,15,32662
1139528,15,32644
1139778,15,32655
1140024,15,32660
1140273,15,32693
1140521,15,32661
1140771,15,32682
1141016,15,32688
1141264,15,32672
1141512,15,32667
1141761,15,32672
1142012,15,32670
1142261,15,32680
1142504,15,32675
1142754,15,32690
1143002,15,32678
1143280,15,32679
1143528,15,32706
1143776,15,32706
1144026,15,32703
1144270,15,32693
1144518,15,32688
1144764,15,32699
1145015,15,32698
1145263,15,32694
1145513,15,32712
1145758,15,32703
1146006,15,32674
1146255,15,32687
1146505,15,32707
1146752,15,32716
1146999,15,32719
1147278,15,32695
1147524,15,32713
1147775,15,32721
1148024,15,32745
1148272,15,32713
1148520,15,32718
1148765,15,32719
1149014,15,32714
1149263,15,32708
1149510,15,32721
1149760,15,32718
1150010,15,32695
1150255,15,32708
1150504,15,32698
1150749,15,32707
1151032,15,32701
1151277,15,32707
1151525,15,32704
1151774,15,32700
1152021,15,32696
1152271,15,32702
1152518,15,32704
1152765,15,32710
1153012,15,32704
1153260,15,32694
1153510,15,32697
1153759,15,32689
1154007,15,32670
1154254,15,32702
1154503,15,32689
1154752,15,32713
1155028,15,32680
1155275,15,32671
1155521,15,32694
1155771,15,32672
1156023,15,32667
1156270,15,32673
1156515,15,32678
1156766,15,32666
1157012,15,32686
1157262,15,32670
1157508,15,32684
1157758,15,32671
1158006,15,32681
1158256,15,32663
1158500,15,32654
1158778,15,32653
1159028,15,32647
1159275,15,32662
1159521,15,32668
1159774,15,32653
1160022,15,32690
1160270,15,32673
1160516,15,32671
1160765,15,32674
1161014,15,32667
1161259,15,32679
1161507,15,32676
1161757,15,32660
1162003,15,32675
1162251,15,32660
1162500,15,32657
1162781,15,32669
1163026,15,32659
1163274,15,32669
1163522,15,32684
