t_us,pin,raw
1000000,15,44
1001023,15,63
1002014,15,23
1003003,15,27
1004028,15,45
1005020,15,32
1006013,15,42
1007004,15,38
1008026,15,34
1009017,15,40
1010010,15,41
1011002,15,40
1012025,15,26
1013019,15,36
1014007,15,36
1015001,15,42
1016026,15,40
1017017,15,31
1018009,15,22
1019002,15,6
1020025,15,25
1021017,15,30
1022009,15,14
1023000,15,21
1024022,15,43
1025013,15,45
1026005,15,44
1027029,15,44
1028025,15,32
1029014,15,38
1030006,15,21
1031030,15,47
1032021,15,15
1033013,15,47
1034002,15,32
1035029,15,38
1036019,15,32
1037014,15,42
1038006,15,26
1039028,15,48
1040020,15,45
1041012,15,37
1042003,15,18
1043026,15,49
1044020,15,36
1045010,15,17
1046003,15,54
1047026,15,42
1048019,15,29
1049010,15,23
1049999,15,35
1051025,15,42
1052014,15,36
1053006,15,34
1054000,15,48
1055023,15,53
1056013,15,39
1057006,15,35
1058029,15,20
1059022,15,43
1060013,15,36
1061005,15,45
1062028,15,36
1063019,15,24
1064013,15,56
1065007,15,42
1066027,15,31
1067020,15,51
1068011,15,28
1069003,15,31
1070026,15,25
1071021,15,28
1072012,15,37
1073003,15,31
1074025,15,38
1075018,15,45
1076010,15,60
1076999,15,47
1078023,15,43
1079017,15,53
1080009,15,48
1081002,15,25
1082023,15,31
1083016,15,38
1084011,15,35
1084999,15,62
1086024,15,45
1087014,15,20
1088006,15,19
1089031,15,44
1090021,15,31
1091012,15,44
1092005,15,14
1093032,15,36
1094023,15,34
1095013,15,31
1096003,15,31
1097026,15,26
1098019,15,39
1099013,15,38
1100006,15,42
1101028,15,37
1102020,15,39
1103010,15,52
1104001,15,43
1105028,15,31
1106018,15,41
1107010,15,39
1108004,15,29
1109026,15,19
1110018,15,42
1111011,15,24
1112001,15,23
1113027,15,42
1114016,15,47
1115010,15,43
1116001,15,38
1117020,15,54
1118015,15,18
1119007,15,16
1120029,15,25
1121021,15,29
1122014,15,41
1123005,15,24
1124027,15,35
1125019,15,16
1126010,15,27
1127005,15,30
1128029,15,39
1129021,15,31
1130013,15,44
1131006,15,44
1132027,15,44
1133020,15,35
1134011,15,44
1135004,15,37
1136028,15,20
1137018,15,29
1138012,15,50
1139000,15,35
1140023,15,44
1141017,15,25
1142009,15,50
1142999,15,50
1144023,15,49
1145016,15,44
1146008,15,12
1147001,15,66
1148021,15,27
1149015,15,35
1150008,15,48
1151034,15,23
1152025,15,47
1153016,15,39
1154006,15,32
1155031,15,43
1156019,15,52
1157009,15,42
1158009,15,35
1159027,15,30
1160021,15,45
1161012,15,48
1162005,15,42
1163029,15,36
1164017,15,37
1165011,15,28
1166003,15,32
1167025,15,25
1168018,15,34
1169009,15,40
1170005,15,32
1171025,15,34
1172020,15,41
1173009,15,35
1174001,15,57
1175024,15,32
1176018,15,57
1177008,15,32
1178002,15,26
1179024,15,23
1180016,15,28
1181005,15,46
1182029,15,50
1183021,15,33
1184013,15,39
1185009,15,21
1186029,15,33
1187020,15,25
1188012,15,50
1189002,15,41
1190027,15,36
1191021,15,22
1192012,15,51
1193004,15,40
1194029,15,23
1195020,15,31
1196013,15,21
1197005,15,19
1198025,15,36
1199020,15,33
