t_us,pin,raw
1000000,15,24769
1001021,15,24779
1002015,15,24782
1003004,15,24787
1004030,15,24781
1005020,15,24760
1006011,15,24789
1007004,15,24765
1008027,15,24791
1009019,15,24766
1010009,15,24780
1011001,15,24781
1012027,15,24785
1013015,15,24755
1014011,15,24759
1015001,15,24769
1016027,15,24782
1017015,15,24783
1018008,15,24787
1019002,15,24777
1020024,15,24781
1021014,15,24789
1022010,15,24776
1023003,15,24774
1024022,15,24752
1025016,15,24773
1026006,15,24774
1027031,15,24773
1028021,15,24762
1029011,15,24763
1030004,15,24782
1031029,15,24752
1032023,15,24777
1033014,15,24775
1034005,15,24776
1035027,15,24758
1036017,15,24771
1037012,15,24764
1038004,15,24770
1039027,15,24771
1040017,15,24769
1041010,15,24789
1042003,15,24777
1043027,15,24755
1044022,15,24773
1045009,15,24779
1046002,15,24788
1047025,15,24787
1048017,15,24785
1049005,15,24787
1050001,15,24792
1051025,15,24761
1052015,15,24753
1053005,15,24774
1053999,15,24767
1055023,15,24789
1056015,15,24783
1057004,15,24802
1058031,15,24781
1059021,15,24771
1060015,15,24792
1061005,15,24785
1062029,15,24769
1063021,15,24779
1064013,15,24774
1065005,15,24776
1066028,15,24775
1067020,15,24750
1068012,15,24747
1069004,15,24777
1070028,15,24767
1071018,15,24786
1072012,15,24761
1073003,15,24787
1074024,15,24786
1075020,15,24787
1076009,15,24767
1077003,15,24773
1078025,15,24790
1079017,15,24784
1080008,15,24786
1081001,15,24776
1082025,15,24766
1083016,15,24774
1084010,15,24775
1085000,15,24785
1086022,15,24789
1087017,15,24774
1088007,15,24790
1089031,15,24791
1090020,15,24773
1091015,15,24782
1092007,15,24785
1093029,15,24780
1094024,15,24769
1095013,15,24784
1096003,15,24775
1097026,15,24769
1098021,15,24780
1099011,15,24773
1100003,15,24778
1101027,15,24761
1102020,15,24785
1103011,15,24788
1104003,15,24787
1105029,15,24777
1106017,15,24775
1107008,15,24791
1108002,15,24768
1109026,15,24808
1110017,15,24789
1111007,15,24776
1112003,15,24789
1113024,15,24762
1114016,15,24770
1115006,15,24792
1116000,15,24772
1117023,15,24772
1118014,15,24779
1119007,15,24771
1120030,15,24784
1121023,15,24762
1122013,15,24787
1123005,15,24761
1124028,15,24784
1125025,15,24777
1126014,15,24773
1127003,15,24784
1128029,15,24785
1129020,15,24766
1130010,15,24775
1131003,15,24770
1132029,15,24765
1133017,15,24765
1134010,15,24784
1135005,15,24771
1136026,15,24767
1137020,15,24767
1138013,15,24775
1139002,15,24794
1140027,15,24794
1141019,15,24777
1142008,15,24762
1143000,15,24770
1144024,15,24772
1145015,15,24774
1146009,15,24788
1146998,15,24799
1148024,15,24788
1149014,15,24770
1150007,15,24793
1151028,15,24762
1152020,15,24772
1153017,15,24779
1154004,15,24770
1155028,15,24763
1156017,15,24796
1157012,15,24788
1158005,15,24773
1159028,15,24761
1160023,15,24768
1161011,15,24775
1162003,15,24785
1163030,15,24765
1164020,15,24769
1165012,15,24778
1166001,15,24766
1167026,15,24790
1168016,15,24783
1169009,15,24782
1170002,15,24772
1171024,15,24762
1172018,15,24785
1173011,15,24771
1174002,15,24772
1175026,15,24776
1176015,15,24775
1177009,15,24771
1178000,15,24774
1179025,15,24780
1180017,15,24764
1181007,15,24784
1182031,15,24767
1183023,15,24784
1184014,15,24767
1185004,15,24754
1186028,15,24769
1187023,15,24772
1188014,15,24772
1189006,15,24775
1190027,15,24784
1191021,15,24778
1192012,15,24768
1193003,15,24765
1194023,15,24774
1195023,15,24787
1196012,15,24794
1197003,15,24778
1198027,15,24792
1199018,15,24772
