t_us,pin,raw
1000000,15,49492
1000000,16,52
1001003,15,49490
1001003,16,34
1002024,15,49500
1002024,16,41
1002999,15,49509
1002999,16,36
1004021,15,49512
1004021,16,35
1005039,15,49512
1005039,16,43
1006017,15,49509
1006017,16,24
1007039,15,49514
1007039,16,40
1008014,15,49514
1008014,16,29
1009033,15,49502
1009033,16,31
1010010,15,49511
1010010,16,46
1011033,15,49503
1011033,16,44
1012008,15,49489
1012008,16,28
1013029,15,49513
1013029,16,33
1014010,15,49502
1014010,16,27
1015027,15,49517
1015027,16,35
1016005,15,49505
1016005,16,46
1017024,15,49511
1017024,16,55
1018003,15,49510
1018003,16,45
1019022,15,49498
1019022,16,33
1019999,15,49504
1019999,16,26
1021019,15,49491
1021019,16,16
1022036,15,49489
1022036,16,41
1023017,15,49503
1023017,16,43
1024037,15,49497
1024037,16,26
1025017,15,49504
1025017,16,43
1026034,15,49516
1026034,16,64
1027012,15,49514
1027012,16,42
1028032,15,49502
1028032,16,24
1029009,15,49502
1029009,16,48
1030032,15,49497
1030032,16,36
1031008,15,49497
1031008,16,48
1032028,15,49502
1032028,16,25
1033007,15,49494
1033007,16,33
1034025,15,49486
1034025,16,19
1035004,15,49505
1035004,16,25
1036025,15,49517
1036025,16,41
1037001,15,49501
1037001,16,35
1038020,15,49504
1038020,16,52
1039041,15,49501
1039041,16,23
1040017,15,49502
1040017,16,48
1041038,15,49527
1041038,16,47
1042014,15,49489
1042014,16,29
1043037,15,49521
1043037,16,22
1044014,15,49505
1044014,16,15
1045032,15,49499
1045032,16,39
1046013,15,49497
1046013,16,45
1047031,15,49507
1047031,16,23
1048005,15,49517
1048005,16,30
1049030,15,49499
1049030,16,47
1050005,15,49479
1050005,16,30
1051025,15,49512
1051025,16,47
1052002,15,49499
1052002,16,11
1053021,15,49508
1053021,16,40
1053999,15,49509
1053999,16,46
1055020,15,49496
1055020,16,19
1056040,15,49487
1056040,16,27
1057016,15,49515
1057016,16,35
1058040,15,49481
1058040,16,33
1059014,15,49509
1059014,16,53
1060033,15,49506
1060033,16,30
1061010,15,49492
1061010,16,18
1062031,15,49494
1062031,16,17
1063013,15,49498
1063013,16,13
1064031,15,49509
1064031,16,23
1065007,15,49513
1065007,16,37
1066026,15,49515
1066026,16,45
1067004,15,49498
1067004,16,40
1068025,15,49515
1068025,16,42
1069000,15,49508
1069000,16,46
1070023,15,49523
1070023,16,22
1071003,15,49503
1071003,16,59
1072020,15,49526
1072020,16,29
1073040,15,49517
1073040,16,36
1074015,15,49499
1074015,16,57
1075037,15,49500
1075037,16,26
1076017,15,49511
1076017,16,60
1077035,15,49511
1077035,16,21
1078013,15,49505
1078013,16,44
1079032,15,49514
1079032,16,43
1080011,15,49498
1080011,16,31
1081031,15,49506
1081031,16,19
1082008,15,49530
1082008,16,7
1083025,15,49501
1083025,16,46
1084004,15,49503
1084004,16,35
1085025,15,49500
1085025,16,36
1086002,15,49514
1086002,16,30
1087024,15,49493
1087024,16,71
1088001,15,49498
1088001,16,40
1089020,15,49520
1089020,16,34
1090040,15,49521
1090040,16,41
1091017,15,49510
1091017,16,40
1092037,15,49495
1092037,16,57
1093015,15,49512
1093015,16,30
1094032,15,49507
1094032,16,25
1095010,15,49508
1095010,16,37
1096033,15,49522
1096033,16,34
1097009,15,49503
1097009,16,43
1098029,15,49518
1098029,16,36
1099007,15,49516
1099007,16,27
1100026,15,49515
1100026,16,47
1101007,15,49474
1101007,16,37
1102026,15,49474
1102026,16,69
1103001,15,49525
1103001,16,39
1104021,15,49479
1104021,16,20
1105003,15,49510
1105003,16,26
1106021,15,49501
1106021,16,32
1107040,15,49511
1107040,16,31
1108020,15,49513
1108020,16,32
1109038,15,49512
1109038,16,50
1110016,15,49509
1110016,16,42
1111034,15,49496
1111034,16,39
1112011,15,49501
1112011,16,48
1113030,15,49515
1113030,16,20
1114008,15,49496
1114008,16,42
1115031,15,49499
1115031,16,36
1116008,15,49487
1116008,16,38
1117027,15,49510
1117027,16,24
1118005,15,49517
1118005,16,50
1119027,15,49504
1119027,16,29
1119999,15,49508
1119999,16,43
1121026,15,49505
1121026,16,19
1122000,15,49493
1122000,16,21
1123023,15,49515
1123023,16,34
1124040,15,49489
1124040,16,46
1125018,15,49492
1125018,16,20
1126039,15,49509
1126039,16,39
1127015,15,49491
1127015,16,29
1128035,15,49506
1128035,16,41
1129012,15,49494
1129012,16,58
1130032,15,49502
1130032,16,31
1131011,15,49520
1131011,16,25
1132030,15,49506
1132030,16,30
1133008,15,49481
1133008,16,53
1134025,15,49506
1134025,16,25
1135007,15,49520
1135007,16,22
1136026,15,49515
1136026,16,23
1137004,15,49504
1137004,16,52
1138025,15,49512
1138025,16,33
1138999,15,49511
1138999,16,28
1140020,15,49490
1140020,16,16
1141043,15,49506
1141043,16,24
1142016,15,49501
1142016,16,43
1143039,15,49511
1143039,16,34
1144015,15,49502
1144015,16,41
1145037,15,49511
1145037,16,43
1146015,15,49510
1146015,16,32
1147032,15,49481
1147032,16,50
1148011,15,49510
1148011,16,35
1149030,15,49510
1149030,16,39
1150008,15,49499
1150008,16,31
1151027,15,49503
1151027,16,46
1152005,15,49507
1152005,16,35
1153027,15,49509
1153027,16,29
1154003,15,49519
1154003,16,24
1155023,15,49490
1155023,16,12
1156001,15,49514
1156001,16,38
1157021,15,49508
1157021,16,37
1158042,15,49513
1158042,16,34
1159019,15,49504
1159019,16,16
1160038,15,49510
1160038,16,29
1161016,15,49523
1161016,16,41
1162036,15,49483
1162036,16,30
1163014,15,49516
1163014,16,20
1164032,15,49505
1164032,16,35
1165008,15,49499
1165008,16,34
1166032,15,49502
1166032,16,42
1167007,15,49513
1167007,16,38
1168027,15,49499
1168027,16,22
1169006,15,49520
1169006,16,43
1170023,15,49495
1170023,16,28
1171003,15,49517
1171003,16,31
1172025,15,49503
1172025,16,20
1173001,15,49502
1173001,16,12
1174020,15,49500
1174020,16,18
1175040,15,49488
1175040,16,34
1176015,15,49492
1176015,16,46
1177043,15,49504
1177043,16,54
1178016,15,49516
1178016,16,15
1179034,15,49503
1179034,16,36
1180014,15,49503
1180014,16,41
1181035,15,49496
1181035,16,41
1182008,15,49506
1182008,16,19
1183030,15,49485
1183030,16,40
1184008,15,49503
1184008,16,40
1185027,15,49507
1185027,16,53
1186004,15,49505
1186004,16,49
1187025,15,49513
1187025,16,29
1188002,15,49510
1188002,16,27
1189020,15,49499
1189020,16,13
1189998,15,49521
1189998,16,39
1191018,15,49503
1191018,16,20
1192040,15,49489
1192040,16,37
1193017,15,49516
1193017,16,37
1194036,15,49490
1194036,16,38
1195016,15,49506
1195016,16,49
1196035,15,49530
1196035,16,42
1197013,15,49507
1197013,16,40
1198033,15,49511
1198033,16,38
1199009,15,49488
1199009,16,20
1200031,15,49521
1200031,16,41
1201007,15,49483
1201007,16,38
1202027,15,49499
1202027,16,55
1203004,15,49503
1203004,16,27
1204026,15,49513
1204026,16,26
1205001,15,49505
1205001,16,61
1206023,15,49505
1206023,16,46
1207000,15,49531
1207000,16,47
1208019,15,49514
1208019,16,38
1209041,15,49521
1209041,16,38
1210018,15,49490
1210018,16,21
1211039,15,49506
1211039,16,28
1212017,15,49500
1212017,16,40
1213035,15,49525
1213035,16,33
1214013,15,49498
1214013,16,29
1215029,15,49487
1215029,16,37
1216012,15,49520
1216012,16,32
1217027,15,49490
1217027,16,38
1218009,15,49504
1218009,16,45
1219026,15,49498
1219026,16,54
1220007,15,49498
1220007,16,21
1221023,15,49501
1221023,16,52
1222004,15,49480
1222004,16,24
1223024,15,49516
1223024,16,34
1224000,15,49500
1224000,16,40
1225019,15,49503
1225019,16,42
1226040,15,49517
1226040,16,36
1227017,15,49506
1227017,16,49
1228036,15,49520
1228036,16,43
1229014,15,49509
1229014,16,30
1230036,15,49492
1230036,16,34
1231013,15,49509
1231013,16,36
1232033,15,49499
1232033,16,29
1233009,15,49514
1233009,16,30
1234029,15,49508
1234029,16,48
1235006,15,49498
1235006,16,26
1236027,15,49503
1236027,16,58
1237005,15,49523
1237005,16,23
1238025,15,49509
1238025,16,38
1239002,15,49496
1239002,16,31
1240020,15,49498
1240020,16,24
1241002,15,49513
1241002,16,31
1242017,15,49519
1242017,16,35
1243041,15,49495
1243041,16,31
1244017,15,49502
1244017,16,36
1245037,15,49485
1245037,16,26
1246014,15,49498
1246014,16,40
1247035,15,49489
1247035,16,41
1248014,15,49512
1248014,16,24
1249030,15,49501
1249030,16,23
1250013,15,49496
1250013,16,43
1251028,15,49522
1251028,16,30
1252007,15,49503
1252007,16,34
1253030,15,49486
1253030,16,56
1254009,15,49500
1254009,16,31
1255022,15,49509
1255022,16,41
1256004,15,49510
1256004,16,43
1257022,15,49506
1257022,16,3
1258000,15,49507
1258000,16,55
1259022,15,49509
1259022,16,35
1260036,15,49500
1260036,16,49
1261015,15,49488
1261015,16,24
1262040,15,49515
1262040,16,36
1263016,15,49513
1263016,16,44
1264036,15,49484
1264036,16,36
1265012,15,49495
1265012,16,32
1266034,15,49491
1266034,16,42
1267009,15,49509
1267009,16,12
1268029,15,49524
1268029,16,52
1269008,15,49502
1269008,16,19
1270026,15,49494
1270026,16,30
1271004,15,49494
1271004,16,32
1272028,15,49519
1272028,16,27
1273001,15,49480
1273001,16,29
1274020,15,49508
1274020,16,36
1274999,15,49510
1274999,16,52
1276021,15,49519
1276021,16,30
1277039,15,49511
1277039,16,27
1278018,15,49499
1278018,16,41
1279035,15,49507
1279035,16,22
1280014,15,49510
1280014,16,41
1281035,15,49517
1281035,16,37
1282012,15,49515
1282012,16,23
1283032,15,49494
1283032,16,34
1284007,15,49506
1284007,16,15
1285031,15,49516
1285031,16,32
1286006,15,49507
1286006,16,37
1287029,15,49521
1287029,16,37
1288004,15,49502
1288004,16,22
1289026,15,49516
1289026,16,49
1290004,15,49518
1290004,16,47
1291024,15,49514
1291024,16,50
1291999,15,49510
1291999,16,14
1293020,15,49514
1293020,16,37
1294038,15,49517
1294038,16,40
1295017,15,49515
1295017,16,40
1296037,15,49510
1296037,16,19
1297014,15,49500
1297014,16,31
1298034,15,49505
1298034,16,36
1299013,15,49514
1299013,16,49
1300032,15,49493
1300032,16,39
1301011,15,49516
1301011,16,36
1302029,15,49494
1302029,16,42
1303008,15,49505
1303008,16,45
1304029,15,49490
1304029,16,28
1305004,15,49505
1305004,16,32
1306024,15,49505
1306024,16,40
1307003,15,49512
1307003,16,58
1308022,15,49509
1308022,16,25
1309001,15,49517
1309001,16,29
1310021,15,49504
1310021,16,28
1311042,15,49515
1311042,16,41
1312018,15,49489
1312018,16,27
1313039,15,49488
1313039,16,35
1314016,15,49511
1314016,16,36
1315033,15,49502
1315033,16,9
1316014,15,49498
1316014,16,35
1317035,15,49507
1317035,16,32
1318014,15,49537
1318014,16,32
1319031,15,49519
1319031,16,47
1320007,15,49502
1320007,16,36
1321029,15,49518
1321029,16,46
1322004,15,49514
1322004,16,47
1323026,15,49511
1323026,16,23
1324000,15,49498
1324000,16,42
1325021,15,49499
1325021,16,33
1325999,15,49493
1325999,16,34
1327022,15,49520
1327022,16,44
1328038,15,49501
1328038,16,36
1329017,15,49499
1329017,16,33
1330037,15,49517
1330037,16,54
1331017,15,49517
1331017,16,45
1332037,15,49495
1332037,16,25
1333014,15,49496
1333014,16,24
1334033,15,49494
1334033,16,41
1335008,15,49508
1335008,16,63
1336030,15,49516
1336030,16,30
1337006,15,49515
1337006,16,40
1338025,15,49510
1338025,16,46
1339007,15,49511
1339007,16,39
1340027,15,49481
1340027,16,47
1341002,15,49504
1341002,16,34
1342023,15,49506
1342023,16,22
1342998,15,49509
1342998,16,46
1344021,15,49519
1344021,16,23
1345038,15,49506
1345038,16,35
1346017,15,49503
1346017,16,31
1347038,15,49501
1347038,16,35
1348014,15,49517
1348014,16,34
1349033,15,49506
1349033,16,56
1350013,15,49518
1350013,16,40
1351033,15,49503
1351033,16,46
1352009,15,49486
1352009,16,32
1353029,15,49493
1353029,16,16
1354006,15,49503
1354006,16,39
1355030,15,49521
1355030,16,40
1356003,15,49506
1356003,16,40
1357025,15,49520
1357025,16,56
1358002,15,49519
1358002,16,58
1359019,15,49499
1359019,16,39
1360000,15,49496
1360000,16,35
1361022,15,49484
1361022,16,39
1362038,15,49488
1362038,16,32
1363016,15,49493
1363016,16,54
1364037,15,49498
1364037,16,25
1365017,15,49497
1365017,16,48
1366038,15,49502
1366038,16,41
1367012,15,49514
1367012,16,41
1368034,15,49524
1368034,16,41
1369010,15,49523
1369010,16,28
1370032,15,49485
1370032,16,33
1371009,15,49513
1371009,16,43
1372026,15,49522
1372026,16,17
1373004,15,49495
1373004,16,37
1374024,15,49519
1374024,16,49
1375001,15,49507
1375001,16,31
1376022,15,49503
1376022,16,39
1377001,15,49518
1377001,16,42
1378020,15,49513
1378020,16,11
1379040,15,49505
1379040,16,25
1380018,15,49513
1380018,16,37
1381036,15,49512
1381036,16,24
1382015,15,49504
1382015,16,44
1383032,15,49509
1383032,16,39
1384010,15,49509
1384010,16,36
1385034,15,49505
1385034,16,35
1386008,15,49492
1386008,16,18
1387029,15,49499
1387029,16,30
1388007,15,49511
1388007,16,30
1389027,15,49509
1389027,16,23
1390005,15,49513
1390005,16,31
1391026,15,49511
1391026,16,33
1392001,15,49497
1392001,16,39
1393023,15,49510
1393023,16,43
1394000,15,49501
1394000,16,42
1395019,15,49508
1395019,16,28
1396041,15,49509
1396041,16,63
1397019,15,49509
1397019,16,39
1398042,15,49507
1398042,16,26
1399015,15,49507
