t_us,pin,raw
1000000,15,49523
1000000,16,42
1001003,15,49510
1001003,16,39
1002023,15,49511
1002023,16,39
1002999,15,49506
1002999,16,32
1004020,15,49515
1004020,16,32
1005042,15,49507
1005042,16,41
1006020,15,49525
1006020,16,33
1007035,15,49500
1007035,16,44
1008017,15,49507
1008017,16,40
1009035,15,49515
1009035,16,33
1010012,15,49498
1010012,16,40
1011036,15,49515
1011036,16,18
1012010,15,49503
1012010,16,35
1013027,15,49498
1013027,16,23
1014006,15,49504
1014006,16,32
1015027,15,49481
1015027,16,26
1016004,15,49496
1016004,16,38
1017027,15,49501
1017027,16,25
1018000,15,49508
1018000,16,22
1019020,15,49495
1019020,16,45
1019996,15,49507
1019996,16,38
1021024,15,49483
1021024,16,38
1022042,15,49514
1022042,16,28
1023017,15,49515
1023017,16,52
1024040,15,49507
1024040,16,21
1025016,15,49511
1025016,16,52
1026034,15,49501
1026034,16,54
1027015,15,49520
1027015,16,31
1028035,15,49511
1028035,16,27
1029006,15,49486
1029006,16,31
1030030,15,49503
1030030,16,45
1031008,15,49494
1031008,16,41
1032027,15,49506
1032027,16,53
1033005,15,49490
1033005,16,12
1034026,15,49507
1034026,16,45
1034999,15,49509
1034999,16,38
1036021,15,49525
1036021,16,25
1037002,15,49499
1037002,16,24
1038023,15,49493
1038023,16,43
1039040,15,49509
1039040,16,41
1040015,15,49500
1040015,16,29
1041037,15,49522
1041037,16,14
1042016,15,49507
1042016,16,18
1043039,15,49493
1043039,16,39
1044011,15,49470
1044011,16,50
1045034,15,49500
1045034,16,44
1046010,15,49493
1046010,16,34
1047031,15,49505
1047031,16,42
1048007,15,49505
1048007,16,36
1049027,15,49499
1049027,16,24
1050004,15,49510
1050004,16,39
1051022,15,49505
1051022,16,33
1052005,15,49511
1052005,16,35
1053021,15,49486
1053021,16,43
1054001,15,49505
1054001,16,29
1055021,15,49511
1055021,16,8
1056037,15,49493
1056037,16,37
1057016,15,49513
1057016,16,39
1058036,15,49508
1058036,16,41
1059016,15,49485
1059016,16,40
1060038,15,49520
1060038,16,51
1061011,15,49521
1061011,16,35
1062037,15,49509
1062037,16,37
1063012,15,49507
1063012,16,29
1064026,15,49510
1064026,16,9
1065005,15,49476
1065005,16,11
1066030,15,49494
1066030,16,36
1067004,15,49510
1067004,16,37
1068024,15,49502
1068024,16,28
1069001,15,49514
1069001,16,42
1070024,15,49496
1070024,16,43
1070999,15,49496
1070999,16,52
1072020,15,49511
1072020,16,13
1073042,15,49508
1073042,16,40
1074018,15,49507
1074018,16,31
1075040,15,49515
1075040,16,37
1076010,15,49479
1076010,16,26
1077032,15,49521
1077032,16,45
1078015,15,49514
1078015,16,37
1079031,15,49504
1079031,16,38
1080008,15,49509
1080008,16,44
1081030,15,49516
1081030,16,50
1082008,15,49488
1082008,16,24
1083026,15,49499
1083026,16,60
1084004,15,49506
1084004,16,22
1085024,15,49491
1085024,16,29
1085999,15,49495
1085999,16,39
1087025,15,49490
1087025,16,17
1088003,15,49522
1088003,16,35
1089024,15,49519
1089024,16,30
1090041,15,49491
1090041,16,35
1091017,15,49494
1091017,16,27
1092035,15,49492
1092035,16,20
1093015,15,49504
1093015,16,43
1094035,15,49520
1094035,16,23
1095014,15,49512
1095014,16,22
1096028,15,49494
1096028,16,34
1097010,15,49502
1097010,16,39
1098028,15,49498
1098028,16,57
1099010,15,49489
1099010,16,38
1100026,15,49527
1100026,16,30
1101007,15,49499
1101007,16,28
1102028,15,49501
1102028,16,53
1103003,15,49501
1103003,16,28
1104022,15,49524
1104022,16,40
1104999,15,49488
1104999,16,43
1106021,15,49500
1106021,16,39
1107045,15,49487
1107045,16,33
1108015,15,49505
1108015,16,50
1109040,15,49509
1109040,16,22
1110016,15,49522
