t_us,pin,raw
1000000,15,25333
1000060,15,26419
1000122,15,27558
1000154,15,28130
1000213,15,29208
1000279,15,30410
1000307,15,30939
1000369,15,32087
1000401,15,32666
1000463,15,33809
1000525,15,34957
1000561,15,35594
1000620,15,36681
1000679,15,37770
1000712,15,38360
1000772,15,39438
1000806,15,40033
1000868,15,41165
1000928,15,42202
1000958,15,42721
1001021,15,43791
1001053,15,44366
1001111,15,45325
1001175,15,46368
1001209,15,46931
1001268,15,47868
1001303,15,48401
1001362,15,49339
1001425,15,50272
1001453,15,50670
1001515,15,51586
1001580,15,52468
1001610,15,52894
1001674,15,53717
1001701,15,54069
1001766,15,54863
1001827,15,55586
1001859,15,55972
1001916,15,56582
1001951,15,56968
1002013,15,57589
1002076,15,58175
1002105,15,58448
1002166,15,58963
1002229,15,59470
1002262,15,59694
1002323,15,60126
1002356,15,60345
1002416,15,60682
1002479,15,61040
1002509,15,61157
1002570,15,61411
1002601,15,61540
1002664,15,61738
1002727,15,61895
1002758,15,61943
1002818,15,62028
1002849,15,62039
1002915,15,62066
1002972,15,62040
1003003,15,62009
1003068,15,61918
1003127,15,61801
1003158,15,61712
1003221,15,61490
1003255,15,61377
1003316,15,61087
1003377,15,60792
1003407,15,60627
1003470,15,60279
1003501,15,60035
1003563,15,59600
1003627,15,59114
1003654,15,58885
1003716,15,58353
1003780,15,57764
1003813,15,57447
1003873,15,56836
1003902,15,56531
1003966,15,55809
1004027,15,55114
1004055,15,54757
1004121,15,53977
1004151,15,53554
1004215,15,52723
1004276,15,51888
1004306,15,51448
1004370,15,50514
1004398,15,50120
1004461,15,49166
1004521,15,48226
1004557,15,47674
1004617,15,46695
1004678,15,45699
1004709,15,45206
1004772,15,44129
1004802,15,43618
1004867,15,42488
1004928,15,41432
1004961,15,40861
1005021,15,39771
1005051,15,39248
1005111,15,38162
1005175,15,36996
1005204,15,36471
1005267,15,35304
1005331,15,34123
1005360,15,33587
1005423,15,32421
1005455,15,31860
1005516,15,30721
1005579,15,29570
1005610,15,29028
1005671,15,27889
1005703,15,27317
1005764,15,26215
1005826,15,25110
1005856,15,24584
1005920,15,23459
1005952,15,22872
1006011,15,21874
1006074,15,20798
1006105,15,20285
1006167,15,19265
1006231,15,18222
1006261,15,17726
1006324,15,16753
1006352,15,16299
1006414,15,15362
1006477,15,14463
1006506,15,14044
1006569,15,13148
1006602,15,12685
1006662,15,11923
1006725,15,11101
1006757,15,10699
1006820,15,9948
1006881,15,9293
1006911,15,8920
1006972,15,8284
1007003,15,7951
1007065,15,7373
1007127,15,6781
1007158,15,6560
1007222,15,6019
1007253,15,5800
1007315,15,5345
1007376,15,4947
1007407,15,4778
1007469,15,4443
1007498,15,4307
1007561,15,4014
1007623,15,3786
1007656,15,3682
1007718,15,3534
1007780,15,3417
1007812,15,3371
1007873,15,3321
1007902,15,3307
1007967,15,3311
1008029,15,3379
1008057,15,3423
1008121,15,3548
1008149,15,3598
1008215,15,3828
1008275,15,4056
1008307,15,4185
1008369,15,4489
1008428,15,4832
1008461,15,5017
1008522,15,5421
1008554,15,5633
1008618,15,6134
1008677,15,6595
1008711,15,6921
1008771,15,7433
1008804,15,7779
1008865,15,8392
1008927,15,9042
1008960,15,9418
1009018,15,10070
1009054,15,10518
1009112,15,11223
1009172,15,11995
1009203,15,12411
1009269,15,13302
1009330,15,14151
1009362,15,14614
1009422,15,15511
