t_us,pin,raw
1000000,15,32680
1002012,15,58996
1004028,15,23208
1006014,15,8449
1008027,15,48004
1010010,15,53660
1012027,15,12417
1014011,15,16565
1016026,15,56586
1018012,15,42889
1020024,15,6632
1022008,15,28517
1024022,15,59394
1026006,15,30362
1028021,15,6961
1030008,15,41753
1032023,15,55723
1034006,15,17834
1036022,15,13676
1038005,15,52526
1040017,15,46894
1042004,15,9075
1044021,15,24950
1046001,15,58573
1048014,15,34540
1050001,15,5978
1052015,15,37610
1053998,15,58614
1056013,15,21589
1058033,15,11163
1060012,15,49399
1062031,15,49762
1064012,15,11306
1066027,15,20881
1068013,15,57441
1070030,15,37831
1072007,15,6320
1074026,15,33776
1076010,15,59272
1078025,15,25095
1080011,15,7676
1082023,15,46224
1084006,15,54890
1086022,15,13930
1088007,15,14961
1090022,15,55604
1092002,15,45370
1094021,15,7096
1096002,15,26241
1098019,15,59384
1100006,15,32049
1102020,15,6534
1104001,15,39421
1106020,15,56662
1108001,15,19728
1110017,15,12202
1112000,15,50964
1114016,15,48353
1115998,15,10244
1118015,15,22780
1120028,15,58832
1122013,15,36329
1124028,15,6004
1126012,15,35623
1128029,15,58162
1130014,15,23042
1132028,15,9945
1134012,15,48069
1136027,15,51301
1138008,15,12640
1140027,15,19389
1142006,15,56388
1144026,15,39911
1146009,15,6593
1148024,15,31882
1150010,15,59372
1152020,15,27251
1154007,15,7016
1156023,15,44749
1158003,15,55952
1160022,15,15164
1162005,15,13585
1164021,15,54631
1166003,15,46720
1168017,15,7803
1169997,15,24121
1172017,15,59206
1174002,15,34136
1176016,15,6181
1178000,15,37701
1180016,15,57512
1182028,15,18689
1184014,15,10982
1186031,15,52145
1188011,15,50100
1190027,15,9520
1192012,15,20952
1194028,15,58467
1196010,15,38295
1198027,15,5975
1200011,15,33856
1202025,15,58713
1204009,15,25126
1206023,15,8858
1208009,15,46376
1210020,15,52962
1212009,15,13727
1214023,15,17613
1216004,15,55461
1218020,15,42080
1220005,15,7136
1222018,15,29596
1224005,15,59384
1226022,15,28693
1228003,15,6511
1230019,15,42832
1232002,15,56798
1234018,15,16794
1236002,15,12242
1238016,15,53288
1240000,15,48386
1242016,15,8511
1244035,15,26398
1246013,15,58858
1248029,15,32937
1250012,15,6005
1252028,15,38951
1254013,15,58190
1256028,15,20160
1258010,15,9829
1260027,15,50606
1262012,15,51259
1264027,15,10401
1266006,15,18916
1268023,15,57780
1270007,15,40244
1272022,15,6107
1274006,15,31660
1276021,15,59108
1278007,15,26944
1280019,15,7979
1282004,15,44455
1284020,15,54022
1286006,15,15191
1288019,15,15937
1290003,15,54490
1292018,15,43829
1294001,15,7819
1296015,15,27605
1298000,15,59191
1300014,15,31191
1302002,15,6201
1304017,15,41076
1306033,15,56015
1308016,15,18357
1310029,15,13039
1312012,15,51853
1314030,15,47146
1316014,15,9378
1318027,15,23986
1320009,15,58355
1322024,15,35165
1324011,15,5983
1326025,15,37016
1328007,15,58793
1330026,15,21851
1332009,15,8958
1334023,15,48991
1336008,15,52713
1338021,15,11752
1340007,15,17617
1342020,15,57033
1344006,15,41914
1346022,15,6320
1348004,15,29753
1350019,15,59307
1352003,15,29007
1354017,15,7330
1356005,15,43026
1358016,15,55237
1360003,15,16737
1362015,15,14356
1364001,15,53326
1366014,15,45717
1368031,15,7303
1370015,15,25961
1372027,15,59323
1374015,15,32772
1376028,15,6372
1378012,15,38946
1380029,15,56980
1382010,15,20378
1384027,15,11824
1386008,15,50355
1388023,15,49092
1390009,15,10560
1392024,15,22106
1394009,15,57856
1396023,15,36944
1398006,15,6099
1400022,15,35039
1402005,15,59111
1404022,15,23814
1406004,15,7998
1408020,15,47369
1410005,15,53987
1412019,15,12996
1414005,15,16076
1416018,15,56201
1418000,15,44073
1420018,15,6757
1422003,15,27984
1424018,15,59404
1426000,15,31022
1428014,15,6763
1430029,15,43819
1432015,15,56149
1434029,15,15865
1436012,15,12938
1438028,15,54065
1440012,15,47343
1442026,15,8080
1444011,15,23982
1446025,15,59105
1448010,15,34977
1450024,15,6108
1452009,15,36981
1454028,15,57667
1456008,15,22066
1458022,15,10513
1460008,15,49064
1462021,15,50563
1464005,15,11779
1466019,15,20135
1468006,15,57118
1470021,15,38789
1472006,15,6343
1474019,15,33037
1476003,15,59338
1478020,15,25603
1480000,15,7285
1482015,15,45482
1484001,15,55194
1486017,15,14296
1487999,15,14332
1490016,15,55243
1492028,15,42868
1494015,15,7310
1496030,15,29200
1498013,15,59319
1500031,15,29378
1502011,15,6389
1504027,15,42079
1506010,15,57100
1508027,15,17383
1510010,15,11716
1512022,15,52622
1514008,15,49038
1516023,15,8911
1518008,15,22093
1520025,15,58792
1522005,15,37176
1524023,15,5992
1526005,15,34888
