t_us,pin,raw
1000000,15,32681
1002014,15,57574
1004026,15,14768
1006012,15,18077
1008028,15,58871
1010009,15,31708
1012024,15,8204
1014005,15,48838
1016025,15,46093
1018011,15,6932
1020024,15,35303
1022009,15,57778
1024025,15,14871
1026008,15,17695
1028024,15,58775
1030003,15,32348
1032020,15,8035
1034006,15,48902
1036021,15,46468
1038004,15,7147
1040017,15,34546
1042005,15,57929
1044018,15,15432
1046001,15,17045
1048019,15,58688
1050001,15,32551
1052014,15,7770
1053998,15,48180
1056013,15,47222
1058030,15,6467
1060015,15,34316
1062029,15,56930
1064014,15,15783
1066028,15,19560
1068011,15,58447
1070024,15,30061
1072013,15,7753
1074024,15,50436
1076008,15,47691
1078026,15,6538
1080009,15,33678
1082023,15,57214
1084007,15,16380
1086025,15,19263
1088007,15,58313
1090023,15,30184
1092007,15,7511
1094022,15,50244
1096005,15,47951
1098023,15,6625
1100004,15,33127
1102018,15,57420
1104003,15,16712
1106018,15,18611
1108002,15,58158
1110017,15,30843
1112001,15,7318
1114015,15,49669
1115997,15,48662
1118015,15,6832
1120029,15,35841
1122015,15,57550
1124026,15,14796
1126013,15,18147
1128027,15,58822
1130011,15,31492
1132026,15,8327
1134010,15,49259
1136026,15,46015
1138009,15,6972
1140026,15,35525
1142008,15,57813
1144026,15,14797
1146007,15,17634
1148023,15,58749
1150007,15,31943
1152025,15,8250
1154006,15,48901
1156021,15,46460
1158008,15,7022
1160018,15,34658
1162002,15,58020
1164020,15,15297
1166002,15,17163
1168018,15,58622
1170003,15,32366
1172016,15,7864
1173999,15,48303
1176015,15,47049
1178000,15,7280
1180009,15,33680
1182032,15,56783
1184016,15,15591
1186029,15,19636
1188014,15,58508
1190028,15,29629
1192010,15,7647
1194029,15,50825
1196009,15,47581
1198027,15,6527
1200009,15,33679
1202026,15,57082
1204006,15,16477
1206024,15,19190
1208009,15,58369
1210024,15,30090
1212007,15,7534
1214024,15,50417
1216006,15,47853
1218023,15,6607
1220004,15,33101
1222020,15,57337
1224004,15,16644
1226019,15,18709
1228003,15,58211
1230019,15,30631
1232001,15,7321
1234019,15,50014
1235999,15,48472
1238015,15,6826
1240003,15,33002
1242016,15,57518
1244029,15,14527
1246017,15,18548
1248028,15,58844
1250011,15,31485
1252027,15,8351
1254014,15,49599
1256024,15,46197
1258012,15,6912
1260027,15,35631
1262008,15,57803
1264025,15,14861
1266012,15,18067
1268023,15,58770
1270009,15,31724
1272022,15,8130
1274007,15,48988
1276022,15,46372
1278006,15,7107
1280021,15,34984
1282005,15,57929
1284020,15,15287
1286006,15,17528
1288019,15,58675
1290003,15,32350
1292018,15,7980
1294002,15,48564
1296018,15,46738
1298001,15,7234
1300017,15,34539
1302001,15,58057
1304011,15,16034
1306029,15,19663
1308013,15,58480
1310028,15,29647
1312013,15,7739
1314030,15,50920
1316012,15,47336
1318028,15,6520
1320009,15,33654
1322025,15,57134
1324011,15,16035
1326027,15,19468
1328010,15,58415
1330026,15,29849
1332010,15,7644
1334024,15,50428
1336009,15,47580
1338021,15,6679
1340006,15,33339
1342022,15,57246
1344004,15,16629
1346021,15,18904
1348005,15,58259
1350020,15,30488
1352003,15,7384
1354016,15,49763
1356004,15,48045
1358018,15,6741
1359999,15,32584
1362015,15,57527
1363999,15,17090
1366015,15,18345
1368030,15,58896
1370013,15,31257
1372028,15,8375
1374012,15,49417
1376027,15,45926
1378010,15,6964
1380026,15,35516
1382012,15,57666
1384027,15,14700
1386011,15,17974
1388024,15,58800
1390007,15,31924
1392025,15,8255
1394009,15,49175
1396024,15,46201
1398009,15,7009
1400021,15,34984
1402008,15,57805
1404021,15,15191
1406007,15,17620
1408020,15,58660
1410007,15,31918
1412018,15,7966
1414002,15,48562
1416017,15,46838
1418001,15,7253
1420018,15,34640
1422000,15,58086
1424015,15,15706
1426000,15,16984
1428016,15,58572
1430030,15,29407
1432014,15,7793
1434029,15,50828
1436016,15,46935
1438026,15,6552
1440014,15,34217
1442029,15,56949
1444009,15,16214
1446027,15,19476
1448011,15,58424
1450023,15,30204
1452009,15,7617
1454026,15,50591
1456009,15,47599
1458024,15,6589
1460008,15,33578
1462022,15,57252
1464006,15,16446
1466019,15,18725
1468005,15,58270
1470020,15,30515
1472005,15,7458
1474022,15,50275
1476005,15,47940
1478021,15,6663
1480000,15,32687
1482015,15,57540
1484003,15,16741
1486017,15,18544
1488000,15,58090
1490014,15,31156
1492031,15,8531
1494012,15,49427
1496029,15,45727
1498014,15,6842
1500028,15,35750
1502014,15,57578
1504028,15,14647
1506007,15,17594
1508026,15,58819
1510010,15,31597
1512027,15,8370
1514009,15,49175
1516025,15,46111
1518009,15,6999
1520023,15,35202
1522007,15,57848
1524022,15,15111
1526009,15,17791
1528020,15,58680
1530003,15,32344
1532021,15,8104
1534005,15,48814
1536018,15,46781
1538004,15,7147
1540016,15,34413
1541999,15,58115
1544016,15,15612
1546000,15,16990
1548014,15,58520
1549998,15,32913
1552014,15,7801
1554033,15,51139
1556015,15,47029
1558028,15,6515
1560009,15,33655
1562028,15,56979
1564012,15,15959
1566026,15,19348
1568011,15,58455
1570026,15,29848
1572008,15,7561
1574023,15,50343
1576007,15,47770
1578026,15,6558
1580010,15,33776
1582024,15,57170
1584008,15,16296
1586021,15,18904
1588004,15,58244
1590020,15,30515
1592004,15,7431
1594018,15,49934
1596006,15,47857
1598017,15,6778
1600002,15,32897
1602021,15,57302
1603999,15,17091
1606015,15,18354
1607999,15,58060
1610016,15,30946
1612002,15,7353
1614019,15,50018
1616029,15,45731
1618014,15,6875
1620026,15,35502
1622013,15,57638
1624027,15,14698
1626012,15,18065
1628025,15,58805
1630011,15,31480
1632029,15,8458
1634014,15,49600
1636027,15,45916
1638008,15,7039
1640026,15,35521
1642009,15,57775
1644024,15,14938
1646006,15,17515
1648022,15,58741
1650008,15,31814
1652021,15,8085
1654005,15,48822
1656019,15,46653
1658007,15,7055
1660020,15,34873
1662003,15,57984
1664019,15,15355
1666004,15,17334
1668017,15,58612
1669999,15,32798
1672015,15,7852
1674003,15,48643
1676014,15,47147
1678032,15,6427
1680012,15,33981
1682028,15,56994
1684015,15,15695
1686029,15,19656
1688011,15,58453
1690025,15,29961
1692013,15,7762
1694028,15,50749
1696011,15,47410
1698026,15,6538
1700008,15,33554
1702026,15,57075
1704010,15,16110
1706022,15,18987
1708008,15,58332
1710021,15,30403
1712007,15,7518
1714022,15,50264
1716008,15,47670
1718019,15,6719
1720006,15,33334
1722018,15,57417
1724003,15,16722
1726019,15,18728
1728005,15,58276
1730018,15,30719
1732001,15,7309
1734015,15,49677
1736000,15,48376
1738015,15,6827
1740032,15,36179
1742014,15,57578
1744028,15,14627
1746015,15,18358
1748028,15,58869
1750011,15,31497
1752027,15,8365
1754011,15,49354
1756026,15,45984
1758013,15,6861
1760024,15,35291
1762011,15,57698
1764021,15,15182
1766006,15,17529
1768023,15,58723
1770010,15,31605
1772022,15,8128
1774007,15,49012
1776019,15,46682
1778004,15,7142
1780024,15,35301
1782005,15,57901
1784019,15,15353
1786003,15,17256
1788022,15,58752
1790002,15,32455
1792017,15,7910
1794001,15,48492
1796016,15,46931
1797996,15,7408
1800011,15,33886
1802029,15,56940
1804015,15,15701
1806030,15,19760
1808015,15,58555
1810031,15,29300
1812012,15,7720
1814026,15,50576
1816013,15,47210
1818025,15,6589
1820011,15,33897
1822023,15,57182
1824010,15,16138
1826023,15,19086
1828009,15,58387
