t_us,pin,raw
1000000,15,32684
1002013,15,33286
1004030,15,32248
1006013,15,32347
1008027,15,33310
1010012,15,32663
1012027,15,32122
1014007,15,33051
1016026,15,33016
1018010,15,32094
1020024,15,32746
1022007,15,33285
1024023,15,32271
1026010,15,32330
1028022,15,33300
1030006,15,32672
1032022,15,32115
1034005,15,33068
1036019,15,33039
1038002,15,32090
1040019,15,32739
1042003,15,33277
1044018,15,32287
1046004,15,32339
1048018,15,33305
1049999,15,32669
1052014,15,32086
1054001,15,33063
1056013,15,33024
1058031,15,32065
1060014,15,32704
1062027,15,33272
1064014,15,32285
1066028,15,32361
1068009,15,33300
1070025,15,32615
1072013,15,32083
1074027,15,33102
1076009,15,33042
1078025,15,32070
1080010,15,32717
1082024,15,33278
1084003,15,32300
1086023,15,32369
1088005,15,33286
1090021,15,32622
1092005,15,32088
1094018,15,33095
1096005,15,33037
1098020,15,32067
1100004,15,32714
1102017,15,33284
1104001,15,32317
1106018,15,32363
1108002,15,33278
1110016,15,32635
1112001,15,32100
1114015,15,33063
1115999,15,33059
1118016,15,32082
1120034,15,32768
1122014,15,33281
1124027,15,32274
1126012,15,32364
1128029,15,33305
1130012,15,32658
1132028,15,32134
1134009,15,33091
1136024,15,33006
1138008,15,32095
1140025,15,32747
1142009,15,33269
1144025,15,32266
1146007,15,32320
1148022,15,33303
1150007,15,32673
1152021,15,32109
1154006,15,33067
1156021,15,33021
1158006,15,32085
1160019,15,32737
1162003,15,33292
1164019,15,32268
1166004,15,32325
1168017,15,33294
1170002,15,32677
1172017,15,32092
1174002,15,33048
1176014,15,33040
1178000,15,32077
1180012,15,32699
1182030,15,33269
1184012,15,32286
1186029,15,32374
1188014,15,33288
1190029,15,32612
1192010,15,32102
1194027,15,33110
1196013,15,33037
1198026,15,32049
1200010,15,32705
1202024,15,33278
1204011,15,32289
1206022,15,32347
1208006,15,33302
1210023,15,32630
1212005,15,32098
1214022,15,33111
1216006,15,33055
1218020,15,32083
1220006,15,32685
1222021,15,33273
1224004,15,32332
1226016,15,32352
1228004,15,33298
1230020,15,32638
1232002,15,32112
1234015,15,33092
1235999,15,33064
1238016,15,32066
1239999,15,32671
1242016,15,33286
1244030,15,32258
1246013,15,32335
1248027,15,33318
1250015,15,32676
1252029,15,32100
1254015,15,33087
1256027,15,32995
1258012,15,32083
1260028,15,32743
1262011,15,33261
1264024,15,32273
1266008,15,32336
1268025,15,33314
1270006,15,32678
1272022,15,32111
1274005,15,33062
1276022,15,33015
1278005,15,32074
1280020,15,32739
1282006,15,33274
1284020,15,32271
1286003,15,32331
1288017,15,33296
1290003,15,32695
1292018,15,32111
1294000,15,33059
1296016,15,33033
1298002,15,32076
1300016,15,32721
1302001,15,33307
1304013,15,32276
1306030,15,32372
1308014,15,33298
1310029,15,32613
1312012,15,32112
1314029,15,33120
1316014,15,33048
1318026,15,32082
1320009,15,32718
1322028,15,33274
1324011,15,32284
1326025,15,32381
1328007,15,33296
1330026,15,32628
1332008,15,32078
1334023,15,33116
1336006,15,33028
1338024,15,32058
1340007,15,32696
1342021,15,33274
1344008,15,32298
1346019,15,32382
1348001,15,33302
1350021,15,32600
1352003,15,32082
1354018,15,33094
1356003,15,33043
1358016,15,32066
1360001,15,32708
1362017,15,33288
