t_us,pin,raw
1000000,15,32682
1000218,15,40961
1000405,15,30717
1000620,15,46879
1000803,15,46397
1001022,15,39059
1001206,15,54264
1001423,15,45287
1001610,15,43877
1001827,15,56304
1002012,15,42332
1002228,15,47045
1002414,15,51518
1002602,15,35553
1002817,15,43635
1003007,15,41705
1003221,15,26716
1003409,15,37586
1003625,15,27086
1003810,15,19486
1004029,15,30947
1004213,15,16854
1004401,15,15367
1004617,15,25132
1004802,15,10638
1005019,15,18364
1005208,15,22658
1005423,15,9919
1005605,15,23447
1005825,15,22027
1006011,15,16155
1006229,15,34044
1006417,15,26448
1006601,15,26294
1006816,15,42876
1007005,15,32636
1007221,15,40563
1007408,15,49903
1007625,15,37354
1007811,15,49749
1008026,15,50689
1008213,15,40780
1008428,15,55683
1008616,15,47700
1008803,15,40559
1009020,15,53460
1009205,15,40222
1009423,15,39051
1009606,15,46255
1009825,15,27971
1010010,15,33440
1010226,15,33746
1010414,15,18593
1010599,15,27886
1010817,15,23010
1011002,15,12149
1011221,15,25636
1011404,15,15768
1011621,15,12708
1011809,15,24833
1012026,15,11182
1012210,15,17608
1012430,15,26336
1012615,15,14913
1012800,15,26956
1013020,15,31175
1013203,15,22743
1013421,15,40716
1013604,15,37354
1013822,15,34306
1014008,15,50005
1014227,15,39574
1014411,15,43352
1014633,15,54567
1014819,15,41355
1015002,15,48898
1015220,15,53244
1015404,15,39640
1015622,15,51519
1015809,15,46455
1016025,15,35178
1016211,15,46629
1016426,15,33006
1016613,15,28921
1016799,15,38703
1017017,15,21613
1017203,15,23204
1017423,15,28345
1017606,15,12804
1017823,15,22404
1018009,15,21437
1018226,15,9220
1018413,15,22983
1018631,15,15506
1018813,15,12185
1019001,15,27377
1019218,15,17516
1019404,15,20609
1019622,15,34372
1019807,15,23229
1020025,15,35294
1020210,15,41403
1020426,15,30982
1020614,15,46379
1020831,15,44203
1021016,15,38749
1021203,15,54092
1021419,15,45614
1021609,15,43836
1021822,15,56409
1022008,15,42607
1022224,15,46721
1022412,15,51647
1022630,15,34560
1022813,15,43321
1023001,15,42262
1023219,15,26717
1023402,15,37274
1023621,15,27514
1023803,15,19215
1024026,15,30968
1024210,15,17118
1024426,15,17278
1024613,15,25272
1024827,15,9473
1025016,15,18128
1025200,15,23111
1025417,15,9851
1025604,15,23374
1025821,15,22354
1026006,15,15918
1026224,15,33857
1026412,15,26789
1026628,15,28717
1026814,15,42877
1027031,15,31418
1027217,15,40148
1027403,15,50072
1027619,15,37428
1027806,15,49296
1028025,15,50746
1028211,15,40745
1028427,15,55626
1028610,15,48267
1028831,15,42106
1029014,15,53454
1029198,15,40900
1029417,15,38600
1029604,15,46326
1029822,15,28134
1030006,15,33153
1030222,15,34107
1030410,15,18655
1030625,15,29448
1030812,15,23500
1031027,15,12949
1031216,15,25504
1031402,15,15962
1031619,15,12576
1031804,15,24821
1032021,15,11434
1032208,15,17417
1032424,15,26661
1032609,15,15033
1032828,15,29626
1033013,15,31633
1033227,15,23601
1033414,15,40247
1033599,15,37744
1033819,15,34075
1034005,15,49919
1034225,15,39713
1034406,15,42886
1034624,15,54907
1034812,15,41657
1035027,15,51094
1035213,15,53767
1035399,15,39729
1035619,15,51335
1035804,15,46946
1036021,15,35034
1036208,15,46521
1036421,15,33524
1036608,15,28646
1036826,15,38095
1037014,15,21882
1037229,15,25207
1037416,15,28806
1037604,15,12908
1037819,15,22104
1038006,15,21684
1038221,15,9085
1038409,15,22749
1038625,15,16022
1038813,15,12183
1039026,15,27981
1039215,15,17733
1039430,15,23196
1039614,15,34528
1039801,15,23473
1040020,15,34767
1040207,15,41563
1040421,15,30883
1040607,15,45751
1040825,15,44673
1041014,15,38647
1041227,15,55131
1041415,15,45932
1041601,15,43260
1041816,15,56498
1042002,15,43055
1042220,15,46381
1042405,15,52033
1042624,15,34711
1042810,15,43113
1043027,15,39789
1043210,15,26649
1043429,15,38309
1043616,15,28038
1043802,15,19188
1044016,15,31024
1044204,15,17698
1044422,15,16965
1044606,15,25503
1044824,15,9560
1045012,15,17744
1045228,15,21288
1045413,15,9851
1045628,15,25251
1045815,15,22815
1046001,15,15679
1046218,15,33577
1046406,15,27244
1046622,15,28120
1046807,15,42816
1047024,15,31702
1047212,15,39641
1047428,15,49051
1047615,15,37466
1047797,15,48432
1048016,15,51448
1048201,15,40590
1048421,15,55376
1048605,15,48752
1048822,15,41525
1049009,15,53396
1049226,15,38389
1049412,15,38217
1049626,15,45326
1049813,15,28646
1050002,15,32822
1050217,15,34515
1050405,15,18769
1050621,15,29233
1050806,15,24093
1051024,15,12821
1051212,15,25390
1051426,15,13797
1051608,15,11765
1051829,15,24572
1052015,15,11775
1052204,15,17022
1052419,15,26870
1052603,15,15140
1052822,15,29105
1053007,15,32008
1053224,15,23465
1053410,15,39967
1053627,15,35633
1053816,15,33838
1054001,15,49778
1054218,15,40155
1054403,15,42622
1054621,15,55018
1054806,15,41907
1055022,15,50682
1055207,15,54154
1055426,15,39490
1055612,15,50901
1055830,15,44378
1056017,15,34897
1056201,15,46327
1056418,15,33818
1056602,15,28309
1056821,15,38255
1057007,15,22429
1057223,15,24743
1057410,15,29160
1057630,15,12088
1057813,15,21661
1058031,15,19505
1058215,15,8961
1058401,15,22255
1058620,15,16423
1058805,15,11726
1059022,15,27928
1059207,15,18265
1059423,15,22477
1059610,15,34578
1059827,15,22656
1060011,15,33838
1060199,15,41924
1060418,15,30825
1060602,15,45305
1060823,15,44844
1061008,15,38366
1061220,15,54863
1061410,15,46349
1061625,15,45069
1061811,15,56575
1062030,15,41184
1062214,15,45870
1062402,15,52184
1062621,15,34815
1062804,15,42693
1063019,15,40601
1063208,15,26658
1063423,15,38140
1063611,15,28567
1063828,15,20381
1064013,15,31008
1064228,15,15597
