t_us,pin,raw
1000000,15,548
1000000,16,19837
1001002,15,533
1001002,16,19870
1002026,15,558
1002026,16,19852
1003000,15,559
1003000,16,19858
1004020,15,537
1004020,16,19877
1005038,15,542
1005038,16,19878
1006016,15,543
1006016,16,19869
1007040,15,555
1007040,16,19873
1008016,15,555
1008016,16,19859
1009037,15,554
1009037,16,19882
1010014,15,544
1010014,16,19880
1011034,15,565
1011034,16,19868
1012010,15,556
1012010,16,19880
1013031,15,548
1013031,16,19872
1014009,15,546
1014009,16,19877
1015027,15,536
1015027,16,19864
1016008,15,524
1016008,16,19858
1017030,15,561
1017030,16,19858
1018000,15,551
1018000,16,19878
1019022,15,545
1019022,16,19864
1019998,15,542
1019998,16,19859
1021019,15,530
1021019,16,19870
1022040,15,551
1022040,16,19866
1023015,15,550
1023015,16,19871
1024038,15,540
1024038,16,19881
1025017,15,557
1025017,16,19881
1026034,15,549
1026034,16,19867
1027012,15,559
1027012,16,19875
1028031,15,571
1028031,16,19880
1029007,15,539
1029007,16,19867
1030030,15,553
1030030,16,19868
1031007,15,542
1031007,16,19862
1032027,15,548
1032027,16,19855
1033006,15,563
1033006,16,19868
1034023,15,566
1034023,16,19862
1035006,15,575
1035006,16,19866
1036024,15,551
1036024,16,19875
1036998,15,558
1036998,16,19876
1038021,15,531
1038021,16,19864
1039042,15,549
1039042,16,19882
1040018,15,552
1040018,16,19869
1041036,15,546
1041036,16,19848
1042016,15,560
1042016,16,19850
1043031,15,544
1043031,16,19886
1044014,15,544
1044014,16,19875
1045036,15,535
1045036,16,19880
1046012,15,559
1046012,16,19852
1047030,15,549
1047030,16,19857
1048008,15,545
1048008,16,19859
1049027,15,545
1049027,16,19856
1050004,15,527
1050004,16,19863
1051028,15,551
1051028,16,19873
1052001,15,535
1052001,16,19862
1053023,15,543
1053023,16,19874
1054001,15,546
1054001,16,19855
1055021,15,538
1055021,16,19871
1056039,15,531
1056039,16,19871
1057018,15,557
1057018,16,19864
1058039,15,553
1058039,16,19867
1059013,15,546
1059013,16,19849
1060034,15,543
1060034,16,19863
1061012,15,550
1061012,16,19868
1062034,15,545
1062034,16,19869
1063011,15,558
1063011,16,19886
1064029,15,553
1064029,16,19848
1065009,15,552
1065009,16,19861
1066028,15,546
1066028,16,19869
1067005,15,570
1067005,16,19851
1068026,15,539
1068026,16,19861
1069000,15,547
1069000,16,19875
1070020,15,566
1070020,16,19856
1071000,15,548
1071000,16,19859
1072019,15,548
1072019,16,19867
1073038,15,547
1073038,16,19873
1074020,15,543
1074020,16,19879
1075037,15,551
1075037,16,19871
1076015,15,541
1076015,16,19846
1077034,15,548
1077034,16,19867
1078014,15,555
1078014,16,19877
1079034,15,539
1079034,16,19852
1080008,15,541
1080008,16,19861
1081028,15,547
1081028,16,19879
1082010,15,541
1082010,16,19868
1083029,15,561
1083029,16,19891
1084006,15,552
1084006,16,19859
1085027,15,545
1085027,16,19886
1086001,15,563
1086001,16,19882
1087019,15,561
1087019,16,19877
1087998,15,552
1087998,16,19853
1089022,15,562
1089022,16,19875
1090039,15,547
1090039,16,19863
1091018,15,534
1091018,16,19858
1092037,15,585
1092037,16,19878
1093014,15,538
1093014,16,19859
1094036,15,554
1094036,16,19864
1095013,15,546
1095013,16,19863
1096034,15,526
1096034,16,19873
1097010,15,561
1097010,16,19869
1098031,15,557
1098031,16,19869
1099008,15,544
1099008,16,19883
1100028,15,557
1100028,16,19873
1101006,15,564
1101006,16,19856
1102025,15,578
1102025,16,19866
1103005,15,531
1103005,16,19867
1104021,15,534
1104021,16,19874
1105001,15,538
1105001,16,19872
1106021,15,560
1106021,16,19878
1107037,15,562
1107037,16,19866
1108017,15,540
1108017,16,19866
1109038,15,558
1109038,16,19887
1110017,15,580
1110017,16,19872
1111036,15,549
1111036,16,19881
1112013,15,556
1112013,16,19855
1113032,15,554
1113032,16,19856
1114008,15,550
1114008,16,19869
1115030,15,561
1115030,16,19892
1116009,15,558
1116009,16,19863
1117026,15,539
1117026,16,19867
1118005,15,544
1118005,16,19866
1119023,15,566
1119023,16,19867
1120002,15,559
1120002,16,19865
1121023,15,556
1121023,16,19882
1122001,15,553
1122001,16,19865
1123020,15,527
1123020,16,19866
1124041,15,547
1124041,16,19871
1125017,15,555
1125017,16,19865
1126038,15,564
1126038,16,19857
1127016,15,536
1127016,16,19867
1128034,15,549
1128034,16,19872
1129014,15,549
1129014,16,19879
1130032,15,563
1130032,16,19857
1131012,15,553
1131012,16,19864
1132030,15,547
1132030,16,19851
1133009,15,549
1133009,16,19877
1134028,15,557
1134028,16,19877
1135003,15,543
1135003,16,19872
1136026,15,527
1136026,16,19888
1137002,15,532
1137002,16,19868
1138024,15,547
1138024,16,19862
1139005,15,528
1139005,16,19873
1140020,15,548
1140020,16,19859
1141040,15,547
1141040,16,19869
1142016,15,533
1142016,16,19867
1143036,15,542
1143036,16,19893
1144015,15,538
1144015,16,19864
1145038,15,543
1145038,16,19863
1146013,15,536
1146013,16,19874
1147032,15,554
1147032,16,19855
1148008,15,558
1148008,16,19864
1149030,15,549
1149030,16,19859
1150006,15,553
1150006,16,19863
1151024,15,553
1151024,16,19858
1152005,15,532
1152005,16,19862
1153024,15,556
1153024,16,19869
1154004,15,561
1154004,16,19872
1155023,15,546
1155023,16,19880
1156000,15,555
1156000,16,19864
1157019,15,551
1157019,16,19868
1158038,15,546
1158038,16,19865
1159019,15,552
1159019,16,19867
1160036,15,532
1160036,16,19872
1161015,15,540
1161015,16,19847
1162035,15,546
1162035,16,19877
1163012,15,537
1163012,16,19882
1164035,15,551
1164035,16,19880
1165012,15,549
1165012,16,19859
1166030,15,558
1166030,16,19869
1167010,15,541
1167010,16,19876
1168029,15,561
1168029,16,19882
1169007,15,560
1169007,16,19867
1170023,15,559
1170023,16,19870
1171004,15,535
1171004,16,19877
1172023,15,549
1172023,16,19872
1172999,15,564
1172999,16,19850
1174018,15,550
1174018,16,19873
1175040,15,561
1175040,16,19875
1176018,15,548
1176018,16,19868
1177039,15,548
1177039,16,19881
1178016,15,559
1178016,16,19867
1179035,15,552
1179035,16,19863
1180010,15,558
1180010,16,19869
1181035,15,556
1181035,16,19871
1182011,15,547
1182011,16,19842
1183031,15,554
1183031,16,19868
1184008,15,548
1184008,16,19890
1185029,15,522
1185029,16,19859
1186004,15,559
1186004,16,19869
1187027,15,562
1187027,16,19878
1188002,15,556
1188002,16,19880
1189023,15,554
1189023,16,19867
1189998,15,526
1189998,16,19894
1191018,15,568
1191018,16,19874
1192041,15,526
1192041,16,19856
1193020,15,544
1193020,16,19861
1194039,15,544
1194039,16,19868
1195016,15,539
1195016,16,19881
1196034,15,542
1196034,16,19873
1197012,15,549
1197012,16,19869
1198033,15,554
1198033,16,19858
1199008,15,562
1199008,16,19885
