t_us,pin,raw
1000000,15,1336
1000000,16,26543
1001001,15,1347
1001001,16,26564
1002023,15,1344
1002023,16,26552
1002999,15,1364
1002999,16,26539
1004021,15,1357
1004021,16,26552
1005041,15,1335
1005041,16,26549
1006017,15,1361
1006017,16,26551
1007039,15,1363
1007039,16,26569
1008017,15,1344
1008017,16,26542
1009034,15,1355
1009034,16,26562
1010011,15,1357
1010011,16,26539
1011035,15,1361
1011035,16,26551
1012009,15,1369
1012009,16,26538
1013026,15,1348
1013026,16,26542
1014007,15,1333
1014007,16,26543
1015030,15,1360
1015030,16,26542
1016004,15,1375
1016004,16,26550
1017025,15,1358
1017025,16,26567
1018002,15,1351
1018002,16,26550
1019022,15,1354
1019022,16,26574
1020000,15,1369
1020000,16,26556
1021018,15,1335
1021018,16,26534
1022042,15,1350
1022042,16,26548
1023018,15,1349
1023018,16,26558
1024039,15,1379
1024039,16,26530
1025014,15,1340
1025014,16,26533
1026036,15,1350
1026036,16,26547
1027011,15,1327
1027011,16,26559
1028034,15,1352
1028034,16,26538
1029008,15,1343
1029008,16,26539
1030026,15,1334
1030026,16,26549
1031006,15,1351
1031006,16,26527
1032027,15,1339
1032027,16,26541
1033005,15,1364
1033005,16,26539
1034024,15,1351
1034024,16,26531
1035000,15,1369
1035000,16,26531
1036024,15,1348
1036024,16,26543
1037001,15,1360
1037001,16,26526
1038020,15,1326
1038020,16,26551
1039041,15,1347
1039041,16,26538
1040019,15,1335
1040019,16,26540
1041039,15,1343
1041039,16,26537
1042017,15,1343
1042017,16,26538
1043036,15,1345
1043036,16,26552
1044013,15,1366
1044013,16,26560
1045030,15,1352
1045030,16,26530
1046013,15,1350
1046013,16,26536
1047030,15,1345
1047030,16,26552
1048008,15,1358
1048008,16,26526
1049028,15,1331
1049028,16,26528
1050003,15,1337
1050003,16,26545
1051026,15,1358
1051026,16,26542
1052000,15,1340
1052000,16,26536
1053021,15,1338
1053021,16,26524
1053998,15,1357
1053998,16,26540
1055021,15,1361
1055021,16,26562
1056041,15,1339
1056041,16,26554
1057016,15,1352
1057016,16,26539
1058038,15,1361
1058038,16,26550
1059017,15,1348
1059017,16,26554
1060035,15,1346
1060035,16,26526
1061014,15,1337
1061014,16,26534
1062031,15,1349
1062031,16,26558
1063007,15,1342
1063007,16,26542
1064028,15,1355
1064028,16,26544
1065008,15,1363
1065008,16,26562
1066029,15,1349
1066029,16,26541
1067004,15,1348
1067004,16,26538
1068026,15,1365
1068026,16,26545
1069003,15,1377
1069003,16,26545
1070023,15,1341
1070023,16,26557
1071000,15,1355
1071000,16,26545
1072021,15,1350
1072021,16,26545
1073039,15,1358
1073039,16,26540
1074018,15,1353
1074018,16,26538
1075036,15,1363
1075036,16,26571
1076019,15,1348
1076019,16,26557
1077034,15,1367
1077034,16,26541
1078016,15,1343
1078016,16,26548
1079033,15,1352
1079033,16,26552
1080011,15,1356
1080011,16,26556
1081030,15,1356
1081030,16,26551
1082009,15,1329
1082009,16,26560
1083028,15,1357
1083028,16,26558
1084006,15,1346
1084006,16,26537
1085025,15,1363
1085025,16,26556
1086001,15,1356
1086001,16,26536
1087024,15,1366
1087024,16,26541
1088000,15,1359
1088000,16,26555
1089020,15,1353
1089020,16,26536
1090040,15,1347
1090040,16,26557
1091017,15,1365
1091017,16,26548
1092039,15,1350
1092039,16,26520
1093015,15,1350
1093015,16,26541
1094034,15,1353
1094034,16,26543
1095012,15,1352
1095012,16,26548
1096034,15,1342
1096034,16,26549
1097009,15,1348
1097009,16,26539
1098032,15,1345
1098032,16,26542
1099008,15,1369
1099008,16,26548
1100029,15,1359
1100029,16,26527
1101007,15,1369
1101007,16,26540
1102026,15,1368
1102026,16,26560
1103003,15,1328
1103003,16,26547
1104023,15,1352
1104023,16,26545
1105000,15,1333
1105000,16,26548
1106020,15,1358
1106020,16,26537
1107036,15,1336
1107036,16,26532
1108016,15,1366
1108016,16,26547
1109035,15,1360
1109035,16,26533
1110017,15,1361
1110017,16,26556
1111034,15,1357
1111034,16,26546
1112014,15,1338
1112014,16,26538
1113030,15,1345
