t_us,pin,raw
1000000,15,14345
1000000,16,51444
1001004,15,14355
1001004,16,51447
1002022,15,14345
1002022,16,51444
1002999,15,14357
1002999,16,51440
1004020,15,14367
1004020,16,51447
1005039,15,14367
1005039,16,51445
1006019,15,14365
1006019,16,51435
1007037,15,14365
1007037,16,51446
1008014,15,14362
1008014,16,51442
1009035,15,14371
1009035,16,51437
1010012,15,14372
1010012,16,51435
1011031,15,14355
1011031,16,51452
1012007,15,14347
1012007,16,51428
1013029,15,14379
1013029,16,51450
1014009,15,14345
1014009,16,51462
1015029,15,14363
1015029,16,51440
1016005,15,14340
1016005,16,51438
1017025,15,14339
1017025,16,51427
1018004,15,14359
1018004,16,51437
1019022,15,14348
1019022,16,51441
1019999,15,14340
1019999,16,51437
1021017,15,14375
1021017,16,51438
1022041,15,14352
1022041,16,51445
1023020,15,14362
1023020,16,51448
1024037,15,14382
1024037,16,51454
1025013,15,14367
1025013,16,51406
1026035,15,14342
1026035,16,51439
1027010,15,14341
1027010,16,51433
1028035,15,14360
1028035,16,51441
1029009,15,14353
1029009,16,51461
1030029,15,14365
1030029,16,51435
1031008,15,14378
1031008,16,51428
1032028,15,14346
1032028,16,51446
1033004,15,14343
1033004,16,51449
1034025,15,14378
1034025,16,51434
1035003,15,14371
1035003,16,51453
1036026,15,14348
1036026,16,51428
1036999,15,14346
1036999,16,51431
1038021,15,14375
1038021,16,51439
1039042,15,14356
1039042,16,51433
1040018,15,14375
1040018,16,51453
1041037,15,14377
1041037,16,51439
1042015,15,14373
1042015,16,51477
1043034,15,14351
1043034,16,51441
1044014,15,14348
1044014,16,51447
1045033,15,14365
1045033,16,51450
1046011,15,14367
1046011,16,51433
1047029,15,14356
1047029,16,51418
1048005,15,14357
1048005,16,51439
1049027,15,14373
1049027,16,51451
1050004,15,14377
1050004,16,51439
1051022,15,14378
1051022,16,51428
1052002,15,14346
1052002,16,51433
1053024,15,14361
1053024,16,51442
1053998,15,14359
1053998,16,51437
1055019,15,14374
1055019,16,51444
1056035,15,14352
1056035,16,51453
1057018,15,14345
1057018,16,51425
1058035,15,14359
1058035,16,51439
1059013,15,14378
1059013,16,51462
1060036,15,14356
1060036,16,51441
1061013,15,14344
1061013,16,51433
1062033,15,14356
1062033,16,51449
1063010,15,14385
1063010,16,51436
1064030,15,14360
1064030,16,51452
1065007,15,14373
1065007,16,51443
1066028,15,14361
1066028,16,51445
1067006,15,14353
1067006,16,51447
1068027,15,14371
1068027,16,51443
1069000,15,14358
1069000,16,51447
1070024,15,14360
1070024,16,51455
1071000,15,14355
1071000,16,51424
1072022,15,14366
1072022,16,51446
1073040,15,14352
1073040,16,51436
1074017,15,14356
1074017,16,51444
1075040,15,14336
1075040,16,51443
1076014,15,14353
1076014,16,51424
1077033,15,14366
1077033,16,51458
