t_us,pin,raw
1000000,15,1558
1062524,15,1527
1125019,15,1509
1187515,15,1510
1250014,15,1542
1312508,15,1526
1375003,15,1539
1437501,15,1527
1500027,15,1546
1562524,15,1540
1625020,15,1535
1687517,15,1541
1750014,15,1519
1812511,15,1535
1875007,15,1533
1937501,15,1515
2000026,15,1528
2062520,15,1539
2125017,15,1530
2187516,15,1515
2250011,15,1532
2312508,15,1527
2375003,15,1530
2437530,15,1535
2500029,15,1535
2562525,15,1530
2625019,15,1527
2687512,15,1527
2750009,15,1518
2812506,15,1530
2875005,15,1528
2937531,15,1525
3000025,15,1533
3062522,15,1532
3125016,15,1519
3187512,15,1557
3250011,15,1553
3312506,15,1554
3375001,15,1532
3437524,15,1531
3500021,15,1530
3562520,15,1525
3625017,15,1537
3687512,15,1549
3750010,15,1553
3812506,15,1550
3875000,15,1542
3937527,15,1545
4000023,15,1538
4062520,15,1539
4125016,15,1568
4187511,15,1533
4250006,15,1544
4312502,15,1565
4375030,15,1556
4437528,15,1566
4500023,15,1552
4562518,15,1546
4625014,15,1564
4687509,15,1558
4750005,15,1548
4812501,15,1570
4875028,15,1564
4937528,15,1576
5000021,15,1558
5062515,15,1562
5125015,15,1570
5187512,15,1567
5250006,15,1576
5312499,15,1574
5375028,15,1574
5437524,15,1587
5500018,15,1573
5562515,15,1590
5625012,15,1580
5687509,15,1587
5750004,15,1578
5812499,15,1583
5875027,15,1600
5937522,15,1577
6000020,15,1583
6062516,15,1594
6125010,15,1605
6187509,15,1591
6250003,15,1593
6312532,15,1604
6375025,15,1613
6437524,15,1578
6500019,15,1604
6562516,15,1617
6625010,15,1589
6687507,15,1608
6750003,15,1601
6812528,15,1622
6875026,15,1634
6937519,15,1616
7000015,15,1634
7062513,15,1605
7125011,15,1607
7187504,15,1632
7250001,15,1619
7312528,15,1638
7375023,15,1599
7437521,15,1631
7500016,15,1613
7562512,15,1643
7625009,15,1626
7687503,15,1630
7749995,15,1635
7812528,15,1636
7875022,15,1628
7937517,15,1640
8000018,15,1638
8062512,15,1642
8125008,15,1652
8187505,15,1665
8250029,15,1657
8312526,15,1658
8375024,15,1662
8437518,15,1668
8500013,15,1652
8562509,15,1649
8625005,15,1660
8687504,15,1661
8750027,15,1676
8812525,15,1658
8875020,15,1654
8937516,15,1681
9000014,15,1663
9062507,15,1696
9125006,15,1663
9187502,15,1673
9250029,15,1683
9312525,15,1678
9375019,15,1656
9437513,15,1700
9500013,15,1699
9562506,15,1700
9625005,15,1719
9687498,15,1679
9750026,15,1715
9812521,15,1708
9875020,15,1710
9937517,15,1720
10000011,15,1707
10062507,15,1714
10125002,15,1710
10187532,15,1742
10250028,15,1717
10312522,15,1709
10375019,15,1753
10437514,15,1703
10500009,15,1735
10562505,15,1720
10625001,15,1737
10687529,15,1718
10750026,15,1743
10812519,15,1729
10875018,15,1740
10937516,15,1769
11000010,15,1734
11062507,15,1745
11124998,15,1746
11187528,15,1718
11250026,15,1734
11312520,15,1785
11375016,15,1776
11437509,15,1756
11500010,15,1747
11562504,15,1775
11624998,15,1750
11687527,15,1767
11750022,15,1785
11812521,15,1750
11875016,15,1774
11937512,15,1782
12000008,15,1762
12062504,15,1784
12125032,15,1769
12187524,15,1775
12250023,15,1770
12312518,15,1794
12375014,15,1784
12437512,15,1763
12500007,15,1786
12562505,15,1794
12625028,15,1802
12687527,15,1798
12750023,15,1803
12812517,15,1820
12875010,15,1798
12937508,15,1799
13000008,15,1817
13062499,15,1795
13125030,15,1806
13187524,15,1813
13250020,15,1823
13312517,15,1822
13375010,15,1817
13437506,15,1817
13500004,15,1839
13562497,15,1831
13625025,15,1818
13687523,15,1838
13750017,15,1851
13812515,15,1831
13875010,15,1842
13937507,15,1840
14000004,15,1853
14062531,15,1843
14125028,15,1853
14187520,15,1856
14250017,15,1848
14312513,15,1871
14375008,15,1843
14437505,15,1848
14500002,15,1875
14562529,15,1836
14625023,15,1871
14687522,15,1864
14750015,15,1861
14812513,15,1859
14875010,15,1874
14937504,15,1869
15000001,15,1887
15062529,15,1870
15125025,15,1883
15187519,15,1874
15250016,15,1890
15312512,15,1894
15375009,15,1873
15437504,15,1869
15500001,15,1891
15562528,15,1904
15625020,15,1899
15687520,15,1888
15750013,15,1917
15812512,15,1908
15875009,15,1909
15937504,15,1905
16000030,15,1924
16062524,15,1924
16125024,15,1905
16187521,15,1916
16250013,15,1945
16312509,15,1934
16375006,15,1935
16437502,15,1927
16500031,15,1929
16562527,15,1926
16625021,15,1927
16687518,15,1946
16750011,15,1941
16812511,15,1929
16875008,15,1926
16937502,15,1949
17000026,15,1958
17062525,15,1940
17125020,15,1956
17187518,15,1948
17250010,15,1964
17312509,15,1956
17375003,15,1961
17437500,15,1980
17500027,15,1947
17562523,15,2000
17625020,15,1982
17687515,15,1961
17750011,15,1985
17812506,15,1977
17875001,15,1958
17937531,15,1979
18000026,15,1990
18062522,15,1983
