t_us,pin,raw
1000000,15,1522
1600001,15,1534
2200009,15,1521
2800012,15,1526
3400019,15,1526
4000024,15,1526
4600028,15,1533
5200004,15,1550
5800009,15,1533
6400011,15,1557
7000016,15,1540
7600025,15,1517
8200026,15,1531
8799997,15,1542
9400005,15,1513
10000014,15,1517
10600015,15,1530
11200021,15,1566
11800025,15,1615
12399999,15,1686
13000005,15,1767
13600008,15,1817
14200017,15,1903
14800021,15,1973
15400027,15,2037
16000029,15,2110
16600005,15,2194
17200007,15,2250
17800015,15,2347
18400017,15,2406
19000020,15,2480
19600027,15,2548
20200003,15,2620
20800008,15,2705
21400012,15,2783
22000016,15,2823
22600025,15,2897
23200029,15,2982
23800002,15,3024
24400008,15,3092
25000013,15,3176
25600019,15,3238
26200024,15,3296
26800028,15,3348
27400001,15,3427
28000004,15,3511
28600014,15,3564
29200016,15,3610
29800022,15,3680
30400027,15,3743
30999998,15,3773
31600006,15,3837
32200008,15,3917
32800013,15,3956
33400018,15,4013
34000026,15,4084
34600031,15,4115
35200003,15,4163
35800009,15,4220
36400016,15,4269
37000019,15,4330
37600025,15,4366
38200028,15,4412
38800000,15,4453
39400006,15,4496
40000013,15,4573
40600019,15,4602
41200022,15,4629
41800029,15,4677
42400003,15,4722
43000008,15,4766
43600012,15,4799
44200018,15,4847
44800021,15,4882
45400027,15,4898
45999999,15,4953
46600010,15,4968
47200010,15,5008
47800019,15,5055
48400022,15,5069
49000027,15,5123
49600000,15,5145
50200006,15,5148
50800010,15,5199
51400016,15,5231
52000020,15,5264
52600024,15,5294
53200031,15,5312
53800004,15,5342
54400009,15,5375
55000014,15,5379
55600019,15,5417
56200025,15,5462
56800029,15,5474
57400002,15,5495
58000008,15,5521
58600014,15,5532
59200017,15,5550
59800025,15,5587
60400028,15,5594
61000003,15,5637
61600009,15,5647
62200013,15,5659
62800018,15,5679
63400022,15,5706
64000027,15,5711
64600001,15,5732
65200002,15,5767
65800010,15,5758
66400014,15,5779
67000023,15,5810
67600025,15,5833
68200001,15,5858
68800002,15,5861
69400012,15,5854
70000014,15,5898
70600022,15,5903
71200026,15,5904
71800033,15,5923
72400003,15,5929
73000009,15,5976
73600014,15,5979
74200019,15,5965
74800024,15,5994
75400030,15,6009
76000001,15,6023
76600007,15,6030
77200014,15,6019
77800020,15,6043
78400026,15,6036
79000028,15,6048
79600000,15,6074
80200008,15,6090
80800012,15,6087
81400016,15,6077
82000022,15,6096
82600026,15,6108
83200001,15,6134
83800004,15,6151
84400011,15,6175
85000014,15,6144
85600023,15,6146
86200026,15,6165
86799999,15,6174
87400006,15,6177
88000008,15,6202
88600017,15,6205
89200021,15,6202
89800026,15,6227
90400031,15,6226
91000003,15,6233
91600006,15,6242
92200015,15,6255
92800018,15,6246
93400025,15,6246
94000030,15,6263
94600001,15,6259
95200006,15,6273
95800012,15,6276
96400020,15,6266
97000024,15,6280
97600031,15,6300
98200003,15,6282
98800005,15,6314
99400013,15,6319
100000019,15,6315
100600023,15,6317
101200027,15,6330
101800002,15,6327
102400008,15,6332
103000012,15,6327
103600016,15,6332
104200020,15,6352
104800026,15,6336
105399998,15,6341
106000006,15,6357
106600008,15,6348
107200015,15,6340
107800021,15,6358
108400024,15,6345
109000028,15,6387
109600004,15,6356
110200009,15,6381
110800012,15,6368
111400018,15,6373
112000022,15,6403
112600030,15,6367
113200002,15,6385
113800007,15,6398
114400014,15,6403
115000017,15,6400
115600024,15,6405
116200028,15,6403
116800000,15,6386
117400003,15,6388
118000011,15,6412
118600017,15,6403
119200025,15,6410
119800029,15,6413
120400002,15,6403
121000005,15,6407
121600013,15,6393
122200017,15,6415
122800022,15,6430
123400025,15,6413
124000001,15,6419
124600007,15,6413
125200007,15,6420
125800018,15,6418
126400020,15,6423
127000027,15,6436
127600030,15,6417
128200008,15,6423
128800009,15,6419
129400014,15,6423
130000016,15,6449
130600022,15,6427
131200029,15,6441
131800002,15,6445
132400011,15,6436
133000012,15,6463
133600017,15,6443
134200024,15,6431
134800027,15,6438
135400002,15,6421
136000006,15,6438
136600009,15,6453
137200018,15,6438
137800020,15,6470
138400028,15,6446
139000001,15,6463
139600005,15,6451
140200009,15,6447
140800014,15,6454
141400022,15,6457
142000025,15,6462
142600003,15,6451
143200005,15,6453
143800011,15,6453
144400016,15,6460
145000022,15,6465
145600025,15,6465
146200031,15,6445
146800005,15,6457
147400010,15,6474
148000016,15,6476
148600019,15,6456
149200026,15,6472
149800029,15,6474
150400003,15,6483
151000007,15,6467
151600015,15,6458
152200020,15,6479
152800020,15,6476
153400025,15,6476
154000000,15,6470
154600008,15,6476
155200013,15,6473
155800016,15,6495
156400021,15,6475
157000026,15,6482
157599998,15,6489
158200007,15,6475
158800010,15,6463
159400015,15,6496
160000022,15,6487
160600023,15,6459
161200000,15,6487
161800002,15,6467
162400009,15,6479
163000015,15,6490
163600020,15,6466
164200026,15,6472
164800031,15,6490
165400005,15,6472
166000009,15,6486
166600014,15,6472
167200021,15,6488
167800023,15,6486
168400028,15,6471
169000004,15,6484
169600009,15,6484
170200011,15,6470
170800015,15,6496
171400025,15,6484
172000025,15,6504
172600001,15,6473
173200007,15,6474
173800013,15,6504
174400017,15,6482
175000021,15,6479
175600030,15,6456
176200000,15,6474
176800007,15,6479
177400011,15,6497
178000013,15,6495
178600023,15,6485
179200024,15,6472
179800000,15,6477
180400004,15,6495
181000012,15,6473
181600015,15,6482
182200020,15,6495
182800028,15,6467
183400029,15,6493
184000005,15,6497
184600012,15,6480
185200016,15,6473
