t_us,pin,raw
1000000,16,27484
1062524,16,27487
1125022,16,27497
1187517,16,27485
1250012,16,27490
1312506,16,27495
1375004,16,27475
1437499,16,27489
1500029,16,27473
1562523,16,27506
1625021,16,27492
1687513,16,27499
1750009,16,27497
1812509,16,27467
1875004,16,27481
1937504,16,27496
2000024,16,27493
2062525,16,27503
2125018,16,27473
2187516,16,27514
2250012,16,27493
2312508,16,27487
2375003,16,27482
2437530,16,27482
2500027,16,27479
2562521,16,27487
2625019,16,27510
2687515,16,27494
2750007,16,27483
2812507,16,27483
2875002,16,27495
2937529,16,27474
3000022,16,27492
3062524,16,27494
3125018,16,27486
3187517,16,27490
3250009,16,27504
3312503,16,27488
3375002,16,27486
3437528,16,27481
3500025,16,27494
3562519,16,27505
3625017,16,27493
3687513,16,27492
3750010,16,27492
3812503,16,27515
3875000,16,27495
3937524,16,27472
4000023,16,27485
4062519,16,27500
4125015,16,27491
4187511,16,27484
4250008,16,27489
4312505,16,27502
4375029,16,27482
4437528,16,27498
4500022,16,27510
4562518,16,27493
4625014,16,27485
4687510,16,27478
4750006,16,27474
4812503,16,27507
4875029,16,27486
4937522,16,27502
5000020,16,27490
5062516,16,27486
5125015,16,27490
5187511,16,27492
5250006,16,27501
5312500,16,27488
5375028,16,27491
5437525,16,27479
5500020,16,27483
5562514,16,27488
5625012,16,27489
5687506,16,27488
5750004,16,27485
5812498,16,27496
5875027,16,27496
5937523,16,27489
6000019,16,27480
6062514,16,27490
6125009,16,27503
6187507,16,27509
6250002,16,27497
6312529,16,27496
6375025,16,27537
6437525,16,27531
6500020,16,27546
6562515,16,27587
6625010,16,27587
6687504,16,27600
6750002,16,27628
6812529,16,27628
6875025,16,27669
6937523,16,27674
7000016,16,27684
7062515,16,27721
7125010,16,27756
7187506,16,27782
7250003,16,27808
7312530,16,27850
7375022,16,27872
7437519,16,27918
7500017,16,27959
7562512,16,27980
7625007,16,28007
7687501,16,28052
7749998,16,28077
7812525,16,28085
7875023,16,28171
7937517,16,28194
8000017,16,28226
8062512,16,28269
8125009,16,28304
8187503,16,28365
8250029,16,28393
8312526,16,28432
8375023,16,28472
8437516,16,28536
8500015,16,28589
8562508,16,28622
8625006,16,28679
8687505,16,28723
8750030,16,28757
8812528,16,28814
8875022,16,28887
8937516,16,28900
9000016,16,28973
9062508,16,29006
9125004,16,29060
9187501,16,29109
9250027,16,29155
9312524,16,29215
9375021,16,29246
9437515,16,29290
9500013,16,29368
9562508,16,29412
9625002,16,29467
9687498,16,29519
9750027,16,29549
9812523,16,29631
9875019,16,29649
9937517,16,29696
10000011,16,29785
10062507,16,29818
10124999,16,29860
10187529,16,29934
10250026,16,29986
10312523,16,30028
10375016,16,30095
10437515,16,30141
10500008,16,30200
10562507,16,30230
10625000,16,30285
10687530,16,30361
10750027,16,30398
10812520,16,30462
10875016,16,30496
10937513,16,30562
