t_us,pin,raw
1000000,15,1541
3000025,15,1528
5000025,15,1528
7000017,15,1523
9000013,15,1516
11000007,15,1529
13000003,15,1523
15000004,15,1526
17000029,15,1535
19000026,15,1536
21000022,15,1524
23000018,15,1542
25000012,15,1529
27000009,15,1509
29000006,15,1511
31000000,15,1579
33000030,15,1632
35000028,15,1703
37000017,15,1741
39000015,15,1812
41000009,15,1881
43000006,15,1945
45000003,15,2019
47000027,15,2096
49000026,15,2152
51000024,15,2231
53000017,15,2279
55000013,15,2361
57000008,15,2428
59000003,15,2487
61000002,15,2557
63000029,15,2605
65000024,15,2684
67000022,15,2754
69000015,15,2819
71000017,15,2901
73000011,15,2926
75000003,15,3001
77000002,15,3072
79000030,15,3116
81000025,15,3187
83000019,15,3261
85000017,15,3302
87000008,15,3363
89000009,15,3430
91000007,15,3494
93000002,15,3557
95000027,15,3605
97000023,15,3635
99000018,15,3710
101000014,15,3774
103000014,15,3803
105000006,15,3863
107000004,15,3933
109000031,15,3972
111000027,15,4045
113000021,15,4063
115000018,15,4137
117000016,15,4181
119000008,15,4222
121000005,15,4245
123000002,15,4312
125000031,15,4344
127000026,15,4383
129000020,15,4446
131000018,15,4469
133000013,15,4515
135000009,15,4554
137000006,15,4604
138999998,15,4639
141000026,15,4678
143000024,15,4729
145000019,15,4756
147000014,15,4775
149000015,15,4821
151000008,15,4857
153000004,15,4898
154999999,15,4929
157000029,15,4969
159000024,15,4989
161000017,15,5021
163000013,15,5072
165000013,15,5088
167000008,15,5127
169000004,15,5130
171000032,15,5159
173000024,15,5201
175000019,15,5251
177000016,15,5249
179000016,15,5279
181000009,15,5304
183000007,15,5330
185000002,15,5353
187000028,15,5395
189000026,15,5401
191000021,15,5426
193000019,15,5453
195000013,15,5470
197000010,15,5484
199000006,15,5515
201000001,15,5541
203000029,15,5569
205000024,15,5567
207000022,15,5594
209000015,15,5600
211000013,15,5645
213000009,15,5664
215000001,15,5677
217000000,15,5710
219000028,15,5707
221000025,15,5718
223000020,15,5746
225000015,15,5749
227000010,15,5774
229000005,15,5788
231000003,15,5829
233000031,15,5815
235000025,15,5829
237000022,15,5854
239000016,15,5849
241000013,15,5872
243000010,15,5880
245000007,15,5897
247000002,15,5905
249000030,15,5922
251000025,15,5941
253000021,15,5956
255000018,15,5975
257000012,15,5971
259000010,15,5986
261000005,15,5994
263000003,15,6007
265000028,15,6023
267000026,15,6008
269000020,15,6048
271000014,15,6062
273000013,15,6071
275000008,15,6059
277000005,15,6078
279000005,15,6094
281000027,15,6109
283000023,15,6103
285000018,15,6114
287000014,15,6130
289000011,15,6133
291000010,15,6119
293000004,15,6150
295000030,15,6159
297000024,15,6159
299000022,15,6180
301000016,15,6173
303000011,15,6176
305000010,15,6189
307000005,15,6197
309000003,15,6175
311000029,15,6208
313000025,15,6235
315000020,15,6211
317000015,15,6227
319000014,15,6242
321000008,15,6249
323000005,15,6241
325000001,15,6274
327000028,15,6260
329000026,15,6246
331000022,15,6257
333000016,15,6268
335000015,15,6287
337000010,15,6284
339000006,15,6284
340999998,15,6277
343000028,15,6309
345000024,15,6311
347000018,15,6303
349000013,15,6305
351000011,15,6313
353000007,15,6317
355000005,15,6342
357000031,15,6323
359000026,15,6345
361000020,15,6346
363000020,15,6325
365000015,15,6322
367000011,15,6339
369000006,15,6340
371000004,15,6352
373000028,15,6357
375000027,15,6364
377000021,15,6375
379000017,15,6354
381000011,15,6369
383000007,15,6358
385000006,15,6355
387000003,15,6388
389000029,15,6372
391000025,15,6376
393000019,15,6365
395000016,15,6371
397000012,15,6375
399000006,15,6390
401000002,15,6392
403000001,15,6386
405000026,15,6395
407000024,15,6399
409000019,15,6406
411000017,15,6395
413000011,15,6405
415000005,15,6396
417000004,15,6394
419000029,15,6392
421000028,15,6443
423000022,15,6404
425000017,15,6413
427000014,15,6410
429000013,15,6442
431000006,15,6408
433000002,15,6429
435000031,15,6424
437000025,15,6422
439000018,15,6440
