t_us,pin,raw
1000000,15,1505
1300016,15,1527
1600005,15,1535
1900020,15,1520
2200007,15,1514
2500024,15,1528
2800013,15,1555
3100000,15,1540
3400019,15,1533
3700004,15,1545
4000024,15,1519
4300007,15,1531
4600028,15,1516
4900014,15,1518
5200004,15,1519
5500019,15,1523
5800009,15,1534
6100027,15,1547
6400017,15,1631
6700029,15,1709
7000020,15,1770
7300005,15,1862
7600021,15,1915
7900008,15,1995
8200026,15,2079
8500014,15,2165
8800000,15,2216
9100017,15,2303
9400006,15,2380
9700025,15,2466
10000012,15,2529
10300028,15,2583
10600017,15,2670
10900002,15,2753
11200021,15,2830
11500010,15,2896
11800028,15,2963
12100014,15,3055
12400000,15,3091
12700018,15,3166
13000005,15,3255
13300024,15,3317
13600009,15,3373
13900029,15,3435
14200016,15,3507
14500000,15,3564
14800019,15,3614
15100004,15,3679
15400022,15,3737
15700014,15,3818
16000030,15,3873
16300016,15,3920
16600004,15,3987
16900024,15,4041
17200010,15,4084
17500027,15,4135
17800010,15,4186
18100000,15,4247
18400021,15,4289
18700007,15,4357
19000024,15,4407
19300009,15,4464
19600029,15,4497
19900018,15,4535
20200003,15,4574
20500019,15,4639
20800007,15,4685
21100027,15,4733
21400013,15,4759
21699997,15,4800
22000017,15,4840
22300006,15,4881
22600023,15,4909
22900012,15,4957
23200030,15,4975
23500013,15,5017
23800003,15,5072
24100018,15,5095
24400006,15,5132
24700026,15,5164
25000014,15,5189
25300031,15,5217
25600018,15,5242
25900003,15,5284
26200022,15,5299
26500010,15,5367
26800027,15,5378
27100014,15,5409
27400001,15,5408
27700023,15,5459
28000009,15,5495
28300021,15,5502
28600012,15,5519
28900029,15,5529
29200016,15,5550
29500002,15,5567
29800020,15,5613
30100007,15,5628
30400026,15,5670
30700013,15,5642
31000000,15,5686
31300015,15,5717
31600005,15,5741
31900022,15,5747
32200013,15,5780
32500027,15,5754
32800014,15,5806
33100002,15,5828
33400020,15,5835
33700008,15,5849
34000028,15,5849
34300010,15,5881
34600028,15,5890
34900018,15,5910
35200003,15,5937
35500023,15,5948
35800012,15,5956
36100029,15,5973
36400014,15,5974
36700003,15,5996
37000018,15,5995
37300006,15,5994
37600024,15,6043
37900011,15,6024
38200028,15,6045
38500016,15,6063
38800006,15,6067
39100021,15,6094
39400008,15,6103
39700026,15,6111
40000013,15,6128
40300000,15,6128
40600018,15,6128
40900003,15,6170
41200021,15,6134
41500013,15,6183
41800027,15,6151
42100014,15,6167
42400002,15,6172
42700020,15,6173
43000006,15,6199
43300026,15,6203
43600012,15,6218
43900030,15,6219
44200017,15,6226
44500005,15,6231
44800021,15,6230
45100009,15,6267
45400026,15,6235
45700015,15,6242
46000002,15,6255
46300019,15,6266
46600005,15,6263
46900025,15,6279
47200009,15,6291
47500029,15,6276
47800013,15,6298
48100003,15,6308
48400020,15,6308
48700008,15,6301
49000025,15,6314
49300013,15,6323
49599996,15,6295
49900020,15,6311
50200001,15,6322
50500024,15,6306
50800009,15,6333
51100031,15,6349
51400012,15,6336
51700002,15,6360
52000020,15,6349
52300008,15,6350
52600026,15,6364
52900010,15,6371
53200030,15,6369
53500018,15,6360
53800003,15,6375
54100022,15,6367
54400011,15,6387
54700025,15,6394
55000015,15,6390
55300001,15,6395
55600019,15,6375
55900006,15,6395
56200023,15,6401
56500008,15,6398
56800031,15,6403
57100016,15,6397
57400002,15,6420
57700018,15,6392
58000008,15,6396
58300027,15,6403
58600013,15,6416
58900001,15,6414
59200016,15,6420
59500004,15,6425
59800023,15,6421
60100008,15,6413
60400027,15,6410
60700014,15,6406
61000003,15,6411
61300019,15,6402
61600010,15,6425
61900027,15,6427
62200011,15,6422
62500027,15,6439
62800018,15,6431
63100006,15,6431
63400023,15,6441
63700009,15,6427
64000029,15,6440
64300013,15,6431
64600000,15,6444
64900017,15,6441
65200004,15,6440
65500024,15,6447
65800009,15,6458
66100029,15,6456
66400017,15,6453
66700004,15,6457
67000020,15,6457
67300008,15,6455
67600027,15,6448
67900013,15,6452
68199999,15,6463
68500020,15,6456
68800006,15,6467
69100021,15,6449
69400011,15,6442
69700027,15,6450
70000016,15,6438
70300002,15,6457
70600020,15,6459
70900007,15,6466
71200027,15,6462
71500013,15,6469
71800029,15,6470
72100017,15,6468
72400003,15,6453
72700023,15,6460
73000005,15,6460
73300029,15,6464
73600014,15,6461
73899998,15,6455
74200017,15,6492
74500005,15,6480
74800021,15,6475
75100009,15,6475
75400030,15,6476
75700015,15,6457
76000002,15,6483
76300020,15,6477
76600010,15,6464
76900021,15,6463
77200012,15,6472
77500000,15,6480
77800019,15,6469
78100003,15,6474
78400024,15,6473
78700012,15,6479
79000027,15,6475
79300014,15,6476
79599999,15,6484
79900021,15,6473
80200010,15,6471
80500026,15,6478
80800013,15,6493
81100030,15,6478
81400017,15,6468
81700004,15,6489
82000022,15,6474
82300008,15,6486
82600028,15,6486
82900016,15,6453
83200001,15,6494
83500018,15,6489
83800006,15,6481
84100025,15,6486
84400011,15,6496
84700027,15,6478
85000017,15,6488
85300005,15,6480
85600022,15,6479
85900006,15,6475
86200026,15,6487
86500016,15,6485
86799999,15,6487
87100016,15,6500
87400007,15,6491
87700024,15,6496
88000009,15,6480
88300026,15,6480
88600015,15,6488
88900005,15,6495
89200019,15,6476
89500007,15,6479
89800026,15,6497
