t_us,pin,raw
1000000,15,1520
1062525,15,1532
1125021,15,1533
1187516,15,1521
1250013,15,1543
1312511,15,1532
1375007,15,1524
1437501,15,1552
1500029,15,1533
1562523,15,1531
1625020,15,1528
1687516,15,1533
1750012,15,1524
1812509,15,1533
1875001,15,1549
1937500,15,1531
2000030,15,1528
2062524,15,1606
2125020,15,1669
2187518,15,1742
2250011,15,1819
2312507,15,1892
2375000,15,1978
2437530,15,2063
2500026,15,2131
2562521,15,2189
2625020,15,2291
2687515,15,2338
2750012,15,2439
2812506,15,2511
2875003,15,2550
2937530,15,2657
3000026,15,2723
3062520,15,2785
3125015,15,2871
3187515,15,2945
3250011,15,3006
3312503,15,3077
3375001,15,3136
3437528,15,3218
3500021,15,3291
3562518,15,3345
3625019,15,3429
3687510,15,3494
3750007,15,3533
3812505,15,3610
3875001,15,3688
3937529,15,3722
4000025,15,3800
4062519,15,3842
4125016,15,3907
4187509,15,3963
4250009,15,4010
4312503,15,4083
4375029,15,4130
4437528,15,4179
4500022,15,4229
4562518,15,4315
4625013,15,4326
4687514,15,4382
4750004,15,4424
4812500,15,4482
4875028,15,4523
4937522,15,4565
5000021,15,4603
5062517,15,4660
5125011,15,4688
5187509,15,4739
5250006,15,4785
5312496,15,4833
5375025,15,4864
5437523,15,4913
5500021,15,4935
5562517,15,4986
5625011,15,5018
5687508,15,5040
5750001,15,5072
5812499,15,5113
5875027,15,5143
5937522,15,5194
6000019,15,5206
6062513,15,5224
6125011,15,5291
6187509,15,5319
6250001,15,5339
6312531,15,5357
6375026,15,5383
6437523,15,5421
6500018,15,5456
6562516,15,5466
6625012,15,5490
6687506,15,5497
6750003,15,5536
6812526,15,5568
6875027,15,5568
6937522,15,5595
7000018,15,5630
7062512,15,5645
7125011,15,5655
7187504,15,5677
7249999,15,5714
7312528,15,5711
7375024,15,5747
7437520,15,5761
7500016,15,5772
7562514,15,5799
7625006,15,5800
7687504,15,5825
7749999,15,5832
7812529,15,5859
7875025,15,5865
7937518,15,5890
8000014,15,5906
8062512,15,5928
8125004,15,5958
8187503,15,5948
8250031,15,5975
8312524,15,5974
8375021,15,5991
8437518,15,6016
8500015,15,6019
8562511,15,6027
8625007,15,6034
8687502,15,6043
8750027,15,6073
8812526,15,6074
8875021,15,6092
8937516,15,6093
9000011,15,6121
9062510,15,6104
9125006,15,6126
9187501,15,6124
9250029,15,6138
9312525,15,6146
9375018,15,6161
9437516,15,6153
9500014,15,6160
9562507,15,6167
9625003,15,6180
9687501,15,6185
9750027,15,6203
9812524,15,6216
9875020,15,6207
9937516,15,6209
10000010,15,6257
