t_us,pin,raw
1000000,15,33067
6000020,15,33047
11000008,15,33065
16000029,15,33064
21000020,15,33062
26000012,15,33080
30999997,15,33047
36000019,15,33058
41000012,15,33069
46000000,15,33061
51000022,15,33066
56000011,15,33055
61000002,15,33056
66000023,15,33082
71000013,15,33065
76000003,15,33052
81000022,15,33061
86000015,15,33068
91000007,15,33065
96000024,15,33073
101000012,15,33061
106000004,15,33067
111000027,15,33066
116000014,15,33056
121000006,15,33073
126000027,15,33066
131000018,15,33071
136000009,15,33072
141000028,15,33041
146000019,15,33059
151000009,15,33081
156000030,15,33071
161000017,15,33060
166000011,15,33054
171000030,15,33080
176000020,15,33048
181000010,15,33067
185999999,15,33054
191000021,15,33066
196000011,15,33074
201000001,15,33064
206000022,15,33062
211000014,15,33066
216000004,15,33047
221000022,15,33060
226000013,15,33072
231000003,15,33067
236000024,15,33065
241000015,15,33075
246000004,15,33071
251000024,15,33066
256000015,15,33066
261000004,15,33073
266000026,15,33081
271000016,15,33075
276000008,15,33065
281000029,15,33052
286000017,15,33060
291000006,15,33074
296000028,15,33058
301000020,15,33086
306000009,15,33077
311000029,15,33061
316000018,15,33068
321000009,15,33076
326000033,15,33077
331000022,15,33060
336000010,15,33047
341000000,15,33075
346000019,15,33056
351000012,15,33069
356000002,15,33072
361000022,15,33060
366000012,15,33049
371000001,15,33062
376000024,15,33066
381000012,15,33064
386000003,15,33066
391000025,15,33062
396000016,15,33084
401000002,15,33081
406000026,15,33072
411000015,15,33063
416000004,15,33059
421000026,15,33070
426000016,15,33080
431000005,15,33077
436000027,15,33067
441000017,15,33058
446000009,15,33070
451000026,15,33067
456000016,15,33075
461000009,15,33067
466000027,15,33089
471000019,15,33064
476000009,15,33067
481000031,15,33063
486000020,15,33078
491000010,15,33068
495999999,15,33057
501000023,15,33103
506000011,15,33064
511000003,15,33068
516000019,15,33068
521000012,15,33071
526000003,15,33053
531000025,15,33071
536000012,15,33058
541000003,15,33065
546000024,15,33084
551000012,15,33067
556000006,15,33077
561000025,15,33088
566000014,15,33063
571000005,15,33068
576000026,15,33094
581000015,15,33074
586000005,15,33055
591000028,15,33075
596000018,15,33077
601000008,15,33103
606000025,15,33092
611000019,15,33083
616000009,15,33066
621000029,15,33063
626000016,15,33066
631000011,15,33050
636000033,15,33080
641000020,15,33092
646000007,15,33056
651000000,15,33064
656000019,15,33075
661000011,15,33080
666000000,15,33100
671000020,15,33082
676000009,15,33084
681000002,15,33077
686000025,15,33072
691000013,15,33082
696000003,15,33088
701000023,15,33087
706000016,15,33072
711000003,15,33063
716000027,15,33070
721000014,15,33101
726000006,15,33071
731000026,15,33070
736000015,15,33072
741000006,15,33080
746000025,15,33077
751000018,15,33077
756000008,15,33074
761000031,15,33089
766000017,15,33074
771000007,15,33103
776000029,15,33076
781000017,15,33094
786000009,15,33081
791000029,15,33104
796000021,15,33072
801000010,15,33077
806000000,15,33087
811000020,15,33061
816000012,15,33078
820999999,15,33097
826000023,15,33084
831000009,15,33053
836000004,15,33078
841000024,15,33094
846000015,15,33066
851000004,15,33082
856000024,15,33092
861000013,15,33082
866000006,15,33087
871000024,15,33065
876000015,15,33080
881000005,15,33072
886000024,15,33084
891000014,15,33086
896000006,15,33080
901000028,15,33079
906000017,15,33072
911000008,15,33078
916000025,15,33079
921000017,15,33091
926000008,15,33102
931000030,15,33085
936000018,15,33089
941000011,15,33061
946000032,15,33099
951000019,15,33069
956000010,15,33086
961000003,15,33073
966000021,15,33109
971000011,15,33102
976000000,15,33070
981000022,15,33079
986000014,15,33077
991000002,15,33064
996000025,15,33083
1001000013,15,33071
1006000003,15,33081
